"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel/lib",16,56,1,23,4,2300,"ClassDeclaration.id,Expression.type,ExportDefaultDeclaration.declaration,ExpressionStatement.expression,MemberExpression.object,VariableDeclarator.id,ExportNamedDeclaration.declaration,FunctionDeclaration.id,ExportNamedDeclaration.specifiers,AssignmentExpression.left,VariableDeclaration.declarations,ExportSpecifier.exported,LVal.type,ExportSpecifier.local,Identifier.name,ExportDeclaration.type",""
"remove-exports","@types/babel__traverse",4,24,1,23,4,2300,"NodePath.parentPath,NodePath.remove,NodePath.isProgram,NodePath.node",""
"remove-exports","dist",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"remove-exports","@babel/babel-parser",1,2,1,23,4,2300,"ParseResult",""
"vite","node",84,148,6,129,25,2150,"Logger.error,ResolvedConfig.base,UserConfig.logLevel,Logger.info,Connect.IncomingMessage.url,Connect.Server.use,PreviewServer.middlewares,transformWithEsbuild,UserConfig.base,ResolvedConfig.environments,ResolvedEnvironmentOptions.build,ResolvedBuildEnvironmentOptions.outDir,createLogger,normalizePath,PluginOption,UserConfig.server,ResolvedConfig.server,Environment.name,isRunnableDevEnvironment,ConfigEnv.command,Plugin,ManifestChunk.css,ConfigEnv.isSsrBuild,ViteBuilder.build,ViteDevServer.pluginContainer,EnvironmentOptions.optimizeDeps,ViteDevServer.transformRequest,ResolvedServerOptions.watch,ManifestChunk.assets,ViteDevServer.hot,HotBroadcaster.send,ResolvedConfig.build,createServer,PreviewServer,ResolvedConfig.command,EnvironmentOptions.resolve,HotUpdatePluginContext.environment,ResolvedConfig.logger,UserConfig.plugins,DevEnvironment.name,loadConfigFromFile,ConfigEnv.mode,UserConfig.root,ViteDevServer.middlewares,DevEnvironment.moduleGraph,UserConfig.build,ModuleNode.file,Logger.warn,Plugin.name,ResolvedServerOptions.middlewareMode,ViteDevServer.ssrLoadModule,ViteDevServer,ViteDevServer.environments,PluginContainer.buildStart,ViteDevServer.ssrFixStacktrace,ResolvedConfig.root,ResolvedConfig,Environment.config,RunnableDevEnvironment.runner,EnvironmentOptions,ViteDevServer.config,ModuleNode.url,UserConfig.environments,ResolvedBuildOptions.assetsDir,ResolvedConfig.configFile,ViteBuilder.environments,defaultClientConditions,DevEnvironment.reloadModule,ManifestChunk.file,ResolvedConfig.mode,ESBuildOptions,version,node",""
"vite","@types/process",7,15,6,129,25,2150,"global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.env,global.NodeJS.Process.exit,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.Process.cwd",""
"vite","dist",7,23,6,129,25,2150,"path.extname,relative,dist,resolve,join,path.normalize,path.join",""
"vite","promises",7,14,6,129,25,2150,"readFile,rename,cp,mkdir,readdir,rm",""
"vite","@types/path",6,25,6,129,25,2150,"path.PlatformPath.basename,path.PlatformPath.posix,path.PlatformPath.join,path.PlatformPath.dirname,path.PlatformPath.resolve,path.PlatformPath.relative",""
"vite","fs",5,10,6,129,25,2150,"existsSync,Dirent.path,Dirent.name,Dirent.parentPath,Dirent.isFile",""
