"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-configuration-4.11.1","javax.annotation",13,105,41,"Nonnull,Nullable",""
"axon-configuration-4.11.1","org.slf4j",11,32,41,"Logger,LoggerFactory",""
"axon-disruptor-4.11.1","org.slf4j",12,22,22,"Logger,LoggerFactory",""
"axon-disruptor-4.11.1","com.lmax.disruptor",9,25,22,"ExceptionHandler,RingBuffer,EventHandler,LifecycleAware,WaitStrategy,BlockingWaitStrategy",""
"axon-disruptor-4.11.1","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.11.1","com.lmax.disruptor.dsl",5,21,22,"Disruptor,EventHandlerGroup,ProducerType",""
"axon-disruptor-4.11.1","WeakValue",1,2,22,"WeakValue",""
"axon-eventsourcing-4.11.1","javax.annotation",29,99,133,"Nullable,Nonnull,PreDestroy",""
"axon-eventsourcing-4.11.1","org.slf4j",23,43,133,"Logger,LoggerFactory",""
"axon-eventsourcing-4.11.1","jakarta.persistence",11,48,133,"MappedSuperclass,Id,IdClass,EntityManager,Query,TypedQuery,EntityExistsException,Entity,Index,Table",""
"axon-eventsourcing-4.11.1","javax.persistence",11,48,133,"EntityExistsException,MappedSuperclass,IdClass,Id,Entity,Query,EntityManager,TypedQuery,Table,Index",""
"axon-messaging-4.11.1","javax.annotation",259,1253,809,"Nonnull,Nullable",""
"axon-messaging-4.11.1","org.slf4j",147,457,809,"LoggerFactory,Logger",""
"axon-messaging-4.11.1","com.fasterxml.jackson.annotation",53,81,809,"JsonGetter,JsonProperty,JsonTypeInfo,JsonTypeInfo$Id,JsonCreator,JsonIgnore,JsonTypeInfo$As",""
"axon-messaging-4.11.1","javax.persistence",44,174,809,"LockModeType,TypedQuery,Lob,Entity,Id,Basic,IdClass,Column,MappedSuperclass,NoResultException,EntityManager,Query,Embedded,Table,Index,GeneratedValue,Embeddable",""
"axon-messaging-4.11.1","jakarta.persistence",40,168,809,"EntityManager,IdClass,Column,Entity,Lob,Basic,Id,Query,NoResultException,TypedQuery,MappedSuperclass,LockModeType,Table,Index,Embedded,GeneratedValue,Embeddable",""
"axon-messaging-4.11.1","org.quartz",35,185,809,"TriggerBuilder,JobDetail,Trigger,JobKey,SchedulerContext,JobBuilder,SchedulerException,Scheduler,JobDataMap,Job,JobExecutionException,JobExecutionContext",""
