"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer","io.micrometer.core.instrument",37,136,12,"Tags,Clock,Gauge$Builder,Tag,MeterRegistry,Gauge,Counter,Timer,Timer$Builder","micrometer",""
"axon-test-5.0.2","org.axonframework.test.matchers","org.hamcrest",36,142,23,"Description,Matcher,BaseMatcher,TypeSafeMatcher","matchers",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc.event.dcb",28,104,14,"GetTailResponse,GetSequenceAtResponse,TaggedEvent,GetHeadResponse,Event,SequencedEvent,StreamEventsResponse,SourceEventsResponse,AppendEventsResponse,TaggedEvent$Builder,Event$Builder,Tag,Tag$Builder,StreamEventsRequest,TagsAndNamesCriterion$Builder,ConsistencyCondition,SourceEventsRequest,StreamEventsRequest$Builder,Criterion$Builder,Criterion,SourceEventsRequest$Builder,ConsistencyCondition$Builder,TagsAndNamesCriterion","event",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.util","io.grpc",17,35,13,"Status,Status$Code,Metadata,Metadata$AsciiMarshaller,Metadata$Key,StatusRuntimeException,ClientCall$Listener,ForwardingClientCall$SimpleForwardingClientCall,ClientCall,ForwardingClientCallListener$SimpleForwardingClientCallListener,ClientInterceptor,MethodDescriptor,Channel,CallOptions","util",""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","org.apache.avro",16,54,10,"SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility,InvalidAvroMagicException,InvalidNumberEncodingException,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,AvroRuntimeException,Schema,SchemaCompatibility$SchemaCompatibilityResult","avro",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","org.slf4j",15,87,24,"LoggerFactory,Logger","pooled",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",14,98,11,"QueryResponse,QueryUpdate,QueryUpdate$Builder,QueryRequest,QueryRequest$Builder,QueryResponse$Builder,SubscriptionQuery","query",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",12,56,15,"EntityExistsException,EntityManager,EntityManagerFactory,TypedQuery,GenerationType,Index,EntityTransaction","jpa",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","io.axoniq.axonserver.grpc",12,94,28,"ErrorMessage,MetaDataValue$DataCase,InstructionAck$Builder,InstructionAck,MetaDataValue$Builder,MetaDataValue,ErrorMessage$Builder","connector",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","org.slf4j",10,44,14,"LoggerFactory,Logger","event",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.connector",10,37,11,"ResultStream,FlowControl,ReplyChannel,Registration,AxonServerConnection","query",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc",9,50,11,"MetaDataValue,SerializedObject$Builder,MetaDataValue$Builder,SerializedObject,ProcessingKey,ProcessingInstruction$Builder,ErrorMessage","query",""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.autoconfig","org.axonframework.extension.spring.config",9,33,35,"EventProcessorSettings$MapWrapper,ProcessorDefinition,DefaultProcessorModuleFactory,ProcessorModuleFactory,MessageHandlerLookup,SpringEventSourcedEntityLookup,SpringAxonApplication,SpringLifecycleRegistry,SpringComponentRegistry","autoconfig",""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.context.propagation",9,15,5,"TextMapGetter,TextMapSetter,TextMapPropagator,ContextPropagators","opentelemetry",""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.api.trace",9,46,5,"SpanBuilder,SpanKind,Span,Tracer,StatusCode,SpanContext","opentelemetry",""
"axon-common-5.0.2","org.axonframework.common.caching","org.ehcache.event",8,30,13,"EventType,CacheEvent,CacheEventListener,EventFiring,EventOrdering","caching",""
"axon-common-5.0.2","org.axonframework.common.caching","javax.cache.event",8,26,13,"CacheEntryUpdatedListener,CacheEntryEvent,CacheEntryCreatedListener,CacheEntryListener,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryListenerException,CacheEntryEventFilter","caching",""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","org.apache.avro.message",8,28,10,"SchemaStore,BadHeaderException,BinaryMessageEncoder,BinaryMessageDecoder","avro",""
"axon-conversion-5.0.2","org.axonframework.conversion.json","com.fasterxml.jackson.databind",8,42,5,"JsonNode,ObjectMapper,JavaType","json",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","org.slf4j",8,17,50,"Logger,LoggerFactory","annotation",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","io.axoniq.axonserver.grpc.control",8,46,28,"TopologyChange,UpdateType,QuerySubscription,CommandSubscription,NodeInfo$Builder,NodeInfo","connector",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command","io.axoniq.axonserver.grpc.command",8,63,6,"CommandResponse,Command,CommandResponse$Builder,Command$Builder","command",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.connector.event",8,38,14,"DcbEventChannel$AppendEventsTransaction,DcbEventChannel,EventStream,AppendEventsTransaction,AggregateEventStream,EventChannel","event",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.util","io.axoniq.axonserver.grpc",8,81,13,"ErrorMessage,ErrorMessage$Builder,SerializedObject,ProcessingInstruction,MetaDataValue,ProcessingInstruction$Builder,ProcessingKey,MetaDataValue$Builder","util",""
"axon-update-5.0.2","org.axonframework.update","org.slf4j",8,27,5,"LoggerFactory,Logger","update",""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","org.apache.avro.generic",7,30,10,"GenericRecord,GenericDatumReader,GenericData","avro",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","org.slf4j",7,16,15,"Logger,LoggerFactory","jpa",""
"axon-messaging-5.0.2","org.axonframework.messaging.core","reactor.core.publisher",7,30,80,"Flux,Mono,FluxSink","core",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command","io.axoniq.axonserver.grpc",7,31,6,"ErrorMessage,SerializedObject,SerializedObject$Builder,ProcessingKey,ProcessingInstruction$Builder","command",""
"axon-test-5.0.2","org.axonframework.test.fixture","org.hamcrest",7,47,31,"Matcher,StringDescription,Description,CoreMatchers","fixture",""
