"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel",17,58,1,23,4,2300,"ExportNamedDeclaration.declaration,AssignmentExpression.left,Identifier.name,ExportSpecifier.exported,VariableDeclarator.id,ExpressionStatement.expression,VariableDeclaration.declarations,ExportDeclaration.type,ParseResult,ExportDefaultDeclaration.declaration,ExportSpecifier.local,ClassDeclaration.id,Expression.type,LVal.type,FunctionDeclaration.id,MemberExpression.object,ExportNamedDeclaration.specifiers",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.isProgram,NodePath.remove,NodePath.parentPath,NodePath.node",""
"remove-exports","no namespace",2,2,1,23,4,2300,"findReferencedIdentifiers,deadCodeElimination",""
"vite","no namespace",123,237,6,128,25,2133.3333333333335,"UserConfig.root,ModuleNode.file,UserConfig.base,Environment.config,readFile,ServerResponse.end,Logger.info,PreviewServer,rename,Logger.warn,existsSync,Dirent.parentPath,ViteDevServer.hot,Dirent.path,createServer,DevEnvironment.moduleGraph,URL.href,ViteDevServer.pluginContainer,DevEnvironment.reloadModule,Logger.error,ServerResponse.setHeader,PluginContext.resolve,ResolvedConfig.command,ViteDevServer.config,ViteBuilder.build,ManifestChunk.css,ManifestChunk.file,defaultClientConditions,ViteDevServer,init,EnvironmentOptions,mkdir,RunnableDevEnvironment.runner,EnvironmentOptions.resolve,Connect.IncomingMessage.url,ModuleNode.url,Hash.digest,ResolvedConfig.build,UserConfig.server,EnvironmentOptions.optimizeDeps,ViteDevServer.ssrFixStacktrace,Hash.update,ResolvedConfig.mode,ConfigEnv.isSsrBuild,ViteDevServer.transformRequest,UserConfig.environments,PreviewServer.middlewares,.pathToFileURL,readdirSync,ResolvedId.id,ModuleRunner.import,ConfigEnv.command,loadConfigFromFile,ResolvedServerOptions.middlewareMode,PluginContext.environment,createLogger,readdir,isRunnableDevEnvironment,HotUpdatePluginContext.environment,ResolvedConfig.root,ViteBuilder.environments,ConfigEnv.mode,cp,Dirent.isFile,HotBroadcaster.send,normalizePath,ResolvedBuildOptions.assetsDir,UserConfig.logLevel,createHash,Plugin,ViteDevServer.middlewares,Connect.Server.use,ViteDevServer.ssrLoadModule,rm,ViteDevServer.environments,ManifestChunk.assets,Environment.name,PluginContainer.buildStart,Dirent.name,ResolvedConfig.server,UserConfig.plugins,UserConfig.build,DevEnvironment.name,picocolors,Plugin.name,rmSync,ResolvedConfig,ResolvedConfig.configFile,ResolvedConfig.logger,ServerResponse.statusCode,relative,ResolvedBuildEnvironmentOptions.outDir,dist,join,resolve,ResolvedConfig.base,path.join,PluginOption,ResolvedConfig.environments,ResolvedEnvironmentOptions.build,transformWithEsbuild,path.normalize,path.extname,version,node,ESBuildOptions",""
"vite","@types",22,51,6,128,25,2133.3333333333335,"path.PlatformPath.resolve,path.PlatformPath.posix,BabelFileResult.map,path.PlatformPath.relative,global.NodeJS.Process.exit,jsesc,BabelFileResult.code,GeneratorResult.code,global.NodeJS.Process.cwd,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NonSharedBuffer.toString,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,path.PlatformPath.dirname,path.PlatformPath.join,path.PlatformPath.basename,transformAsync,GeneratorResult,global.NodeJS.Process.env,global.NodeJS.Require.resolve,pick",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.isExportDefaultDeclaration,NodePath.isVariableDeclaration,NodePath.get,NodePath.isFunctionDeclaration,NodePath.replaceWith,NodePath.isExportNamedDeclaration,NodePath.node,NodePath.scope,Scope.generateUidIdentifier,NodePath.isExpression,NodePath.isIdentifier",""
"with-props","@babel",10,14,1,21,4,2100,"ParseResult,callExpression,variableDeclarator,identifier,variableDeclaration,stringLiteral,importDeclaration,Program.body,importSpecifier,ParseResult.program",""
"cloudflare","no namespace",14,20,1,15,4,1500,"ViteDevServer.config,ResolvedServerOptions.middlewareMode,GetPlatformProxyOptions,ViteDevServer.middlewares,Connect.Server.use,ResolvedConfig.server,ResolvedConfig.plugins,EnvironmentResolveOptions.externalConditions,UserConfig.root,ConfigEnv.mode,Plugin,Plugin.name,ViteDevServer.ssrLoadModule,EnvironmentOptions.resolve",""
"cloudflare","@types",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,4,1500,"ViteDevServer.config,ResolvedServerOptions.middlewareMode,GetPlatformProxyOptions,ViteDevServer.middlewares,Connect.Server.use,ResolvedConfig.server,ResolvedConfig.plugins,EnvironmentResolveOptions.externalConditions,UserConfig.root,ConfigEnv.mode,Plugin,Plugin.name,ViteDevServer.ssrLoadModule,EnvironmentOptions.resolve",""
