"dependencyCombination","occurrences","firstTenPackages","Source Cypher File: domains/external-dependencies/queries/Package_json_dependencies_combinations.cypher"
"isbot,react,react-dom",20,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/cloudflare-dev-proxy-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-plugin-cloudflare-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/packages/react-router-dev/__tests__/fixtures/basic/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-express/package.json",""
"isbot,react,react-router",20,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/cloudflare-dev-proxy-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-plugin-cloudflare-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/packages/react-router-dev/__tests__/fixtures/basic/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-express/package.json",""
"isbot,react-dom,react-router",20,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/cloudflare-dev-proxy-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-plugin-cloudflare-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/packages/react-router-dev/__tests__/fixtures/basic/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-express/package.json",""
"@react-router/node,isbot",18,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/packages/react-router-dev/__tests__/fixtures/basic/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/packages/react-router-dev/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-express/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-spa/package.json",""
"@react-router/node,react-router",18,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/packages/create-react-router/__tests__/fixtures/basic/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/packages/react-router-dev/__tests__/fixtures/basic/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-express/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-spa/package.json",""
"express,react",17,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/examples/multi-app/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/examples/ssr-data-router/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/examples/ssr/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/rsc-vite-framework/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/rsc-vite/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json",""
"express,react-dom",17,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/examples/multi-app/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/examples/ssr-data-router/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/examples/ssr/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/rsc-vite-framework/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/rsc-vite/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json",""
"express,react,react-dom",17,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/examples/multi-app/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/examples/ssr-data-router/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/examples/ssr/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/rsc-vite-framework/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/rsc-vite/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json",""
"@react-router/node,react",17,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/packages/react-router-dev/__tests__/fixtures/basic/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-express/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-spa/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-vite-5/package.json",""
"@react-router/node,react-dom",17,"/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-5-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-6-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-7-beta-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/helpers/vite-8-template/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/integration/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/packages/react-router-dev/__tests__/fixtures/basic/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-express/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-spa/package.json,/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/./source/react-router-7.15.1/playground/framework-vite-5/package.json",""
