"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-common-5.0.0",,,false,,,1,706,108,94,17,11,6,"/org/axonframework/common/annotation -> /org/axonframework/common,/org/axonframework/common/jdbc -> /org/axonframework/common,/org/axonframework/common/property -> /org/axonframework/common,/org/axonframework/common/caching -> /org/axonframework/common","axon-common-5.0.0 -> axon-common-5.0.0","",""
"axon-common-5.0.0",,,false,,,2,852,97,71,2,1,2,"/org/axonframework/common/infra -> /org/axonframework/common/annotation,/org/axonframework/common/infra -> /org/axonframework/common/lifecycle","axon-common-5.0.0 -> axon-common-5.0.0","",""
"axon-conversion-5.0.0",,,false,,,1,706,108,94,3,3,1,"/org/axonframework/conversion/converter -> /org/axonframework/conversion,/org/axonframework/conversion/avro -> /org/axonframework/conversion,/org/axonframework/conversion/json -> /org/axonframework/conversion","axon-conversion-5.0.0 -> axon-conversion-5.0.0","",""
"axon-conversion-5.0.0",,,true,,,1,706,108,94,7,3,3,"/org/axonframework/conversion -> /org/axonframework/common,/org/axonframework/conversion/avro -> /org/axonframework/common,/org/axonframework/conversion/avro -> /org/axonframework/common/annotation,/org/axonframework/conversion/json -> /org/axonframework/common/annotation","axon-conversion-5.0.0 -> axon-common-5.0.0","",""
"axon-conversion-5.0.0",,,true,,,2,852,97,71,6,4,3,"/org/axonframework/conversion/converter -> /org/axonframework/common,/org/axonframework/conversion/json -> /org/axonframework/common,/org/axonframework/conversion/converter -> /org/axonframework/common/infra,/org/axonframework/conversion -> /org/axonframework/common/configuration","axon-conversion-5.0.0 -> axon-common-5.0.0","",""
"axon-conversion-5.0.0",,,true,,,3,768,89,60,5,4,3,"/org/axonframework/conversion -> /org/axonframework/common/annotation,/org/axonframework/conversion -> /org/axonframework/common/lifecycle,/org/axonframework/conversion/avro -> /org/axonframework/common/lifecycle,/org/axonframework/conversion/json -> /org/axonframework/common/lifecycle","axon-conversion-5.0.0 -> axon-common-5.0.0","",""
"axon-conversion-5.0.0",,,true,,,4,469,75,51,2,1,2,"/org/axonframework/conversion/converter -> /org/axonframework/common/annotation,/org/axonframework/conversion/converter -> /org/axonframework/common/lifecycle","axon-conversion-5.0.0 -> axon-common-5.0.0","",""
"axon-eventsourcing-5.0.0",,,false,,,1,706,108,94,12,7,5,"/org/axonframework/eventsourcing/annotation -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/eventsourcing/annotation","axon-eventsourcing-5.0.0 -> axon-eventsourcing-5.0.0","",""
"axon-eventsourcing-5.0.0",,,false,,,2,852,97,71,8,7,4,"/org/axonframework/eventsourcing/eventstore -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing/annotation","axon-eventsourcing-5.0.0 -> axon-eventsourcing-5.0.0","",""
"axon-eventsourcing-5.0.0",,,false,,,3,768,89,60,5,3,2,"/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/annotation/reflection,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing/annotation/reflection","axon-eventsourcing-5.0.0 -> axon-eventsourcing-5.0.0","",""
