"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.eventsourcing.eventstore.Position","Position","embeddingsFastRandomProjection","0.14896363,0.033948008,0.21708018,-0.09459503,-0.21847712,0.46282333,0.0688241,0.21296746,-0.25849882,-0.19420323,-0.0806655,-0.16900134,-0.105822355,0.21976385,-0.06873001,0.21971245,0.16810615,-0.07066122,-0.040000148,-0.19358149,0.12300948,0.03112723,-0.051045634,0.40453,-0.108425975,-0.086280726,0.4840663,0.41236693,0.20800765,0.28894696,0.30350626,0.10676455,-0.083672,0.026649475,0.075775385,0.12790658,-0.09680789,-0.2992547,-0.11804907,-0.28938448,0.25545222,-0.06914401,-0.5461892,-0.31834984,-0.067589,0.17431214,-0.027398488,-0.28617328,0.26603234,-0.04147608,0.03955727,-0.15938868,0.63304573,-0.33173782,-0.35512692,-0.028908726,0.09270924,0.026362848,-0.13851413,-0.13339014,-0.116875954,0.22204098,0.09532997,0.2818902",""
"org.axonframework.eventsourcing.CriteriaResolver","CriteriaResolver","embeddingsFastRandomProjection","-0.043104704,-0.22269008,0.30025086,-0.37307677,-0.15971868,0.18414748,-0.0418289,0.23133686,-0.27913377,-0.061888438,-0.43119025,0.05108386,-0.51147556,0.3874479,-0.13570568,-0.0107912645,0.19549619,-0.1870448,0.060971767,0.10151507,0.004497234,-0.25689018,-0.16282588,0.31768942,-0.250161,-0.12182549,0.0043931454,0.09418418,-0.029686138,-0.05065907,-0.1935275,-0.060454667,-0.18032941,0.11865809,0.083070755,0.20058325,-0.23187482,-0.36027983,-0.08375065,-0.12371854,-0.07613097,0.014180876,-0.05421025,-0.5399126,0.31328622,-0.10389888,0.114043444,-0.18032062,0.26953483,0.21381655,-0.03771027,-0.18433963,0.24926658,0.1883232,-0.1548071,0.14107391,0.16139714,0.052796826,-0.0133448765,0.04325802,0.1385786,-0.0051941574,-0.4536773,0.25544515",""
"org.axonframework.eventsourcing.eventstore.SourcingStrategy$Snapshot","SourcingStrategy$Snapshot","embeddingsFastRandomProjection","0.054101773,-0.014546435,0.1518381,-0.012610553,-0.30101314,0.3811533,0.06589928,0.1503125,-0.0860415,-0.071880534,-0.06841139,-0.21481581,-0.2703926,0.23833467,-0.14682585,0.363589,0.25015453,-0.07523242,-0.03818289,-0.27346525,0.099343665,0.07047239,-0.12810495,0.37606803,-0.25475186,0.1196988,0.34571406,0.20577323,0.41013342,0.080876485,0.09413423,-0.04714105,0.010007929,0.020543583,0.08372427,0.13188685,-0.15135716,-0.32354474,-0.079620466,-0.24056959,0.24907818,-0.15274537,-0.61743367,-0.22204769,-0.18585715,0.21142966,-0.041993722,-0.16058147,0.24388638,-0.09973789,0.24727857,-0.16763511,0.58133894,-0.3330363,-0.123665445,-0.1405648,0.33492425,-0.03224869,-0.13107914,-0.118805245,-0.1625646,0.14207757,0.1673443,0.30896333",""
"org.axonframework.eventsourcing.eventstore.SnapshotEventMessage","SnapshotEventMessage","embeddingsFastRandomProjection","-0.029014362,-0.27932876,0.20553628,-0.14797153,-0.13030864,0.21198186,0.037930623,0.24199542,-0.15001993,-0.07292175,-0.08935855,-0.20830777,-0.034374565,0.070648976,-0.3338301,0.14525995,0.03003911,-0.24232572,0.09999442,-0.19455422,0.081437476,-0.0025120787,0.06690128,0.34648502,-0.094432846,-0.11687625,0.28349873,0.3576759,0.18967125,0.15371048,0.34941876,0.14619243,-0.15306267,0.046689592,-0.00709535,0.14185716,0.058829755,-0.5001267,-0.19038238,-0.32111228,0.057501704,-0.051412642,-0.499677,-0.41322336,-0.27835274,-0.08374206,0.12296374,-0.13052014,0.33094957,0.10918485,0.09924485,-0.1620782,0.6231781,0.15446365,-0.41211122,-0.14512998,0.18161802,0.056724325,-0.21557829,-0.15428114,0.13218321,0.09661202,-0.20366383,0.21846154",""
"org.axonframework.eventsourcing.EventSourcedEntityFactory","EventSourcedEntityFactory","embeddingsFastRandomProjection","0.027310405,-0.31764424,0.3588577,-0.43071765,-0.13670258,0.084599495,-0.08143461,0.19967201,-0.4498266,0.027950682,-0.4149787,0.20554563,-0.47036856,0.40005714,0.19972694,-0.038702764,0.15566167,-0.30370817,0.17371011,0.20658153,-0.016334243,-0.19456765,-0.17168635,0.2746166,-0.23061043,-0.14342341,0.027660774,0.12317019,-0.09667808,-0.19615185,-0.1274924,-0.03749116,-0.19522268,0.37512273,-0.04223143,0.008661747,-0.2948044,-0.27581787,-0.16504253,-0.042822186,-0.16581637,-0.064698,0.054774962,-0.5371373,0.42358637,-0.055940032,0.13381436,0.0061617983,0.29763737,0.23085544,-0.050585084,-0.06293969,0.3130447,0.11669946,-0.09025926,0.058870066,0.16547842,-0.11577976,0.02091287,0.16311735,0.10842854,0.110424355,-0.51462185,0.25019968",""
"org.axonframework.eventsourcing.eventstore.InterceptingEventStore$InterceptingEventStoreTransaction","InterceptingEventStore$InterceptingEventStoreTransaction","embeddingsFastRandomProjection","0.06810208,-0.1713098,0.17763975,0.08021596,-0.26158124,0.029625645,0.29040158,0.32746953,-0.22567795,-0.124940455,-0.4537222,0.114396006,-0.12755539,0.3044861,-0.05315353,0.29028592,0.3605289,-0.05090516,0.23424423,0.10708083,-0.11970645,-0.20208189,-0.051018003,0.3736477,0.10031498,0.19425723,0.55617684,-0.030686492,-0.094657354,-0.03571513,-0.22534612,0.0019155517,-0.27955025,0.14831145,0.099936366,-0.40462363,-0.046536017,-0.2858733,-0.26597002,-0.04894543,0.01355667,-0.013275191,-0.13920264,-0.5876705,0.3318398,-0.10935485,0.073972374,-0.0040647844,0.25238267,0.045579627,0.006156493,-0.012073312,0.348837,-0.40066582,-0.32312465,0.0005209185,0.21925667,0.16089539,-0.01435779,0.2870199,-0.05202883,0.3834775,-0.07768139,0.5840597",""
"org.axonframework.eventsourcing.eventstore.SourcingStrategy$Absolute","SourcingStrategy$Absolute","embeddingsFastRandomProjection","0.30838206,0.28379238,0.1557158,0.15099451,-0.3441124,0.46300066,-1.4387071e-05,0.016958982,0.013961506,-0.15292776,-0.071467474,-0.20328403,-0.2862744,0.22725496,0.25080836,0.3514936,0.29495364,0.03646492,0.019407008,-0.32113796,-0.018923584,0.13407058,-0.21795285,0.274041,-0.24779896,0.06756142,0.23130995,0.08404768,0.48880374,0.08398891,-0.076183975,-0.15614891,0.23582536,0.08376375,0.10219109,0.15914209,-0.1199522,-0.27904806,0.12672366,-0.30352372,0.24393487,0.018700618,-0.6682106,-0.056197647,-0.3430863,0.36228687,-0.39503974,-0.051484197,0.19798885,-0.09303769,0.16291338,-0.1422442,0.36400294,-0.3731243,-0.064821884,-0.020143311,0.43432394,-0.0745291,-0.15912902,-0.16840795,-0.09865496,0.12575297,0.2061417,0.1890992",""
"org.axonframework.eventsourcing.eventstore.TagResolver","TagResolver","embeddingsFastRandomProjection","0.08370883,-0.18858765,0.20148832,0.086674966,-0.048947036,0.33648947,0.03256874,0.24514619,-0.14299314,-0.20980287,-0.200804,0.2965281,-0.03146369,0.17621481,-0.18767451,0.25709605,-0.037054554,-0.26564485,-0.29025263,0.42888546,0.047732834,-0.21022652,-0.0034871176,0.29220262,-0.18452002,0.23149274,-0.015953928,0.049511943,-0.31395173,0.047115196,-0.28092888,-0.026811153,-0.16405797,-0.09352778,-0.042429894,0.13285646,-0.2744037,-0.005577855,-0.31300947,-0.023160502,0.25458497,-0.15691705,0.37588853,-0.06426609,0.18570822,-0.23584162,0.21162258,-0.15095916,0.31429026,0.2036291,-0.1279256,0.26628026,0.09632318,-0.08703818,-0.17278238,0.1696932,-0.13232668,-0.45567387,0.027508758,-0.17715752,0.18394524,0.039780557,0.09974875,0.09982946",""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarker","ConsistencyMarker","embeddingsFastRandomProjection","0.2697317,0.17363358,0.27725095,0.052811414,-0.09907967,0.3804055,-0.018479452,0.19878808,-0.1211099,-0.49350685,-0.14713381,-0.004771631,0.08217569,0.32200116,0.34337273,0.08294825,0.13709012,-0.07755235,0.10394112,0.15446603,-0.09490195,-0.13435821,-0.1101359,0.4761904,0.045566954,-0.07891252,0.36924207,0.047230095,-0.08384378,-0.02807356,-0.19494036,-0.055813808,-0.1415899,-0.09171114,-0.055602312,0.07702856,0.2894851,0.031446986,0.14258373,-0.45348808,0.3112485,-0.07287772,-0.14963038,-0.076097175,-0.11392008,0.2624283,-0.05171085,-0.20953217,0.08446235,-0.17651339,-0.221485,0.031429723,0.24818245,-0.33503145,-0.0973448,0.056905217,0.1793954,0.07837641,0.010647347,-0.021682495,-0.056831345,-0.0029980969,-0.054440543,0.27206632",""
"org.axonframework.eventsourcing.eventstore.NoAppendCondition","NoAppendCondition","embeddingsFastRandomProjection","0.22843394,0.1436908,0.3625364,0.09569606,-0.110940896,0.45504618,0.03766732,0.20302895,-0.17736986,-0.47937,-0.1001769,0.009128698,0.07224508,0.28812516,0.30079272,0.22038351,-0.009268414,-0.10410083,0.1192147,0.054086555,0.17671044,-0.07671251,-0.070006564,0.50237334,0.01506049,-0.031873822,0.6292521,0.031020481,0.1038451,-0.08843554,-0.25249904,-0.02366601,-0.17977735,-0.13445377,0.09761927,0.0720274,0.38006222,0.0059492886,0.12616308,-0.46099234,0.30925745,-0.23060201,-0.09816614,-0.27116275,-0.15055212,0.06496046,-0.110115044,-0.42425668,0.11398351,-0.25347662,-0.29586118,0.046645343,0.33164114,-0.24068996,-0.082415335,-0.028864205,0.10855743,0.13571289,0.0017253556,-0.12037353,0.011866279,0.093291774,-0.048074324,0.2166341",""
