"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",76,342,374,1731,114,1444,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",66,144,257,720,114,1444,"LoggerFactory,Logger",""
"com.fasterxml",15,33,89,199,114,1444,"JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonProperty,JsonTypeInfo$As,JsonCreator,JsonIgnore,JsonDeserializer,JacksonException",""
"javax.persistence",15,27,82,311,114,1444,"TypedQuery,EntityManager,MappedSuperclass,Basic,GeneratedValue,Id,Lob,Column,Index",""
"jakarta.persistence",10,25,73,299,114,1444,"EntityManager,TypedQuery,MappedSuperclass,Basic,GeneratedValue,Id,Column,Lob,Table",""
"io.axoniq",9,69,202,988,114,1444,"ObjectUtils,PersistentStreamProperties,ContextConnection,AxonServerConnectionFactory,AxonServerConnection,ControlChannel,NodeInfo$Builder,NodeInfo,ErrorMessage",""
"org.springframework",8,53,245,528,114,1444,"Status,AbstractHealthIndicator,Health$Builder,SimpleStatusAggregator,ConfigurationProperties,ApplicationContext,AutoConfigurationPackages,Conditional,ConditionOutcome",""
"io.grpc",5,18,61,126,114,1444,"Channel,StreamObserver,ManagedChannelBuilder,GrpcSslContexts,SslContextBuilder,CallOptions,Metadata$AsciiMarshaller,ClientCall,ClientInterceptor",""
"org.hamcrest",5,27,59,370,114,1444,"Description,StringDescription,Matcher,CoreMatchers,TypeSafeMatcher,BaseMatcher,Matchers",""
"reactor.core",5,28,53,203,114,1444,"Flux,Mono,Sinks$ManySpec,FluxSink,Sinks$Many,Sinks$MulticastReplaySpec,ConnectableFlux,FluxSink$OverflowStrategy,Sinks",""
"com.google",4,9,12,18,114,1444,"ByteString,Strings,JsonElement,JsonParser,JsonObject,JsonArray",""
"com.github",3,7,21,107,114,1444,"Task,Tasks$OneTimeTaskBuilder,SchedulerState,TaskInstance,Scheduler,ExecutionContext,ScheduledExecution,TaskWithDataDescriptor,TaskInstanceId",""
"com.thoughtworks",3,10,33,121,114,1444,"XStream,MarshallingContext,Mapper,HierarchicalStreamWriter,HierarchicalStreamReader,MapConverter,UnmarshallingContext,CollectionConverter,CannotResolveClassException",""
"org.jobrunr",3,5,7,34,114,1444,"JobScheduler,JobBuilder",""
"org.axonframework",2,7,17,59,114,1444,"SpringUtils,MetricsConfigurerModule,GlobalMetricRegistry,SpringDataSourceConnectionProvider,SpringAggregateSnapshotter,SpringAggregateSnapshotter$Builder,SpringAggregateLookup,HandlerDefinitionFactoryBean,MessageHandlerLookup",""
"org.junit",2,4,8,14,114,1444,"AfterEachCallback,BeforeEachCallback,ExtensionContext,Description,Statement,TestRule,Assertions",""
"org.quartz",2,9,36,187,114,1444,"SchedulerContext,Scheduler,Trigger,Job,JobDetail,JobExecutionException,JobKey,JobExecutionContext,TriggerBuilder",""
"com.lmax",1,7,14,46,114,1444,"Disruptor,RingBuffer,EventHandlerGroup,ExceptionHandler,EventHandler,LifecycleAware,BlockingWaitStrategy,WaitStrategy,ProducerType",""
"io.micrometer",1,1,2,6,114,1444,"MeterRegistry,SimpleMeterRegistry",""
"io.opentelemetry",1,5,21,74,114,1444,"TextMapGetter,TextMapSetter,SpanBuilder,SpanContext,Span,StatusCode,Scope,TextMapPropagator,SpanKind",""
"jakarta.validation",1,2,5,15,114,1444,"ConstraintViolation,ValidatorFactory,Validation,Validator",""
"javax.cache",1,2,12,48,114,1444,"Cache,CacheEntryListenerConfiguration,CacheEntryExpiredListener,CacheEntryListener,CacheEntryEvent,CacheEntryListenerException,CacheEntryRemovedListener,CacheEntryCreatedListener,CacheEntryUpdatedListener",""
"javax.validation",1,2,5,15,114,1444,"ConstraintViolation,Validation,ValidatorFactory,Validator",""
"net.sf",1,2,8,54,114,1444,"CacheEventListener,Element,Ehcache,CacheException,RegisteredEventListeners",""
"nu.xom",1,3,5,15,114,1444,"Builder,Document,ParsingException",""
"org.dom4j",1,3,4,14,114,1444,"Document,STAXEventReader",""
"org.ehcache",1,3,10,45,114,1444,"EventType,CacheEventListener,EventOrdering,EventFiring,Ehcache,CacheRuntimeConfiguration,CacheEvent",""
"org.testcontainers",1,3,13,42,114,1444,"GenericContainer,MountableFile,ContainerLaunchException,Wait,HttpWaitStrategy,DockerImageName",""
