"artifactName","artifactPackages","artifactTypes","artifactExternalPackages","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageName","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_external_package.cypher"
"axon-conversion-5.0.1",4,30,11,4,100,"jakarta.annotation",4,25,100,83.33333333333334,"org.axonframework.conversion,org.axonframework.conversion.converter,org.axonframework.conversion.avro,org.axonframework.conversion.json","org.axonframework.conversion.ContentTypeConverter,org.axonframework.conversion.PassThroughConverter,org.axonframework.conversion.ConversionException,org.axonframework.conversion.Converter,org.axonframework.conversion.ChainedConverter,org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.converter.StringToByteArrayConverter,org.axonframework.conversion.converter.BlobToInputStreamConverter,org.axonframework.conversion.converter.ByteArrayToInputStreamConverter",""
"axon-conversion-5.0.1",4,30,11,4,100,"org.slf4j",3,3,75,10,"org.axonframework.conversion,org.axonframework.conversion.avro,org.axonframework.conversion.json","org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.json.JacksonConverter",""
"axon-conversion-5.0.1",4,30,11,4,100,"com.fasterxml.jackson.core",1,1,25,3.3333333333333335,"org.axonframework.conversion.json","org.axonframework.conversion.json.JsonNodeToByteArrayConverter",""
"axon-conversion-5.0.1",4,30,11,4,100,"com.fasterxml.jackson.databind",1,5,25,16.666666666666668,"org.axonframework.conversion.json","org.axonframework.conversion.json.JsonNodeToByteArrayConverter,org.axonframework.conversion.json.JacksonConverter,org.axonframework.conversion.json.JsonNodeToObjectNodeConverter,org.axonframework.conversion.json.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.json.ByteArrayToJsonNodeConverter",""
"axon-conversion-5.0.1",4,30,11,4,100,"com.fasterxml.jackson.databind.node",1,2,25,6.666666666666667,"org.axonframework.conversion.json","org.axonframework.conversion.json.JsonNodeToObjectNodeConverter,org.axonframework.conversion.json.ObjectNodeToJsonNodeConverter",""
"axon-conversion-5.0.1",4,30,11,4,100,"org.apache.avro",1,4,25,13.333333333333334,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.DefaultSchemaIncompatibilityChecker,org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.SchemaIncompatibilityChecker",""
"axon-conversion-5.0.1",4,30,11,4,100,"org.apache.avro.generic",1,6,25,20,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.GenericRecordToByteArrayConverter,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.avro.AvroConverterStrategy,org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter",""
"axon-conversion-5.0.1",4,30,11,4,100,"org.apache.avro.io",1,1,25,3.3333333333333335,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter",""
"axon-conversion-5.0.1",4,30,11,4,100,"org.apache.avro.message",1,6,25,20,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.AvroConverterConfiguration,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.GenericRecordToByteArrayConverter,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter",""
"axon-conversion-5.0.1",4,30,11,4,100,"org.apache.avro.specific",1,2,25,6.666666666666667,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.AvroUtil",""
