"artifactName","fullPackageName","typeName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","numberOfExternalTypes","externalPackageNames","externalTypeNames","packageName","fullTypeName","Source Cypher File: External_Dependencies/External_package_usage_per_type.cypher"
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","ConverterAutoConfiguration",16,45,11,16,"jakarta.annotation,org.springframework.boot.autoconfigure,org.springframework.boot.context.properties,org.springframework.context.annotation,org.apache.avro.message,org.springframework.boot.autoconfigure.condition,com.fasterxml.jackson.databind,org.springframework.context,com.fasterxml.jackson.dataformat.cbor.databind,org.springframework.beans.factory,org.springframework.beans","jakarta.annotation.Nonnull,org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.context.properties.EnableConfigurationProperties,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.apache.avro.message.SchemaStore,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,com.fasterxml.jackson.databind.ObjectMapper,org.springframework.context.ApplicationContext,com.fasterxml.jackson.dataformat.cbor.databind.CBORMapper,org.springframework.context.ApplicationContextAware,org.springframework.beans.factory.BeanClassLoaderAware,org.springframework.context.annotation.Primary,org.springframework.beans.factory.BeanFactoryUtils,org.springframework.beans.factory.NoSuchBeanDefinitionException,org.springframework.beans.BeansException","autoconfig","org.axonframework.extension.springboot.autoconfig.ConverterAutoConfiguration",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","AxonServerAutoConfiguration",14,22,10,14,"jakarta.annotation,org.springframework.boot.autoconfigure,org.springframework.boot.context.properties,org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,org.springframework.context,org.springframework.lang,io.axoniq.axonserver.connector,io.axoniq.axonserver.connector.control,org.springframework.beans","jakarta.annotation.Nonnull,org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.context.properties.EnableConfigurationProperties,org.springframework.boot.autoconfigure.condition.ConditionalOnProperty,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,org.springframework.context.ApplicationContext,org.springframework.context.ApplicationContextAware,org.springframework.lang.Nullable,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.connector.control.ControlChannel,org.springframework.beans.BeansException","autoconfig","org.axonframework.extension.springboot.autoconfig.AxonServerAutoConfiguration",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","AvroSchemaStoreAutoConfiguration",14,28,8,14,"org.springframework.boot.autoconfigure,org.springframework.context.annotation,org.springframework.boot.autoconfigure.condition,org.apache.avro.message,org.apache.avro,org.springframework.beans.factory,org.axonframework.extension.spring.conversion.avro,org.springframework.core.io","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.apache.avro.message.SchemaStore$Cache,org.apache.avro.Schema,org.apache.avro.message.SchemaStore,org.springframework.context.annotation.Conditional,org.springframework.beans.factory.BeanFactory,org.axonframework.extension.spring.conversion.avro.ClasspathAvroSchemaLoader,org.axonframework.extension.spring.conversion.avro.AvroSchemaPackages,org.springframework.boot.autoconfigure.AutoConfigurationPackages,org.springframework.core.io.ResourceLoader,org.axonframework.extension.spring.conversion.avro.SpecificRecordBaseClasspathAvroSchemaLoader","autoconfig","org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.util","AbstractQualifiedBeanCondition",12,24,8,12,"jakarta.annotation,org.slf4j,org.springframework.context.annotation,org.springframework.core.type,org.springframework.boot.autoconfigure.condition,org.springframework.util,org.springframework.beans.factory.config,org.axonframework.extension.spring","jakarta.annotation.Nonnull,org.slf4j.Logger,org.slf4j.LoggerFactory,org.springframework.context.annotation.ConfigurationCondition$ConfigurationPhase,org.springframework.context.annotation.ConditionContext,org.springframework.core.type.AnnotatedTypeMetadata,org.springframework.boot.autoconfigure.condition.SpringBootCondition,org.springframework.context.annotation.ConfigurationCondition,org.springframework.boot.autoconfigure.condition.ConditionOutcome,org.springframework.util.MultiValueMap,org.springframework.beans.factory.config.ConfigurableListableBeanFactory,org.axonframework.extension.spring.SpringUtils","util","org.axonframework.extension.springboot.util.AbstractQualifiedBeanCondition",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","JpaEventStoreAutoConfiguration",8,8,7,8,"org.springframework.boot.autoconfigure,org.springframework.boot.context.properties,org.springframework.context.annotation,org.springframework.boot.autoconfigure.condition,jakarta.persistence,org.springframework.boot.autoconfigure.orm.jpa,org.springframework.transaction","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.context.properties.EnableConfigurationProperties,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,jakarta.persistence.EntityManagerFactory,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration,org.springframework.transaction.PlatformTransactionManager","autoconfig","org.axonframework.extension.springboot.autoconfig.JpaEventStoreAutoConfiguration",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector","AxonServerConnectionManager$Builder",9,45,6,9,"io.axoniq.axonserver.connector,io.axoniq.axonserver.grpc.control,io.grpc,io.axoniq.axonserver.connector.impl,io.grpc.netty.shaded.io.grpc.netty,io.grpc.netty.shaded.io.netty.handler.ssl","io.axoniq.axonserver.connector.AxonServerConnectionFactory$Builder,io.axoniq.axonserver.grpc.control.NodeInfo$Builder,io.grpc.ManagedChannelBuilder,io.axoniq.axonserver.connector.AxonServerConnectionFactory,io.axoniq.axonserver.connector.impl.ServerAddress,io.axoniq.axonserver.grpc.control.NodeInfo,io.grpc.netty.shaded.io.grpc.netty.GrpcSslContexts,io.grpc.netty.shaded.io.netty.handler.ssl.SslContextBuilder,io.grpc.ClientInterceptor","connector","org.axonframework.axonserver.connector.AxonServerConnectionManager$Builder",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","AggregateBasedAxonServerEventStorageEngine",13,69,6,13,"io.axoniq.axonserver.grpc,jakarta.annotation,com.google.protobuf,io.axoniq.axonserver.grpc.event,io.axoniq.axonserver.connector,io.axoniq.axonserver.connector.event","io.axoniq.axonserver.grpc.MetaDataValue$Builder,io.axoniq.axonserver.grpc.MetaDataValue,jakarta.annotation.Nonnull,io.axoniq.axonserver.grpc.SerializedObject,jakarta.annotation.Nullable,com.google.protobuf.ByteString,io.axoniq.axonserver.grpc.event.Event,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.grpc.SerializedObject$Builder,io.axoniq.axonserver.connector.event.AppendEventsTransaction,io.axoniq.axonserver.grpc.event.Event$Builder,io.axoniq.axonserver.connector.event.EventChannel,io.axoniq.axonserver.connector.event.AggregateEventStream","event","org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","EventProcessorControlService",7,31,6,7,"jakarta.annotation,org.slf4j,io.axoniq.axonserver.connector,io.axoniq.axonserver.connector.control,io.axoniq.axonserver.grpc.control,io.axoniq.axonserver.connector.admin","jakarta.annotation.Nonnull,org.slf4j.Logger,org.slf4j.LoggerFactory,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.connector.control.ControlChannel,io.axoniq.axonserver.grpc.control.EventProcessorInfo,io.axoniq.axonserver.connector.admin.AdminChannel","event","org.axonframework.axonserver.connector.event.EventProcessorControlService",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","JpaAutoConfiguration",8,13,6,8,"org.springframework.boot.autoconfigure,org.springframework.boot.context.properties,org.springframework.context.annotation,org.springframework.boot.autoconfigure.condition,jakarta.persistence,com.fasterxml.jackson.databind","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.context.properties.EnableConfigurationProperties,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,jakarta.persistence.EntityManagerFactory,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,com.fasterxml.jackson.databind.ObjectMapper","autoconfig","org.axonframework.extension.springboot.autoconfig.JpaAutoConfiguration",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","TransactionAutoConfiguration",7,9,6,7,"org.springframework.boot.autoconfigure,org.springframework.context.annotation,org.springframework.boot.autoconfigure.condition,jakarta.persistence,org.springframework.transaction,org.axonframework.extension.spring.messaging.unitofwork","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,jakarta.persistence.EntityManagerFactory,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.transaction.PlatformTransactionManager,org.axonframework.extension.spring.messaging.unitofwork.SpringTransactionManager","autoconfig","org.axonframework.extension.springboot.autoconfig.TransactionAutoConfiguration",""
