"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"jakarta.annotation",98,672,859,4788,113,1199,"Nonnull,Nullable",""
"org.slf4j",38,74,133,456,113,1199,"Logger,LoggerFactory",""
"org.springframework",7,55,173,293,113,1199,"ConfigurationProperties,ConstructorBinding,DefaultValue,NestedConfigurationProperty,DockerComposeConnectionSource,ConnectionPorts,DockerComposeConnectionDetailsFactory,ConnectionDetails,RunningService",""
"com.fasterxml",6,16,40,138,113,1199,"ObjectMapper,ObjectNode,ArrayNode,SerializationFeature,JsonNode,CBORMapper,JsonProperty,JsonCreator,JsonTypeInfo",""
"io.axoniq",6,45,153,849,113,1199,"ErrorMessage$Builder,ErrorMessage,MetaDataValue$DataCase,UpdateType,QuerySubscription,CommandSubscription,TopologyChange,AxonServerConnection,ControlChannel",""
"reactor.core",6,9,16,51,113,1199,"Scheduler,Schedulers,MonoSink,Flux,Mono,FluxSink",""
"com.google",5,9,12,36,113,1199,"MessageLite,ByteString,JsonElement,JsonParser,JsonArray,JsonObject",""
"jakarta.persistence",5,13,33,129,113,1199,"EntityManager,TypedQuery,GeneratedValue,Lob,Index,SequenceGenerator,Table,Entity,Basic",""
"io.grpc",3,10,29,65,113,1199,"StreamObserver,ManagedChannelBuilder,ClientInterceptor,GrpcSslContexts,SslContextBuilder,ClientResponseObserver,ClientCallStreamObserver,StatusRuntimeException,Metadata",""
"org.axonframework",3,8,15,48,113,1199,"EventProcessorSettings$SubscribingEventProcessorSettings,EventProcessorSettings$PooledEventProcessorSettings,EventProcessorSettings$ProcessorMode,MessageHandlerLookup,SpringEventSourcedEntityLookup,SpringComponentRegistry,SpringLifecycleRegistry,SpringAxonApplication,EventProcessorSettings$MapWrapper",""
"org.hamcrest",3,22,44,194,113,1199,"StringDescription,Description,Matcher,CoreMatchers,BaseMatcher,TypeSafeMatcher",""
"org.reactivestreams",3,6,8,27,113,1199,"Publisher,Subscription,Subscriber",""
"io.micrometer",2,12,39,142,113,1199,"Tags,Tag,MeterRegistry,SimpleMeterRegistry,Clock,Timer,Counter,Timer$Builder,Gauge$Builder",""
"org.apache",2,12,42,145,113,1199,"SchemaStore,SchemaStore$Cache,Schema,GenericRecord,DecoderFactory,GenericDatumReader,SchemaCompatibility$Incompatibility,Pair,SpecificData",""
"io.opentelemetry",1,5,21,70,113,1199,"SpanKind,TextMapSetter,Context,TextMapPropagator,TextMapGetter,Tracer,SpanBuilder,Span,GlobalOpenTelemetry",""
"jakarta.validation",1,2,5,16,113,1199,"ValidatorFactory,ConstraintViolation,Validator,Validation",""
"javax.cache",1,2,12,48,113,1199,"Cache,CacheEntryListenerConfiguration,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryExpiredListener,CacheEntryEvent,Factory",""
"org.awaitility",1,1,2,3,113,1199,"Awaitility,ConditionFactory",""
"org.ehcache",1,3,10,45,113,1199,"EventType,Ehcache,EventOrdering,CacheRuntimeConfiguration,EventFiring,CacheEventListener,CacheEvent",""
"org.testcontainers",1,1,6,19,113,1199,"GenericContainer,MountableFile,HttpWaitStrategy,DockerImageName,Wait,ContainerLaunchException",""
