"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"org.slf4j",11,38,1,14,3,3.4545454545454546,3.670521389765665,20,100,42.85714285714286,49.120966752545705,26.462865940410218,74,1,30,3,6.727272727272727,8.486352680520756,1.36986301369863,30.43478260869565,6,9.894823683472234,8.93774785708071,"axon-tracing-opentelemetry-5.0.1,axon-common-5.0.1,axon-server-connector-5.0.1,axon-modelling-5.0.1",""
"com.fasterxml",4,4,1,1,1,1,0,1.7543859649122806,25,10.989010989010989,12.183101985733565,9.960241034917077,12,1,5,3,3,1.8257418583505538,0.3508771929824561,16.666666666666668,3.1904761904761907,5.849624060150376,7.618529859732489,"axon-common-5.0.1,axon-spring-boot-autoconfigure-5.0.1,axon-messaging-5.0.1,axon-conversion-5.0.1",""
"jakarta.persistence",4,5,1,2,1,1.25,0.5,1.7543859649122806,28.571428571428573,10.989010989010989,13.075959128590707,11.528729367425607,12,2,4,3,3,1.1547005383792515,0.3508771929824561,5.714285714285714,2.6666666666666665,2.849624060150376,2.4544194608957377,"axon-common-5.0.1,axon-eventsourcing-5.0.1,axon-spring-boot-autoconfigure-5.0.1,axon-messaging-5.0.1",""
"com.google",2,5,1,4,2.5,2.5,2.1213203435596424,20,80,50,50,42.42640687119285,9,1,8,4.5,4.5,4.949747468305833,1.36986301369863,11.11111111111111,6.2404870624048705,6.2404870624048705,6.888102586900919,"axon-server-connector-5.0.1,axon-test-5.0.1",""
"io.axoniq",2,6,1,5,3,3,2.8284271247461903,14.285714285714286,100,57.142857142857146,57.142857142857146,60.60915267313265,45,1,44,22.5,22.5,30.405591591021544,1.4285714285714286,61.11111111111111,31.26984126984127,31.26984126984127,42.201928527959026,"axon-server-connector-5.0.1,axon-spring-boot-autoconfigure-5.0.1",""
"org.apache",2,2,1,1,1,1,0,14.285714285714286,25,19.642857142857142,19.642857142857142,7.576144084141581,12,3,9,6,6,4.242640687119285,4.285714285714286,30,17.142857142857142,17.142857142857142,18.182745801939795,"axon-spring-boot-autoconfigure-5.0.1,axon-conversion-5.0.1",""
"reactor.core",2,6,1,5,3,3,2.8284271247461903,8.771929824561402,20,14.385964912280702,14.385964912280702,7.9394445606910615,9,1,8,4.5,4.5,4.949747468305833,1.3888888888888888,1.4035087719298245,1.3961988304093567,1.3961988304093567,0.010337818438399798,"axon-server-connector-5.0.1,axon-messaging-5.0.1",""
"IdTypeParameterResolver",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.1",""
"ScannedEntityCreator",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.1",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.1",""
