"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_sorted_top.cypher"
"axon-tracing-opentelemetry-5.0.1",5,16,6,320,26,85,6,"io.opentelemetry.context.propagation,io.opentelemetry.api.trace,jakarta.annotation,org.slf4j","TextMapSetter,TextMapGetter,TextMapPropagator,ContextPropagators,Tracer,Span,StatusCode,SpanContext,SpanBuilder",""
"axon-server-connector-5.0.1",72,113,23,156.94444444444443,244,1215,23,"io.axoniq.axonserver.grpc,jakarta.annotation,io.axoniq.axonserver.grpc.event.dcb,io.grpc","MetaDataValue$DataCase,MetaDataValue,ProcessingKey,MetaDataValue$Builder,ProcessingInstruction,ProcessingInstruction$Builder,ErrorMessage,ErrorMessage$Builder,SerializedObject",""
"axon-spring-boot-autoconfigure-5.0.1",70,87,36,124.28571428571429,220,411,36,"org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,org.springframework.boot.autoconfigure,org.springframework.boot.context.properties","ConditionalOnProperty,ConditionOutcome,AnyNestedCondition,ConditionalOnClass,AllNestedConditions,ConditionalOnBean,ConditionalOnMissingBean,ConditionalOnExpression,SpringBootCondition",""
"axon-conversion-5.0.1",30,32,11,106.66666666666667,99,421,11,"jakarta.annotation,org.apache.avro,com.fasterxml.jackson.databind,org.apache.avro.message","Nonnull,Nullable,AvroRuntimeException,Schema,SchemaCompatibility,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$SchemaCompatibilityType",""
"axon-metrics-micrometer-5.0.1",13,13,4,100,46,152,4,"io.micrometer.core.instrument,jakarta.annotation,org.slf4j,io.micrometer.core.instrument.simple","Tags,Tag,MeterRegistry,Clock,Timer$Builder,Timer,Gauge$Builder,Gauge,Counter",""
"axon-test-5.0.1",73,24,11,32.87671232876712,94,456,11,"org.hamcrest,jakarta.annotation,com.google.gson,org.jetbrains.annotations","Matcher,Description,CoreMatchers,StringDescription,BaseMatcher,TypeSafeMatcher,Nullable,Nonnull,JsonElement",""
"axon-eventsourcing-5.0.1",100,20,6,20,102,419,6,"jakarta.annotation,jakarta.persistence,org.slf4j,WrappedEventCriteriaBuilderMethod","Nonnull,Nullable,EntityExistsException,TypedQuery,EntityManager,GeneratedValue,Lob,Index,SequenceGenerator",""
"axon-common-5.0.1",150,28,11,18.666666666666664,109,524,11,"jakarta.annotation,org.slf4j,javax.cache.event,org.ehcache.event","Nonnull,Nullable,LoggerFactory,Logger,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryExpiredListener",""
"axon-update-5.0.1",23,4,2,17.391304347826086,28,129,2,"org.slf4j,jakarta.annotation","Logger,LoggerFactory,Nonnull,Nullable",""
"axon-messaging-5.0.1",570,32,8,5.614035087719298,602,3181,8,"jakarta.annotation,org.slf4j,com.fasterxml.jackson.annotation,reactor.core.publisher","Nonnull,Nullable,LoggerFactory,Logger,JsonGetter,JsonIgnore,JsonTypeInfo,JsonTypeInfo$Id,JsonProperty",""
"axon-modelling-5.0.1",93,4,2,4.301075268817204,92,586,2,"jakarta.annotation,org.slf4j","Nonnull,Nullable,LoggerFactory,Logger",""
