"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Get_Incoming_Java_Package_Dependencies.cypher"
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","unitofwork",11526,38914,240,54,61,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.core","core",11118,35970,408,79,70,7,""
"axon-common-5.0.2","org.axonframework.common.configuration","configuration",3366,18028,146,50,32,8,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","eventhandling",3202,10798,152,31,37,6,""
"axon-common-5.0.2","org.axonframework.common.annotation","annotation",2196,2438,137,18,56,8,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling","commandhandling",1463,5131,98,25,26,6,""
"axon-common-5.0.2","org.axonframework.common.infra","infra",1377,1666,121,30,46,6,""
"axon-common-5.0.2","org.axonframework.common","common",895,2129,284,21,78,10,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling","queryhandling",698,2468,76,17,16,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","annotation",487,1508,117,11,24,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",425,2147,58,8,16,3,""
"axon-conversion-5.0.2","org.axonframework.conversion","conversion",415,1708,54,12,18,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming","eventstreaming",293,833,53,14,10,3,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","eventstore",221,718,65,7,9,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing","tracing",136,478,36,7,6,1,""
"axon-test-5.0.2","org.axonframework.test.fixture","fixture",132,359,26,0,1,0,""
"axon-modelling-5.0.2","org.axonframework.modelling","modelling",125,282,36,9,9,2,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity","entity",115,394,25,5,5,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.child","child",89,230,28,7,3,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",86,662,31,5,10,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.configuration","configuration",84,283,18,6,5,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.repository","repository",81,395,20,5,7,1,""
