"artifactName","fullQualifiedPackageName","packageName","abstractness","numberAbstractTypes","numberTypes","Source Cypher File: Metrics/Calculate_and_set_Abstractness_for_Java.cypher"
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",0,0,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.reflection","reflection",0,0,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork.annotation","annotation",0,0,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration","configuration",0,0,2,""
"axon-update-5.0.2","org.axonframework.update.common","common",0,0,1,""
"axon-common-5.0.2","org.axonframework.common.io","io",0,0,1,""
"axon-common-5.0.2","org.axonframework.common.digest","digest",0,0,1,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0,0,1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.util.jpa","jpa",0,0,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.retry","retry",0,0,1,""
"axon-update-5.0.2","org","org",0,0,0,""
"axon-update-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-common-5.0.2","org","org",0,0,0,""
"axon-common-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-test-5.0.2","org","org",0,0,0,""
"axon-test-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-metrics-micrometer-5.0.2","org","org",0,0,0,""
"axon-metrics-micrometer-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension","extension",0,0,0,""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics","metrics",0,0,0,""
"axon-server-connector-5.0.2","org","org",0,0,0,""
"axon-server-connector-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-server-connector-5.0.2","org.axonframework.axonserver","axonserver",0,0,0,""
"axon-modelling-5.0.2","org","org",0,0,0,""
"axon-modelling-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-spring-boot-autoconfigure-5.0.2","org","org",0,0,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension","extension",0,0,0,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.service","service",0,0,0,""
"axon-eventsourcing-5.0.2","org","org",0,0,0,""
"axon-eventsourcing-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-conversion-5.0.2","org","org",0,0,0,""
"axon-conversion-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-messaging-5.0.2","org","org",0,0,0,""
"axon-messaging-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-messaging-5.0.2","org.axonframework.messaging","messaging",0,0,0,""
"axon-tracing-opentelemetry-5.0.2","org","org",0,0,0,""
"axon-tracing-opentelemetry-5.0.2","org.axonframework","axonframework",0,0,0,""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension","extension",0,0,0,""
"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing","tracing",0,0,0,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","jpa",0.06666666666666667,1,15,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","query",0.09090909090909091,1,11,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception","interception",0.10526315789473684,2,19,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.sequencing","sequencing",0.1111111111111111,1,9,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",0.1111111111111111,1,9,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.configuration","configuration",0.125,1,8,""
"axon-test-5.0.2","org.axonframework.test.matchers","matchers",0.13043478260869565,3,23,""
"axon-common-5.0.2","org.axonframework.common.lock","lock",0.2,2,10,""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","avro",0.2,2,10,""
"axon-update-5.0.2","org.axonframework.update","update",0.2,1,5,""
"axon-test-5.0.2","org.axonframework.test","test",0.2,1,5,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.2,1,5,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.tracing","tracing",0.2,1,5,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.2,1,5,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",0.2,1,5,""
"axon-common-5.0.2","org.axonframework.common","common",0.23529411764705882,8,34,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","connector",0.25,7,28,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",0.25,6,24,""
"axon-modelling-5.0.2","org.axonframework.modelling","modelling",0.25,4,16,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",0.25,3,12,""
"axon-common-5.0.2","org.axonframework.common.infra","infra",0.25,2,8,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.25,2,8,""
"axon-common-5.0.2","org.axonframework.common.jpa","jpa",0.25,1,4,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.service.connection","connection",0.25,1,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay","replay",0.25,1,4,""
"axon-update-5.0.2","org.axonframework.update.configuration","configuration",0.2857142857142857,2,7,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.tracing","tracing",0.2857142857142857,2,7,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.tracing","tracing",0.2857142857142857,2,7,""
"axon-messaging-5.0.2","org.axonframework.messaging.core","core",0.3,24,80,""
"axon-modelling-5.0.2","org.axonframework.modelling.annotation","annotation",0.3,3,10,""
"axon-conversion-5.0.2","org.axonframework.conversion","conversion",0.3,3,10,""
"axon-common-5.0.2","org.axonframework.common.caching","caching",0.3076923076923077,4,13,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.util","util",0.3076923076923077,4,13,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity","entity",0.3076923076923077,4,13,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.retry","retry",0.3076923076923077,4,13,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","annotation",0.32,16,50,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","eventstore",0.3333333333333333,15,45,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.annotation","annotation",0.3333333333333333,6,18,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","unitofwork",0.3333333333333333,5,15,""
"axon-test-5.0.2","org.axonframework.test.util","util",0.3333333333333333,4,12,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation","annotation",0.3333333333333333,4,12,""
"axon-common-5.0.2","org.axonframework.common.property","property",0.3333333333333333,3,9,""
"axon-common-5.0.2","org.axonframework.common.util","util",0.3333333333333333,2,6,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection","reflection",0.3333333333333333,2,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring","monitoring",0.3333333333333333,2,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.correlation","correlation",0.3333333333333333,2,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing","processing",0.3333333333333333,1,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.3333333333333333,1,3,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.configuration","configuration",0.35714285714285715,5,14,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed","distributed",0.36363636363636365,4,11,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.annotation","annotation",0.3684210526315789,7,19,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway","gateway",0.375,3,8,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing","tracing",0.38461538461538464,5,13,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed","distributed",0.4,4,10,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay.annotation","annotation",0.4,4,10,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway","gateway",0.4,2,5,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling","queryhandling",0.4166666666666667,10,24,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.child","child",0.42857142857142855,6,14,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing","eventsourcing",0.42857142857142855,3,7,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming","eventstreaming",0.4375,7,16,""
"axon-test-5.0.2","org.axonframework.test.fixture","fixture",0.45161290322580644,14,31,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation","annotation",0.45454545454545453,5,11,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling","commandhandling",0.47368421052631576,9,19,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","eventhandling",0.47368421052631576,9,19,""
"axon-common-5.0.2","org.axonframework.common.configuration","configuration",0.4782608695652174,22,46,""
"axon-common-5.0.2","org.axonframework.common.jdbc","jdbc",0.5,6,12,""
"axon-common-5.0.2","org.axonframework.common.annotation","annotation",0.5,2,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.conversion","conversion",0.5,1,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway","gateway",0.5,1,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.conversion","conversion",0.5,1,2,""
"axon-modelling-5.0.2","org.axonframework.modelling.configuration","configuration",0.5384615384615384,7,13,""
"axon-modelling-5.0.2","org.axonframework.modelling.repository","repository",0.5555555555555556,5,9,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.util","util",0.5714285714285714,4,7,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation","annotation",0.5714285714285714,4,7,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork.transaction","transaction",0.6,3,5,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation","annotation",0.7,7,10,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.configuration","configuration",0.7142857142857143,10,14,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.configuration","configuration",0.75,3,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.configuration","configuration",0.75,3,4,""
"axon-common-5.0.2","org.axonframework.common.function","function",1,2,2,""
"axon-common-5.0.2","org.axonframework.common.tx","tx",1,1,1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.actuator","actuator",1,1,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming","streaming",1,1,1,""
