"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Set_Outgoing_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","eventhandling",671,2124,103,47,20,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core","core",402,1431,85,72,26,2,""
"axon-modelling-5.0.2","org.axonframework.modelling","modelling",381,1124,66,23,19,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing","processing",345,1265,76,13,17,2,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing","eventsourcing",329,1064,99,14,32,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling","commandhandling",315,1014,72,29,14,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling","queryhandling",314,1122,73,19,12,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming","streaming",274,1006,77,11,19,2,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity","entity",270,856,47,11,17,3,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","connector",253,866,107,2,24,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",231,919,73,2,19,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","eventstore",194,599,57,7,17,3,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.annotation","annotation",179,681,49,5,18,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","unitofwork",176,693,12,54,6,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception","interception",166,587,43,0,11,1,""
"axon-test-5.0.2","org.axonframework.test","test",160,479,45,9,14,2,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","event",142,416,59,0,17,3,""
"axon-test-5.0.2","org.axonframework.test.fixture","fixture",132,472,43,8,15,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","annotation",124,337,36,8,9,1,""
