"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-5.0.2","org.axonframework.messaging.core","core",18039,59506,373,112,69,7,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","unitofwork",11278,38018,226,54,59,5,""
"axon-common-5.0.2","org.axonframework.common","common",7295,23086,462,104,90,9,""
"axon-common-5.0.2","org.axonframework.common.configuration","configuration",3205,17368,106,50,31,8,""
"axon-common-5.0.2","org.axonframework.common.annotation","annotation",2195,2437,136,18,55,8,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","eventhandling",2081,7484,97,36,25,6,""
"axon-common-5.0.2","org.axonframework.common.infra","infra",1363,1592,116,30,45,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling","commandhandling",883,3295,63,26,20,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","annotation",399,1202,81,11,23,4,""
"axon-conversion-5.0.2","org.axonframework.conversion","conversion",363,1527,35,12,14,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",350,1416,45,8,11,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling","queryhandling",279,897,34,15,12,5,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming","eventstreaming",241,688,39,14,9,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing","processing",217,685,30,13,10,5,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming","streaming",207,655,30,12,11,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing","tracing",107,356,21,7,4,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","eventstore",77,208,19,6,6,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",74,623,23,5,9,1,""
"axon-modelling-5.0.2","org.axonframework.modelling","modelling",74,226,13,20,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.conversion","conversion",66,225,21,3,16,5,""
"axon-modelling-5.0.2","org.axonframework.modelling.repository","repository",66,311,14,5,6,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing","eventsourcing",62,170,15,6,4,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.configuration","configuration",61,220,8,6,4,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.child","child",52,137,16,7,2,0,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity","entity",45,103,9,9,4,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring","monitoring",36,138,15,2,6,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception","interception",22,136,13,0,9,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.conversion","conversion",18,54,16,1,11,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",18,56,14,0,3,2,""
"axon-common-5.0.2","org.axonframework.common.jdbc","jdbc",15,71,11,0,4,2,""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.annotation","annotation",13,25,4,4,3,1,""
"axon-update-5.0.2","org.axonframework.update.api","api",13,67,5,1,2,0,""
"axon-common-5.0.2","org.axonframework.common.util","util",10,30,9,0,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork.transaction","transaction",10,18,8,0,5,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",10,23,6,1,3,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.sequencing","sequencing",10,32,6,0,3,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed","distributed",10,32,5,2,3,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.util","util",9,17,7,0,3,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.distributed","distributed",9,28,4,2,3,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.correlation","correlation",9,34,4,1,3,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation","annotation",9,18,6,0,5,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.configuration","configuration",9,32,4,4,1,0,""
"axon-common-5.0.2","org.axonframework.common.jpa","jpa",8,27,8,0,4,2,""
"axon-common-5.0.2","org.axonframework.common.tx","tx",8,15,8,1,5,2,""
"axon-test-5.0.2","org.axonframework.test.matchers","matchers",8,27,4,0,1,0,""
"axon-update-5.0.2","org.axonframework.update","update",8,25,5,0,2,0,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","connector",7,31,5,0,3,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration","configuration",7,22,7,0,7,2,""
"axon-update-5.0.2","org.axonframework.update.configuration","configuration",7,26,7,0,3,1,""
"axon-common-5.0.2","org.axonframework.common.function","function",6,13,5,1,5,1,""
"axon-common-5.0.2","org.axonframework.common.property","property",6,19,3,0,3,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation","annotation",6,10,6,1,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration.reflection","reflection",6,6,6,0,5,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.timeout","timeout",6,68,4,0,2,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",6,15,4,2,2,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.annotation","annotation",6,13,5,0,4,1,""
"axon-common-5.0.2","org.axonframework.common.lifecycle","lifecycle",5,30,3,0,3,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation","annotation",5,15,2,0,2,0,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","jpa",5,17,2,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway","gateway",5,14,3,1,2,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.interception","interception",5,20,1,0,1,0,""
"axon-update-5.0.2","org.axonframework.update.detection","detection",5,8,3,0,2,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command","command",4,16,2,0,1,0,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","query",4,14,2,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway","gateway",4,9,3,0,2,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",4,10,2,2,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.configuration","configuration",4,36,3,0,2,0,""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","avro",3,7,1,0,1,0,""
"axon-conversion-5.0.2","org.axonframework.conversion.json","json",3,8,3,0,2,1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot.util","util",3,4,2,0,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.configuration","configuration",3,3,3,1,3,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.annotation","annotation",3,4,3,1,3,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.configuration","configuration",3,3,3,1,3,2,""
