"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependenciesIncludingSubpackages","p.incomingDependenciesIncludingSubpackages","p.outgoingDependentTypesIncludingSubpackages","p.incomingDependentTypesIncludingSubpackages","p.outgoingDependentInterfacesIncludingSubpackages","p.incomingDependentInterfacesIncludingSubpackages","p.outgoingDependentPackagesIncludingSubpackages","p.incomingDependentPackagesIncludingSubpackages","p.outgoingDependentArtifactsIncludingSubpackages","p.incomingDependentArtifactsIncludingSubpackages","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Java_Including_Subpackages.cypher"
"axon-common-5.0.2","org.axonframework.common.annotation","annotation",0.0009103322712790169,0.014492753623188406,0,0.017857142857142856,0,2,2195,2,136,0,18,1,55,0,8,""
"axon-common-5.0.2","org.axonframework.common.infra","infra",0.003654970760233918,0.025210084033613446,0,0.0425531914893617,0,5,1363,3,116,0,30,2,45,0,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","unitofwork",0.01536581107036843,0.05042016806722689,0.5,0.09230769230769231,0.16666666666666666,176,11278,12,226,54,54,6,59,1,5,""
"axon-common-5.0.2","org.axonframework.common.configuration","configuration",0.021075137446548563,0.07017543859649122,0.42528735632183906,0.11428571428571428,0,69,3205,8,106,37,50,4,31,0,8,""
"axon-messaging-5.0.2","org.axonframework.messaging.core","core",0.02179925166748007,0.185589519650655,0.391304347826087,0.2736842105263158,0.2222222222222222,402,18039,85,373,72,112,26,69,2,7,""
"axon-conversion-5.0.2","org.axonframework.conversion","conversion",0.05958549222797927,0.14634146341463414,0.5,0.17647058823529413,0,23,363,6,35,12,12,3,14,0,3,""
"axon-common-5.0.2","org.axonframework.common.util","util",0.09090909090909091,0.1,0,0.16666666666666666,0,1,10,1,9,0,0,1,5,0,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.conversion","conversion",0.13157894736842105,0.16,0.5,0.2,0.2857142857142857,10,66,4,21,3,3,4,16,2,5,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.15254237288135594,0.3283582089552239,0.5,0.45,0.3333333333333333,63,350,22,45,8,8,9,11,2,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming","eventstreaming",0.15734265734265734,0.20408163265306123,0.5,0.35714285714285715,0.25,45,241,10,39,14,14,5,9,1,3,""
"axon-common-5.0.2","org.axonframework.common.lifecycle","lifecycle",0.16666666666666666,0.25,0,0.25,0,1,5,1,3,0,0,1,3,0,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing","tracing",0.2074074074074074,0.3,0.46153846153846156,0.5,0.5,28,107,9,21,6,7,4,4,1,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.23076923076923078,0.3333333333333333,0.5,0.5,0,3,10,3,6,1,1,3,3,0,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","annotation",0.23709369024856597,0.3076923076923077,0.42105263157894735,0.28125,0.2,124,399,36,81,8,11,9,23,1,4,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","eventhandling",0.24382267441860464,0.515,0.5662650602409639,0.4444444444444444,0.25,671,2081,103,97,47,36,20,25,2,6,""
