"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Java.cypher"
"axon-common-5.0.2","org.axonframework.common.annotation","annotation",0.001364256480218281,0.02142857142857143,0,0.034482758620689655,0,3,2196,3,137,0,18,2,56,0,8,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","unitofwork",0.009283135636926251,0.08045977011494253,0.14285714285714285,0.08955223880597014,0.2,108,11526,21,240,9,54,6,61,1,4,""
"axon-common-5.0.2","org.axonframework.common.infra","infra",0.019230769230769232,0.07633587786259542,0.09090909090909091,0.061224489795918366,0,27,1377,10,121,3,30,3,46,0,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.core","core",0.029758268609826336,0.16393442622950818,0.17708333333333334,0.10256410256410256,0.2222222222222222,341,11118,80,408,17,79,8,70,2,7,""
"axon-common-5.0.2","org.axonframework.common","common",0.03347732181425486,0.05647840531561462,0,0.012658227848101266,0,31,895,17,284,0,21,1,78,0,10,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.036281179138321996,0.12121212121212122,0.2,0.15789473684210525,0.25,16,425,8,58,2,8,3,16,1,3,""
"axon-conversion-5.0.2","org.axonframework.conversion","conversion",0.0481651376146789,0.15625,0.25,0.14285714285714285,0.2,21,415,10,54,4,12,3,18,1,4,""
"axon-common-5.0.2","org.axonframework.common.configuration","configuration",0.07425742574257425,0.26262626262626265,0.29577464788732394,0.13513513513513514,0,270,3366,52,146,21,50,5,32,0,8,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling","eventhandling",0.12823305200108903,0.21649484536082475,0.39215686274509803,0.17777777777777778,0.25,471,3202,42,152,20,31,8,37,2,6,""
"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling","commandhandling",0.16875,0.2631578947368421,0.4318181818181818,0.1875,0.25,297,1463,35,98,19,25,6,26,2,6,""
"axon-common-5.0.2","org.axonframework.common.util","util",0.2,0.15384615384615385,0,0.25,0,3,12,2,11,0,0,2,6,0,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.conversion","conversion",0.23863636363636365,0.18518518518518517,0.5714285714285714,0.22727272727272727,0.2857142857142857,21,67,5,22,4,3,5,17,2,5,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.2631578947368421,0.19047619047619047,1,0.4,0.3333333333333333,10,28,4,17,2,0,4,6,1,2,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming","eventstreaming",0.2638190954773869,0.32051282051282054,0.46153846153846156,0.375,0.25,105,293,25,53,12,14,6,10,1,3,""
"axon-messaging-5.0.2","org.axonframework.messaging.monitoring","monitoring",0.27848101265822783,0.1951219512195122,0.6666666666666666,0.3076923076923077,0.3333333333333333,22,57,8,33,4,2,4,9,1,2,""
"axon-common-5.0.2","org.axonframework.common.lifecycle","lifecycle",0.3333333333333333,0.4444444444444444,0,0.3333333333333333,0,4,8,4,5,0,0,2,4,0,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.tracing","tracing",0.3333333333333333,0.32075471698113206,0.5333333333333333,0.45454545454545453,0.5,68,136,17,36,8,7,5,6,1,1,""
"axon-update-5.0.2","org.axonframework.update.api","api",0.3793103448275862,0.38461538461538464,0,0.4,1,11,18,5,8,0,1,2,3,1,0,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.38095238095238093,0.38461538461538464,0.75,0.5,0,8,13,5,8,3,1,4,4,0,0,""
"axon-test-5.0.2","org.axonframework.test.server","server",0.4,0.4,0,0.5,0.5,2,3,2,3,0,0,2,2,1,1,""
