"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-4.11.0","org.axonframework.messaging","messaging",8917,28337,379,83,63,8,""
"axon-messaging-4.11.0","org.axonframework.eventhandling","eventhandling",3726,14049,175,62,34,6,""
"axon-messaging-4.11.0","org.axonframework.serialization","serialization",1550,6288,131,18,35,5,""
"axon-messaging-4.11.0","org.axonframework.common","common",1478,4132,410,23,84,8,""
"axon-messaging-4.11.0","org.axonframework.commandhandling","commandhandling",1052,4015,73,20,17,7,""
"axon-messaging-4.11.0","org.axonframework.messaging.annotation","annotation",991,3848,112,19,26,6,""
"axon-messaging-4.11.0","org.axonframework.tracing","tracing",565,2627,85,13,21,5,""
"axon-messaging-4.11.0","org.axonframework.common.transaction","transaction",362,1089,86,5,31,5,""
"axon-configuration-4.11.0","org.axonframework.config","config",302,2034,30,13,8,1,""
"axon-messaging-4.11.0","org.axonframework.queryhandling","queryhandling",269,1043,36,12,11,3,""
"axon-messaging-4.11.0","org.axonframework.messaging.unitofwork","unitofwork",224,884,73,5,37,6,""
"axon-messaging-4.11.0","org.axonframework.monitoring","monitoring",189,501,36,6,10,4,""
"axon-eventsourcing-4.11.0","org.axonframework.eventsourcing","eventsourcing",173,645,28,21,7,4,""
"axon-messaging-4.11.0","org.axonframework.messaging.deadletter","deadletter",173,1030,24,8,8,2,""
"axon-modelling-4.11.0","org.axonframework.modelling.command","command",162,535,39,8,9,5,""
"axon-eventsourcing-4.11.0","org.axonframework.eventsourcing.eventstore","eventstore",144,464,35,19,9,5,""
"axon-messaging-4.11.0","org.axonframework.deadline","deadline",137,773,24,9,10,4,""
"axon-modelling-4.11.0","org.axonframework.modelling.saga","saga",97,277,23,12,5,2,""
"axon-messaging-4.11.0","org.axonframework.lifecycle","lifecycle",95,262,27,3,20,4,""
"axon-messaging-4.11.0","org.axonframework.messaging.responsetypes","responsetypes",90,372,20,4,5,1,""
"axon-messaging-4.11.0","org.axonframework.eventhandling.tokenstore","tokenstore",65,228,26,4,7,3,""
"axon-modelling-4.11.0","org.axonframework.modelling.saga.repository","repository",49,132,14,4,4,2,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector.util","util",48,151,24,1,6,0,""
"axon-messaging-4.11.0","org.axonframework.common.jdbc","jdbc",45,274,26,0,11,5,""
"axon-server-connector-4.11.0","org.axonframework.axonserver.connector","connector",44,164,8,2,3,0,""
"axon-modelling-4.11.0","org.axonframework.modelling.command.inspection","inspection",41,151,24,4,6,4,""
"axon-test-4.11.0","org.axonframework.test.matchers","matchers",30,140,10,2,3,0,""
"axon-messaging-4.11.0","org.axonframework.messaging.correlation","correlation",29,55,9,3,4,2,""
"axon-messaging-4.11.0","org.axonframework.common.stream","stream",28,120,14,2,7,3,""
"axon-eventsourcing-4.11.0","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",27,78,2,0,1,0,""
