"dependencyWeight","fileDistance","commitCount","updateCommitMinConfidence","updateCommitSupport","updateCommitLift","updateCommitJaccardSimilarity","Source Cypher File: domains/git-history/queries/statistics/List_pairwise_changed_files_with_dependencies.cypher"
25,,4,0.16,0.001271051795360661,2.2084210526315786,0.01606425702811245,""
28,,4,0.17391304347826086,0.001271051795360661,12.728008088978767,0.06451612903225806,""
28,,4,0.36363636363636365,0.001271051795360661,19.07272727272727,0.05970149253731343,""
28,,6,0.24,0.0019065776930409914,2.927441860465117,0.021660649819494584,""
50,,3,0.07317073170731707,0.0009532888465204957,1.0099486521181,0.011278195488721804,""
50,,9,0.14285714285714285,0.002859866539561487,1.971804511278195,0.031914893617021274,""
56,,3,0.75,0.0009532888465204957,81.38793103448276,0.1,""
56,,3,0.23076923076923078,0.0009532888465204957,7.19040365575019,0.02702702702702703,""
56,,4,0.10256410256410256,0.001271051795360661,6.7243589743589745,0.04819277108433735,""
56,,6,0.25,0.0019065776930409914,13.112499999999999,0.07692307692307693,""
56,,7,0.14583333333333334,0.0022243406418811567,4.543935643564357,0.04929577464788732,""
75,,9,0.0703125,0.002859866539561487,0.9704975328947366,0.025936599423631124,""
104,,3,0.08571428571428572,0.0009532888465204957,5.619642857142857,0.0375,""
140,,9,0.34615384615384615,0.002859866539561487,4.222271914132379,0.03272727272727273,""
150,,3,0.13636363636363635,0.0009532888465204957,1.8821770334928227,0.012145748987854251,""
196,,9,0.2571428571428571,0.002859866539561487,3.136544850498339,0.03169014084507042,""
224,,3,0.10344827586206896,0.0009532888465204957,3.2232843974052576,0.023622047244094488,""
250,,44,0.35772357723577236,0.013981569748967271,4.937526743688489,0.14332247557003258,""
275,,9,0.17647058823529413,0.002859866539561487,2.4357585139318885,0.03333333333333333,""
325,,3,0.15,0.0009532888465204957,5.553529411764705,0.029411764705882353,""
325,,9,0.36,0.002859866539561487,37.764,0.1956521739130435,""
384,,3,0.23076923076923078,0.0009532888465204957,3.1852226720647776,0.012605042016806723,""
450,,4,0.3076923076923077,0.001271051795360661,12.257059396299903,0.045454545454545456,""
550,,20,0.08888888888888889,0.006355258976803305,1.2269005847953216,0.046189376443418015,""
650,,9,0.36,0.002859866539561487,8.8509375,0.0625,""
950,,6,0.0759493670886076,0.0019065776930409914,1.0483011325782812,0.019933554817275746,""
975,,3,0.058823529411764705,0.0009532888465204957,2.9383753501400562,0.02702702702702703,""
1150,,19,0.12418300653594772,0.0060374960279631395,1.7140522875816993,0.052486187845303865,""
2275,,3,0.07317073170731707,0.0009532888465204957,1.0234146341463415,0.011406844106463879,""
2275,,21,0.24705882352941178,0.00667302192564347,6.074172794117646,0.109375,""
3978,,12,0.19047619047619047,0.0038131553860819827,3.9178338001867408,0.058823529411764705,""
5850,,9,0.07317073170731707,0.002859866539561487,1.0234146341463415,0.02654867256637168,""
7150,,6,0.04878048780487805,0.0019065776930409914,1.003347680535629,0.022222222222222223,""
13065,,4,0.16,0.001271051795360661,9.872941176470588,0.05555555555555555,""
15925,,5,0.09803921568627451,0.0015888147442008262,2.016532103037293,0.02512562814070352,""
29211,,10,0.15873015873015872,0.0031776294884016524,2.22010582010582,0.03597122302158273,""
546897,,38,0.24836601307189543,0.012074992055926279,3.4738126361655777,0.11176470588235295,""
,,3,0.13636363636363635,0.0009532888465204957,1.3887908208296555,0.009146341463414634,""
,,3,0.12,0.0009532888465204957,1.2221359223300972,0.00906344410876133,""
,,3,0.13636363636363635,0.0009532888465204957,1.3887908208296555,0.009146341463414634,""
,,3,0.14285714285714285,0.0009532888465204957,1.4549237170596392,0.009174311926605505,""
,,4,0.19047619047619047,0.001271051795360661,1.939898289412852,0.012269938650306749,""
,,4,0.16666666666666666,0.001271051795360661,1.697411003236246,0.0121580547112462,""
,,6,0.20689655172413793,0.0019065776930409914,2.1071309005691328,0.018072289156626505,""
,,31,0.1415525114155251,0.009850651414045123,1.44163674247462,0.06237424547283702,""
,,33,0.14410480349344978,0.010486177311725452,1.4676304744138722,0.06534653465346535,""
,,35,0.14957264957264957,0.011121703209405783,1.969477523870829,0.07990867579908675,""
,,35,0.14893617021276595,0.011121703209405783,1.9610967684501024,0.07972665148063782,""
,,36,0.15384615384615385,0.011439466158245948,2.0602291325695585,0.08314087759815242,""
,,36,0.1506276150627615,0.011439466158245948,1.5340618271925903,0.0703125,""
,,37,0.1574468085106383,0.011757229107086114,2.0731594409329652,0.08466819221967964,""
