"codeUnitName","shortCodeUnitName","projectName","pageToArticleRankSign","pageToArticleRankDifferenceZScore","pageToArticleRankDifference","pageRank","articleRank","Source Cypher File: domains/archetypes/queries/AnomalyDetectionPotentialImbalancedRoles.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.1.0",1,25.189974455003824,48.06005112567075,54.03456777430065,5.974516648629894,""
"org.axonframework.common.TypeReference$1","TypeReference$1","axon-common-5.1.0",1,11.21600018905259,21.552887592335452,23.112846134866178,1.5599585425307276,""
"org.axonframework.common.TypeReference$2","TypeReference$2","axon-common-5.1.0",1,11.21600018905259,21.552887592335452,23.112846134866178,1.5599585425307276,""
"org.axonframework.messaging.core.Context$ResourceKey","Context$ResourceKey","axon-messaging-5.1.0",1,7.575387445142952,14.647027059910304,22.0759814258775,7.428954365967198,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.1.0",1,5.0522768203226684,9.860950839076905,18.66193176850805,8.800980929431146,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.1.0",1,4.967663078101265,9.700447444727942,16.847849876355905,7.147402431627964,""
"org.axonframework.common.infra.ComponentDescriptor","ComponentDescriptor","axon-common-5.1.0",1,4.965279975521236,9.695926949083447,11.221498809618776,1.52557186053533,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.1.0",1,4.895480849251087,9.563525327374805,11.121318393371574,1.557793065996769,""
"org.axonframework.common.AxonException","AxonException","axon-common-5.1.0",1,4.106879857312868,8.067631957455689,9.494363617186819,1.4267316597311301,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.1.0",1,3.5210606345146416,6.956394334990601,8.18874009455782,1.2323457595672191,""
"org.axonframework.messaging.core.Metadata$MetadataCollector","Metadata$MetadataCollector","axon-messaging-5.1.0",1,3.3106312716600703,6.5572319043717995,7.109840854412149,0.5526089500403499,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.1.0",1,3.040564654448407,6.044943857243575,10.610643502642949,4.565699645399374,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.1.0",1,2.8090381535472333,5.60576236850691,7.01009449254355,1.4043321240366404,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.1.0",1,2.608484560662692,5.225333237708979,8.513331175887265,3.2879979381782856,""
"org.axonframework.eventsourcing.eventstore.Position","Position","axon-eventsourcing-5.1.0",1,2.49039443979365,5.001328664208789,5.840369808940144,0.8390411447313549,""
"org.axonframework.common.annotation.Internal","Internal","axon-common-5.1.0",1,2.401767407468873,4.833212479464467,6.983071786402214,2.1498593069377474,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.1.0",1,2.4013205463318523,4.832364830756214,7.365987398952767,2.5336225681965536,""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition","axon-eventsourcing-5.1.0",1,2.3601977756443273,4.754359247891069,5.113956327240281,0.35959707934921264,""
"org.axonframework.common.StringUtils","StringUtils","axon-common-5.1.0",1,2.2464852965808975,4.5386586017506465,5.521624214338117,0.9829656125874704,""
