"projectName","shortCodeUnitName","codeUnitName","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","rank","Source Cypher File: domains/archetypes/labels/ArchetypeHub.cypher"
"axon-common-5.1.0","AxonNonTransientException","org.axonframework.common.AxonNonTransientException",0,16,15,1,1,""
"axon-common-5.1.0","Priority","org.axonframework.common.Priority",0,13,13,0,2,""
