"codeUnitName","shortCodeUnitName","projectName","betweenness","articleRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionDependencyHungryOrchestrators.cypher"
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.1.0",9856.609527541425,8.800980929431146,240,234,6,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.1.0",6626.2426108374375,7.147402431627964,231,226,5,""
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.1.0",1400,5.974516648629894,48,46,2,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.1.0",785.5,4.565699645399374,53,52,1,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.1.0",1916.5354679802958,3.2879979381782856,28,24,4,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.1.0",11442.459838533121,3.2311646685365227,148,127,21,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.1.0",1879.646969696969,2.788936676329492,140,137,3,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.1.0",523.6511904761905,2.5336225681965536,96,93,3,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken","TrackingToken","axon-messaging-5.1.0",382.1785714285714,2.2419235753289413,64,60,4,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.1.0",4588.6106569900685,2.0464537158440073,69,66,3,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.1.0",650.5647186147187,1.6497056117128845,70,67,3,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.1.0",663.3333333333334,1.557793065996769,47,46,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.1.0",592.75,1.4043321240366404,16,15,1,""
"org.axonframework.messaging.core.annotation.MessageHandlingMember","MessageHandlingMember","axon-messaging-5.1.0",1194.0833333333333,1.3945743342076764,42,38,4,""
"org.axonframework.messaging.core.MessageStream$Single","MessageStream$Single","axon-messaging-5.1.0",916.5820470717023,1.3267451718884264,52,45,7,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.1.0",4158.158174178763,1.2841613737512108,64,61,3,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.1.0",643,1.2323457595672191,42,41,1,""
"org.axonframework.messaging.eventstreaming.EventCriteria","EventCriteria","axon-messaging-5.1.0",1412.6083333333331,1.1748236271491639,37,29,8,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.1.0",1121.0833333333333,1.1070013167793862,25,24,1,""
"org.axonframework.messaging.core.MessageStream$Empty","MessageStream$Empty","axon-messaging-5.1.0",780.57991242474,0.9197524767943024,57,52,5,""
