modulePath,moduleName,Function,TypeAlias,Interface,Variable,Class,Enum
index.ts,react-router,21,64,48,19,3,2
lib/router/utils.ts,utils,22,29,24,12,3,1
index-react-server.ts,react-router,10,15,4,6,1,0
lib/router/router.ts,router,9,11,10,5,0,0
utils.ts,utils,24,0,0,4,0,0
lib/router/history.ts,history,9,6,9,0,0,1
vendor/turbo-stream-v2/utils.ts,utils,1,2,2,18,1,0
lib/rsc/server.rsc.ts,server,4,15,0,4,0,0
lib/dom/ssr/routeModules.ts,routeModules,1,12,8,0,0,0
lib/context.ts,context,1,2,4,12,0,0
vite/plugin.ts,plugin,10,4,1,2,0,0
config/routes.ts,routes,9,1,3,2,0,0
config/config.ts,config,6,7,0,1,0,0
lib/dom/dom.ts,dom,8,3,2,1,0,0
vite/route-chunks.ts,route-chunks,9,2,0,2,0,0
flatRoutes.ts,flatRoutes,7,0,0,6,0,0
lib/server-runtime/sessions.ts,sessions,2,3,4,2,0,0
lib/router/instrumentation.ts,instrumentation,3,6,0,0,0,0
lib/dom/ssr/links.ts,links,7,1,0,0,0,0
routes.ts,routes,6,1,1,0,0,0
lib/dom/ssr/fog-of-war.ts,fog-of-war,7,0,0,1,0,0
lib/server-runtime/single-fetch.ts,single-fetch,6,1,0,1,0,0
dom-export.ts,dom-export,1,6,0,0,0,0
index.ts,react-router-node,5,0,1,1,0,0
lib/types/route-data.ts,route-data,0,7,0,0,0,0
index.ts,react-router-cloudflare,3,2,1,0,0,0
vite/plugins/prerender.ts,prerender,1,2,3,0,0,0
lib/types/utils.ts,utils,0,6,0,0,0,0
lib/server-runtime/cookies.ts,cookies,0,2,2,2,0,0
server.ts,server,4,2,0,0,0,0
server.ts,server,4,2,0,0,0,0
lib/server-runtime/errors.ts,errors,4,1,0,0,0,0
worker.ts,worker,2,2,1,0,0,0
typegen/generate.ts,generate,4,1,0,0,0,0
cli/commands.ts,commands,5,0,0,0,0,0
lib/server-runtime/build.ts,build,0,0,5,0,0,0
lib/dom/ssr/entry.ts,entry,0,1,4,0,0,0
lib/errors.ts,errors,4,0,0,0,0,0
lib/types/register.ts,register,0,3,1,0,0,0
vite/rsc/virtual-route-modules.ts,virtual-route-modules,3,0,0,1,0,0
vite/styles.ts,styles,0,0,0,4,0,0
config.ts,config,0,4,0,0,0,0
config/format.ts,format,3,1,0,0,0,0
vite/vite.ts,vite,4,0,0,0,0,0
stream.ts,stream,3,0,0,1,0,0
index.ts,react-router-architect,2,2,0,0,0,0
lib/server-runtime/server.ts,server,0,2,0,1,0,0
typegen/index.ts,typegen,2,1,0,0,0,0
index.ts,react-router-express,1,2,0,0,0,0
manifest.ts,manifest,1,0,2,0,0,0
vite/profiler.ts,profiler,0,0,0,3,0,0
prompts-select.ts,prompts-select,0,0,2,0,1,0
prompts-confirm.ts,prompts-confirm,0,1,1,0,1,0
lib/server-runtime/dev.ts,dev,3,0,0,0,0,0
lib/server-runtime/routes.ts,routes,1,1,1,0,0,0
manifest.ts,manifest,1,0,2,0,0,0
lib/router/links.ts,links,0,2,1,0,0,0
lib/router/url.ts,url,1,0,0,2,0,0
defineRoutes.ts,defineRoutes,0,1,1,1,0,0
lib/server-runtime/routeMatching.ts,routeMatching,1,0,1,0,0,0
vendor/turbo-stream-v2/turbo-stream.ts,turbo-stream,2,0,0,0,0,0
lib/types/internal.ts,internal,0,2,0,0,0,0
prompts-prompt-base.ts,prompts-prompt-base,0,0,1,0,1,0
prompts-multi-select.ts,prompts-multi-select,0,0,1,0,1,0
copy-template.ts,copy-template,1,0,0,0,1,0
index.ts,create-react-router,1,0,1,0,0,0
prompts-text.ts,prompts-text,0,0,1,0,1,0
vite/vite-node.ts,vite-node,1,1,0,0,0,0
vite/cache.ts,cache,1,1,0,0,0,0
vite/dev.ts,dev,1,0,1,0,0,0
vite/build.ts,build,1,0,1,0,0,0
manifest.ts,manifest,0,2,0,0,0,0
vite.ts,vite,1,0,0,1,0,0
typegen/route.ts,route,2,0,0,0,0,0
typegen/context.ts,context,1,1,0,0,0,0
lib/rsc/route-modules.ts,route-modules,2,0,0,0,0,0
lib/server-runtime/headers.ts,headers,2,0,0,0,0,0
vite/node-adapter.ts,node-adapter,1,1,0,0,0,0
lib/types/future.ts,future,0,1,1,0,0,0
lib/server-runtime/mode.ts,mode,1,0,0,0,0,1
lib/server-runtime/serverHandoff.ts,serverHandoff,1,1,0,0,0,0
lib/server-runtime/data.ts,data,1,0,1,0,0,0
lib/server-runtime/crypto.ts,crypto,0,0,0,2,0,0
server.ts,server,1,0,1,0,0,0
sessions/fileStorage.ts,fileStorage,2,0,0,0,0,0
lib/dom/global.ts,global,0,1,1,0,0,0
vite/babel.ts,babel,0,0,0,2,0,0
binaryTypes.ts,binaryTypes,1,0,0,0,0,0
prompt.ts,prompt,1,0,0,0,0,0
loading-indicator.ts,loading-indicator,1,0,0,0,0,0
vite/load-dotenv.ts,load-dotenv,1,0,0,0,0,0
invariant.ts,invariant,1,0,0,0,0,0
config/is-react-router-repo.ts,is-react-router-repo,1,0,0,0,0,0
cli/useJavascript.ts,useJavascript,1,0,0,0,0,0
typegen/params.ts,params,1,0,0,0,0,0
sessions/workersKVStorage.ts,workersKVStorage,1,0,0,0,0,0
sessions/arcTableSessionStorage.ts,arcTableSessionStorage,1,0,0,0,0,0
cli/detectPackageManager.ts,detectPackageManager,0,0,0,1,0,0
cli/run.ts,run,1,0,0,0,0,0
