"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-test-5.1.0","org.axonframework.test.matchers",4,23,156,1,""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.util",4,10,156,1,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.annotation",4,10,156,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.gateway",4,5,156,1,""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.command",4,3,156,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.queryhandling.gateway",4,2,156,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.queryhandling",1,22,154,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.commandhandling",1,18,154,1,""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.event",1,14,154,1,""
"axon-conversion-5.1.0","org.axonframework.conversion",1,11,154,1,""
"axon-modelling-5.1.0","org.axonframework.modelling.annotation",1,10,154,1,""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.springboot",1,6,154,1,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.annotation.reflection",1,6,154,1,""
"axon-common-5.1.0","org.axonframework.common.lifecycle",1,4,154,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.core.conversion",1,2,154,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.core",5,85,115,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.core.retry",5,13,115,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.core.conversion",5,2,115,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.conversion",5,2,115,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming.pooled",3,25,110,1,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.eventstore.jpa",3,12,110,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.core.sequencing",3,11,110,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.commandhandling.interception",3,6,110,1,""
"axon-common-5.1.0","org.axonframework.common.annotation",3,5,110,1,""
"axon-common-5.1.0","org.axonframework.common.util",3,5,110,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.queryhandling.gateway",3,2,110,1,""
"axon-common-5.1.0","org.axonframework.common",2,31,98,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming.pooled",2,25,98,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling",2,18,98,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.annotation",2,17,98,1,""
"axon-modelling-5.1.0","org.axonframework.modelling",2,16,98,1,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.configuration",2,14,98,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",2,14,98,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming.token",2,8,98,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.tracing",2,7,98,1,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.snapshot.api",2,6,98,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.conversion",2,2,98,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.core",15,85,74,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.core.unitofwork",15,15,74,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.core.unitofwork.transaction",15,5,74,1,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.eventstore",7,44,65,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.queryhandling.interception",7,8,65,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.commandhandling.interception",7,6,65,1,""
"axon-messaging-5.1.0","org.axonframework.messaging.core",12,85,60,1,""
"axon-modelling-5.1.0","org.axonframework.modelling",12,16,60,1,""
