"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"org.axonframework.eventsourcing.EventSourcingRepository","EventSourcingRepository",0,"388,886,885",0,"388,16,26,6",,0,0,0,9,31,-1,1,15,""
"org.axonframework.eventsourcing.EventSourcingRepository$EventSourcedEntity","EventSourcingRepository$EventSourcedEntity",0,"388,886,885",0,"388,16,26,6",,1,0,0,2,81,89,1,1,""
"org.axonframework.eventsourcing.eventstore.EventStore","EventStore",0,"75,886,885",0,"388,16,26,6",,2,0,1,9,99,89,10,4,""
"org.axonframework.eventsourcing.handler.SourcingHandler","SourcingHandler",0,"388,886,885",0,"388,16,26,6",,3,0,0,7,69,89,3,4,""
"org.axonframework.eventsourcing.handler.InitializingEntityEvolver","InitializingEntityEvolver",0,"388,886,885",0,"388,16,26,6",,4,0,0,7,15,120,4,7,""
"org.axonframework.eventsourcing.EventSourcedEntityFactory","EventSourcedEntityFactory",0,"388,886,885",0,"388,16,26,6",,5,0,0,7,6,89,9,2,""
"org.axonframework.eventsourcing.CriteriaResolver","CriteriaResolver",0,"388,886,885",0,"388,16,26,6",,6,0,0,8,88,32,10,2,""
"org.axonframework.eventsourcing.handler.SimpleSourcingHandler","SimpleSourcingHandler",0,"388,886,885",0,"388,16,26,6",,7,0,0,9,95,129,2,12,""
"org.axonframework.eventsourcing.eventstore.EventStoreTransaction","EventStoreTransaction",0,"75,886,885",0,"388,16,26,6",,8,0,1,9,85,120,10,5,""
"org.axonframework.eventsourcing.annotation.CriteriaResolverDefinition","CriteriaResolverDefinition",1,"1130,1130,1114",1,"1130,51,1,10",,9,0,2,5,91,-1,3,2,""
"org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolverDefinition","AnnotationBasedEventCriteriaResolverDefinition",1,"1130,1130,1114",1,"1130,51,1,10",,10,0,2,5,24,110,1,4,""
"org.axonframework.eventsourcing.annotation.EventTags","EventTags",2,"721,83,83",2,"721,245,9,9",,11,0,3,3,79,133,2,1,""
"org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory","AnnotationBasedEventSourcedEntityFactory",0,"20,886,885",3,"20,3,13,8",,12,0,4,10,33,89,3,20,""
"org.axonframework.eventsourcing.annotation.EventSourcedEntity","EventSourcedEntity",1,"1130,1130,1114",1,"1130,51,1,10",,10,0,2,5,42,84,2,6,""
"org.axonframework.eventsourcing.annotation.EventTag","EventTag",2,"721,83,83",2,"721,245,9,9",,11,0,3,3,83,-1,2,1,""
"org.axonframework.eventsourcing.annotation.reflection.EntityCreator","EntityCreator",0,"20,886,885",3,"20,3,13,8",,13,0,4,1,44,90,1,0,""
"org.axonframework.eventsourcing.annotation.EventSourcedEntityFactoryDefinition","EventSourcedEntityFactoryDefinition",1,"1130,1130,1114",1,"1130,51,1,10",,14,0,2,5,69,65,3,2,""
"org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactoryDefinition","AnnotationBasedEventSourcedEntityFactoryDefinition",1,"1130,1130,1114",1,"1130,51,1,10",,15,0,2,6,18,-1,1,7,""
"org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory$IdTypeParameterResolver","AnnotationBasedEventSourcedEntityFactory$IdTypeParameterResolver",0,"20,886,885",3,"20,3,13,8",,12,0,4,5,93,90,1,4,""
"org.axonframework.eventsourcing.annotation.reflection.InjectEntityId","InjectEntityId",0,"20,886,885",3,"20,3,13,8",,16,0,4,1,98,90,1,0,""
"org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory$ScannedEntityCreator","AnnotationBasedEventSourcedEntityFactory$ScannedEntityCreator",0,"20,886,885",3,"20,3,13,8",,12,0,4,8,6,90,1,8,""
"org.axonframework.eventsourcing.snapshot.api.Snapshot","Snapshot",2,"958,83,83",2,"958,176,9,9",,17,0,5,5,63,41,6,1,""
"org.axonframework.eventsourcing.snapshot.api.Snapshotter","Snapshotter",0,"388,886,885",0,"388,16,26,6",,18,0,0,5,35,63,2,3,""
"org.axonframework.eventsourcing.eventstore.Position","Position",2,"23,83,83",2,"47,245,9,9",,19,0,6,7,49,63,17,1,""
"org.axonframework.eventsourcing.snapshot.store.SnapshotStore","SnapshotStore",2,"958,83,83",2,"958,176,9,9",,20,0,5,6,1,61,5,3,""
"org.axonframework.eventsourcing.annotation.EventSourcingHandler","EventSourcingHandler",3,"528,457,383",4,"528,266,60,14",,21,0,7,1,85,-1,0,1,""
"org.axonframework.eventsourcing.annotation.EventCriteriaBuilder","EventCriteriaBuilder",4,"27,352,352",5,"29,228,30,0",,22,0,8,1,5,-1,1,0,""
"org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver","AnnotationBasedEventCriteriaResolver",4,"27,352,352",5,"29,228,30,0",,10,0,8,8,96,-1,2,12,""
"org.axonframework.eventsourcing.snapshot.store.StoreBackedSnapshotter","StoreBackedSnapshotter",2,"958,83,83",2,"958,176,9,9",,23,0,5,6,2,41,1,8,""
"org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod","AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod",4,"27,352,352",5,"29,228,30,0",,10,0,8,5,68,11,1,4,""
"org.axonframework.eventsourcing.snapshot.inmemory.InMemorySnapshotStore","InMemorySnapshotStore",2,"958,83,83",2,"958,176,9,9",,24,0,5,3,94,-1,0,3,""
"org.axonframework.eventsourcing.eventstore.MetadataBasedTagResolver","MetadataBasedTagResolver",2,"721,83,83",2,"721,245,9,9",,25,0,9,4,68,-1,0,4,""
"org.axonframework.eventsourcing.snapshot.api.SnapshotPolicy$2","SnapshotPolicy$2",5,"57,385,385",0,"57,16,26,6",,26,0,10,4,16,-1,1,3,""
"org.axonframework.eventsourcing.snapshot.api.SnapshotPolicy$1","SnapshotPolicy$1",5,"57,385,385",0,"57,16,26,6",,26,0,10,4,54,-1,1,3,""
"org.axonframework.eventsourcing.eventstore.EventCoordinator$1","EventCoordinator$1",2,"80,83,83",2,"86,245,9,9",,27,0,11,4,68,-1,1,3,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedSourcingEventMessageStream","InMemoryEventStorageEngine$MapBackedSourcingEventMessageStream",2,"37,83,83",2,"39,245,9,9",,28,0,12,9,80,-1,1,11,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedMessageStream","InMemoryEventStorageEngine$MapBackedMessageStream",2,"37,83,83",2,"39,245,9,9",,28,0,12,9,11,154,4,11,""
"org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine","InMemoryEventStorageEngine",2,"37,83,83",2,"39,245,9,9",,28,0,12,9,24,141,5,22,""
"org.axonframework.eventsourcing.eventstore.GlobalIndexConsistencyMarker","GlobalIndexConsistencyMarker",2,"60,83,83",2,"60,245,9,9",,29,0,13,7,27,120,6,4,""
