"dependentArtifactName","numberOfReflectionCaller","someReflectionCaller","someReflectionTypes","Source Cypher File: domains/java/queries/java-code-quality/Java_Reflection_usage.cypher"
"axon-messaging-5.1.1",633,"org.axonframework.messaging.commandhandling.CommandBus,org.axonframework.messaging.eventstreaming.TagAndTypeFilteredEventCriteria,org.axonframework.messaging.eventhandling.processing.EventProcessor,org.axonframework.messaging.core.annotation.AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus,org.axonframework.messaging.commandhandling.CommandExecutionException,org.axonframework.messaging.eventstreaming.Tag,org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy,org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.queryhandling.tracing.DefaultQueryUpdateEmitterSpanFactory$Builder,org.axonframework.messaging.queryhandling.annotation.QueryHandlingMember,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorModule$Customization,org.axonframework.messaging.commandhandling.gateway.DefaultCommandGateway,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.core.AbstractMessageStream,org.axonframework.messaging.queryhandling.annotation.package-info,org.axonframework.messaging.core.CompletionCallbackMessageStream,org.axonframework.messaging.eventhandling.replay.ReplayStatusChangedHandlerRegistry,org.axonframework.messaging.commandhandling.package-info","java.lang.reflect.Field,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method,java.lang.reflect.Type,java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.Constructor,java.lang.reflect.Member,java.lang.reflect.Modifier,java.lang.reflect.AnnotatedElement,java.lang.reflect.WildcardType",""
"axon-update-5.1.1",28,"org.axonframework.update.api.ArtifactAvailableUpgrade,org.axonframework.update.api.package-info,org.axonframework.update.common.DelayedTask,org.axonframework.update.configuration.CommandLineUsagePropertyProvider,org.axonframework.update.api.UpdateCheckRequest,org.axonframework.update.detection.AxonVersionDetector,org.axonframework.update.detection.package-info,org.axonframework.update.api.Artifact,org.axonframework.update.UpdateCheckerHttpClient,org.axonframework.update.configuration.DefaultUsagePropertyProvider,org.axonframework.update.detection.TestEnvironmentDetector,org.axonframework.update.api.UpdateCheckResponse,org.axonframework.update.UpdateChecker,org.axonframework.update.LoggingUpdateCheckerReporter,org.axonframework.update.detection.MachineId,org.axonframework.update.api.DetectedVulnerabilitySeverity,org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider$EnvironmentVariableSupplier,org.axonframework.update.common.package-info,org.axonframework.update.configuration.package-info","java.lang.reflect.Method",""
"axon-server-connector-5.1.1",79,"io.axoniq.framework.axonserver.connector.event.EventProcessorControlService,io.axoniq.framework.axonserver.connector.query.QueryUpdateMessageStream,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1,io.axoniq.framework.axonserver.connector.configuration.AxonServerConfigurationEnhancer,io.axoniq.framework.axonserver.connector.event.AxonServerMessageStream,io.axoniq.framework.axonserver.connector.api.command.AxonServerRemoteCommandHandlingException,io.axoniq.framework.axonserver.connector.api.AxonServerConnectionManager,io.axoniq.framework.axonserver.connector.api.ConnectionManager,io.axoniq.framework.axonserver.connector.event.TaggedEventConverter,io.axoniq.framework.axonserver.connector.shared.GrpcExceptionParser,io.axoniq.framework.axonserver.connector.api.command.AxonServerNonTransientRemoteCommandHandlingException,io.axoniq.framework.axonserver.connector.shared.ExceptionFactory$1,io.axoniq.framework.axonserver.connector.event.StreamingEventMessageStream,io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration$Eventhandling,io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration$FlowControlConfiguration,io.axoniq.framework.axonserver.connector.query.FlowControlledResponseSender,io.axoniq.framework.axonserver.connector.configuration.TopologyChange$HandlerSubscription,io.axoniq.framework.axonserver.connector.command.CommandConverter,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeWarningThresholdReachedException","",""
"axon-conversion-5.1.1",41,"org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.converter.BlobToInputStreamConverter,org.axonframework.conversion.jackson2.JsonNodeToByteArrayConverter,org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter,org.axonframework.conversion.converter.package-info,org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.package-info,org.axonframework.conversion.converter.StringToByteArrayConverter,org.axonframework.conversion.CachingSupplier,org.axonframework.conversion.converter.ByteArrayToInputStreamConverter,org.axonframework.conversion.avro.package-info,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.ConversionException,org.axonframework.conversion.jackson2.JsonNodeToObjectNodeConverter,org.axonframework.conversion.converter.InputStreamToByteArrayConverter,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.ChainedConverter$RouteCalculator,org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson.package-info","java.lang.reflect.Constructor,java.lang.reflect.Type,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
"axon-common-5.1.1",175,"org.axonframework.common.IdentifierValidator,org.axonframework.common.configuration.InstantiatedComponentDefinition,org.axonframework.common.infra.FilesystemStyleComponentDescriptor$SymbolicLink,org.axonframework.common.jpa.EntityManagerExecutor,org.axonframework.common.AxonTransientException,org.axonframework.common.configuration.ComponentNotFoundException,org.axonframework.common.jdbc.ConnectionWrapperFactory$NoOpCloseHandler,org.axonframework.common.tx.package-info,org.axonframework.common.AxonThreadFactory,org.axonframework.common.configuration.ComponentDefinition$2,org.axonframework.common.configuration.ComponentLifecycleHandler,org.axonframework.common.configuration.ConfigurationExtension,org.axonframework.common.property.PropertyAccessStrategy,org.axonframework.common.configuration.DuplicateModuleRegistrationException,org.axonframework.common.configuration.AbstractComponent,org.axonframework.common.configuration.ComponentRegistry,org.axonframework.common.util.MavenArtifactVersionResolver,org.axonframework.common.configuration.ComponentOverrideException,org.axonframework.common.jdbc.JdbcUtils$SqlResultConverter","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method,java.lang.reflect.Array,java.lang.reflect.GenericArrayType,java.lang.reflect.ParameterizedType,java.lang.reflect.Type,java.lang.reflect.TypeVariable,java.lang.reflect.WildcardType,java.lang.reflect.Proxy,java.lang.reflect.AccessibleObject,java.lang.reflect.Executable,java.lang.reflect.Field,java.lang.reflect.Member,java.lang.reflect.Modifier,java.lang.reflect.AnnotatedElement,java.lang.reflect.Constructor",""
"axon-eventsourcing-5.1.1",128,"org.axonframework.eventsourcing.CriteriaResolver,org.axonframework.eventsourcing.eventstore.ConsistencyMarker,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngineConfiguration,org.axonframework.eventsourcing.EventSourcedEntityFactory,org.axonframework.eventsourcing.eventstore.SourcingStrategy$Absolute,org.axonframework.eventsourcing.snapshot.api.SnapshotPolicy$1,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolverDefinition,org.axonframework.eventsourcing.eventstore.PayloadBasedTagResolver,org.axonframework.eventsourcing.annotation.EventTags,org.axonframework.eventsourcing.eventstore.SourcingStrategy,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine$AggregateSource,org.axonframework.eventsourcing.eventstore.EventStoreException,org.axonframework.eventsourcing.eventstore.EmptyAppendTransaction,org.axonframework.eventsourcing.eventstore.EventStoreTransaction,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$1,org.axonframework.eventsourcing.package-info,org.axonframework.eventsourcing.eventstore.EventStorageEngine$AppendTransaction,org.axonframework.eventsourcing.snapshot.store.SnapshotStore,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$2","java.lang.reflect.AnnotatedElement,java.lang.reflect.Field,java.lang.reflect.Member,java.lang.reflect.Method,java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.Modifier,java.lang.reflect.InvocationTargetException",""
"axon-tracing-opentelemetry-5.1.1",6,"org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder,org.axonframework.extension.tracing.opentelemetry.package-info,org.axonframework.extension.tracing.opentelemetry.MetadataContextGetter,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan,org.axonframework.extension.tracing.opentelemetry.MetadataContextSetter,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory","",""
"axon-test-5.1.1",79,"org.axonframework.test.matchers.PredicateMatcher,org.axonframework.test.matchers.package-info,org.axonframework.test.matchers.EmptyCollectionMatcher,org.axonframework.test.fixture.AxonTestWhen$Nothing,org.axonframework.test.fixture.AxonTestWhen$Event,org.axonframework.test.matchers.DeepEqualsMatcher,org.axonframework.test.package-info,org.axonframework.test.fixture.AxonTestFixture$Customization,org.axonframework.test.matchers.FieldFilter,org.axonframework.test.util.MessageMonitorReport$Report,org.axonframework.test.util.DescriptionUtils,org.axonframework.test.fixture.AxonTestWhen$Command,org.axonframework.test.util.DefaultCallbackBehavior,org.axonframework.test.util.CallbackBehavior,org.axonframework.test.FixtureResourceParameterResolverFactory$FailingParameterResolver,org.axonframework.test.fixture.AxonTestPhase$Then$Message,org.axonframework.test.fixture.AxonTestPhase$Given,org.axonframework.test.FixtureResourceParameterResolverFactory,org.axonframework.test.matchers.MapStringEntryMatcher","java.lang.reflect.Field,java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.Modifier,java.lang.reflect.AnnotatedElement,java.lang.reflect.Constructor,java.lang.reflect.Method",""
"axon-modelling-5.1.1",99,"org.axonframework.modelling.entity.annotation.AnnotatedEntityIdResolverDefinition,org.axonframework.modelling.configuration.StateBasedEntityModule$PersisterPhase,org.axonframework.modelling.entity.annotation.package-info,org.axonframework.modelling.entity.WrongPolymorphicEntityTypeException,org.axonframework.modelling.annotation.InjectEntityParameterResolver,org.axonframework.modelling.entity.EntityMissingForInstanceCommandHandlerException,org.axonframework.modelling.entity.annotation.RoutingKeyEventTargetMatcher,org.axonframework.modelling.HierarchicalStateManagerConfigurationEnhancer,org.axonframework.modelling.configuration.EntityModule,org.axonframework.modelling.repository.Repository,org.axonframework.modelling.configuration.StateBasedEntityModule$EntityIdResolverPhase,org.axonframework.modelling.entity.PolymorphicEntityMetamodelBuilder,org.axonframework.modelling.configuration.package-info,org.axonframework.modelling.repository.SimpleRepositoryEntityLoader,org.axonframework.modelling.entity.EntityMetamodelBuilder,org.axonframework.modelling.annotation.InjectEntityParameterResolverFactory,org.axonframework.modelling.entity.EntityMetamodel,org.axonframework.modelling.entity.annotation.CommandTargetResolverDefinition,org.axonframework.modelling.ConcurrencyException","java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.ParameterizedType,java.lang.reflect.Member,java.lang.reflect.AnnotatedElement,java.lang.reflect.Method,java.lang.reflect.Modifier,java.lang.reflect.Field",""
"axon-metrics-micrometer-5.1.1",19,"org.axonframework.extension.metrics.micrometer.package-info,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties$Micrometer,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$1,org.axonframework.extension.metrics.micrometer.MetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.CapacityMonitor,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor$1,org.axonframework.extension.metrics.micrometer.TagsUtil,org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor$Builder,org.axonframework.extension.metrics.micrometer.reservoir.package-info,org.axonframework.extension.metrics.micrometer.reservoir.SlidingTimeWindowReservoir,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$Builder,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration$1,org.axonframework.extension.metrics.micrometer.springboot.package-info,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor,org.axonframework.extension.metrics.micrometer.CapacityMonitor$1","",""
