"dependency","usedByPackages","usedByTypes","providesPackages","providesTypes","interfaceRate","someProvidedPackages","someProvidedTypes","Source Cypher File: domains/java/queries/artifact-dependencies/Most_used_internal_dependencies_across_artifacts.cypher"
"axon-common-5.1.1",94,459,12,73,39.73,"org.axonframework.common,org.axonframework.common.lifecycle,org.axonframework.common.property,org.axonframework.common.function,org.axonframework.common.io","Priority,TypeReference,IdentifierFactory,DateTimeUtils,ObjectUtils",""
"axon-messaging-5.1.1",33,188,31,107,52.34,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.commandhandling.configuration,org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.conversion","GenericCommandResultMessage,CommandMessage,CommandHandlerRegistry,CommandBus,CommandExecutionException",""
"axon-conversion-5.1.1",25,48,2,6,33.33,"org.axonframework.conversion,org.axonframework.conversion.jackson","Converter,CachingSupplier,DelegatingGeneralConverter,GeneralConverter,ConversionException",""
"axon-modelling-5.1.1",6,18,6,16,68.75,"org.axonframework.modelling,org.axonframework.modelling.entity,org.axonframework.modelling.entity.annotation,org.axonframework.modelling.repository,org.axonframework.modelling.annotation","StateManager,EntityIdResolver,EntityEvolver,ConcurrencyException,EntityCommandHandlingComponent",""
"axon-eventsourcing-5.1.1",5,13,3,20,45,"org.axonframework.eventsourcing.snapshot.api,org.axonframework.eventsourcing.snapshot.store,org.axonframework.eventsourcing.eventstore","Snapshot,SnapshotStore,EventStoreTransaction,EventStore,EmptyAppendTransaction",""
"axon-server-connector-5.1.1",3,5,2,5,20,"io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.configuration","AxonServerConnectionManager,TagsConfiguration,AxonServerConfiguration,TopologyChangeListener,AxonServerConfigurationEnhancer",""
