"a.fileName","outgoingDependencies","outgoingDependenciesWeight","Source Cypher File: domains/java/queries/artifact-dependencies/Outgoing_Java_Artifact_Dependencies.cypher"
"/axon-eventsourcing-5.1.1.jar",4,702,""
"/axon-update-5.1.1.jar",1,54,""
"/axon-tracing-opentelemetry-5.1.1.jar",2,24,""
"/axoniq-spring-boot-autoconfigure-5.1.1.jar",4,58,""
"/axon-common-5.1.1.jar",0,0,""
"/axon-test-5.1.1.jar",3,290,""
"/axon-conversion-5.1.1.jar",1,34,""
"/axon-metrics-micrometer-5.1.1.jar",2,82,""
"/axon-server-connector-5.1.1.jar",5,504,""
"/axon-modelling-5.1.1.jar",3,500,""
"/axon-messaging-5.1.1.jar",2,1068,""
