"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling",6,22,152,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation.reflection",6,6,152,1,""
"axon-common-5.0.3","org.axonframework.common.lifecycle",6,4,152,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.configuration.reflection",6,3,152,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.conversion",6,2,152,1,""
"axon-test-5.0.3","org.axonframework.test.matchers",1,23,124,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception",1,21,124,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util",1,12,124,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query",1,11,124,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.annotation",1,10,124,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay.annotation",1,10,124,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command",1,6,124,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.gateway",1,5,124,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.conversion",1,2,124,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore",9,44,101,1,""
"axon-common-5.0.3","org.axonframework.common",9,31,101,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception",9,21,101,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.gateway",9,2,101,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core",2,78,100,1,""
"axon-modelling-5.0.3","org.axonframework.modelling",2,16,100,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.retry",2,13,100,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation",2,10,100,1,""
"axon-conversion-5.0.3","org.axonframework.conversion",2,9,100,1,""
"axon-common-5.0.3","org.axonframework.common.infra",2,8,100,1,""
"axon-common-5.0.3","org.axonframework.common.configuration",0,46,86,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",0,40,86,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled",0,24,86,1,""
"axon-modelling-5.0.3","org.axonframework.modelling",0,16,86,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.configuration",0,14,86,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration",0,14,86,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",0,12,86,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.tracing",0,7,86,1,""
"axon-test-5.0.3","org.axonframework.test",0,4,86,1,""
"axon-test-5.0.3","org.axonframework.test.extension",0,4,86,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.errorhandling",0,3,86,1,""
"axon-common-5.0.3","org.axonframework.common",4,31,85,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled",4,24,85,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing",4,11,85,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.interception",4,6,85,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.gateway",4,5,85,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.gateway",4,2,85,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core",8,78,83,1,""
"axon-common-5.0.3","org.axonframework.common",11,31,83,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot",11,19,83,1,""
"axon-modelling-5.0.3","org.axonframework.modelling",8,16,83,1,""
"axon-common-5.0.3","org.axonframework.common.jdbc",11,11,83,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation",8,10,83,1,""
"axon-common-5.0.3","org.axonframework.common.util",8,6,83,1,""
"axon-common-5.0.3","org.axonframework.common.jpa",11,4,83,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core",5,78,80,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",5,40,80,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot",5,19,80,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork",5,15,80,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction",5,5,80,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core",3,78,73,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child",3,14,73,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa",3,12,73,1,""
"axon-common-5.0.3","org.axonframework.common.util",3,6,73,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay",3,4,73,1,""
"axon-common-5.0.3","org.axonframework.common.annotation",3,3,73,1,""
"axon-test-5.0.3","org.axonframework.test.server",3,2,73,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot",12,19,58,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing",12,3,58,1,""
"axon-test-5.0.3","org.axonframework.test.server",12,2,58,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.annotation",7,51,45,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore",7,44,45,1,""
"axon-test-5.0.3","org.axonframework.test.matchers",7,23,45,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling",7,22,45,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception",7,21,45,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling",7,18,45,1,""
"axon-modelling-5.0.3","org.axonframework.modelling",7,16,45,1,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa",7,12,45,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay",7,4,45,1,""
"axon-common-5.0.3","org.axonframework.common",13,31,35,1,""
"axon-common-5.0.3","org.axonframework.common",10,31,14,1,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector",10,27,14,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",19,40,6,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",6,40,152,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling",6,18,152,2,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.annotation",6,18,152,2,""
"axon-modelling-5.0.3","org.axonframework.modelling",6,16,152,2,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing",6,6,152,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling",1,18,124,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling",1,18,124,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.annotation",1,17,124,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.annotation",1,11,124,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation",1,11,124,2,""
"axon-conversion-5.0.3","org.axonframework.conversion",1,9,124,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.correlation",1,6,124,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.tracing",1,5,124,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.replay",1,4,124,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling",9,18,101,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event",9,14,101,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util",9,12,101,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query",9,11,101,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.annotation",9,7,101,2,""
"axon-test-5.0.3","org.axonframework.test.fixture",2,32,100,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.annotation",2,11,100,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing",2,11,100,2,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event",0,14,86,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling",4,18,85,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation",4,11,85,2,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig",11,40,83,2,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot",8,19,83,2,""
