"artifactName","artifactTypes","numberOfExternalPackages","numberOfTypes","numberOfTypesPercentage","nameOfTypes","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_type_distribution_with_annotations.cypher"
"axon-common-5.1.2",175,1,29,16.57142857142857,"org.axonframework.common.property.AbstractMethodPropertyAccessStrategy,org.axonframework.common.jpa.EntityManagerProvider,org.axonframework.common.property.package-info,org.axonframework.common.configuration.DefaultAxonApplication$AxonConfigurationImpl,org.axonframework.common.configuration.DefaultAxonApplication,org.axonframework.common.tx.package-info,org.axonframework.common.caching.EhCacheAdapter$1,org.axonframework.common.util.package-info,org.axonframework.common.lifecycle.ShutdownLatch,org.axonframework.common.io.package-info,org.axonframework.common.caching.package-info,org.axonframework.common.jpa.package-info,org.axonframework.common.function.package-info,org.axonframework.common.jdbc.package-info,org.axonframework.common.TypeReflectionUtils,org.axonframework.common.configuration.DefaultComponentRegistry,org.axonframework.common.package-info,org.axonframework.common.IdentifierFactory,org.axonframework.common.configuration.package-info,org.axonframework.common.TypeReflectionUtils$VarMap,org.axonframework.common.digest.package-info,org.axonframework.common.caching.EhCacheAdapter$CacheEventListenerAdapter,org.axonframework.common.jpa.FactoryBasedEntityManagerProvider,org.axonframework.common.infra.package-info,org.axonframework.common.jpa.EntityManagerExecutor,org.axonframework.common.jpa.SimpleEntityManagerProvider,org.axonframework.common.lifecycle.package-info,org.axonframework.common.annotation.package-info,org.axonframework.common.lock.package-info",""
"axon-common-5.1.2",175,2,3,1.7142857142857142,"org.axonframework.common.caching.JCacheAdapter,org.axonframework.common.caching.JCacheAdapter$JCacheListenerAdapter,org.axonframework.common.infra.JacksonComponentDescriptor",""
"axon-common-5.1.2",175,3,1,0.5714285714285714,"org.axonframework.common.caching.EhCacheAdapter",""
"axon-conversion-5.1.2",41,1,10,24.390243902439025,"org.axonframework.conversion.package-info,org.axonframework.conversion.avro.AvroConverterConfiguration,org.axonframework.conversion.converter.package-info,org.axonframework.conversion.avro.package-info,org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.jackson.package-info,org.axonframework.conversion.avro.AvroConverterStrategy,org.axonframework.conversion.jackson2.package-info,org.axonframework.conversion.avro.SchemaIncompatibilityChecker,org.axonframework.conversion.jackson2.ByteArrayToJsonNodeConverter",""
"axon-conversion-5.1.2",41,2,10,24.390243902439025,"org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson2.Jackson2Converter,org.axonframework.conversion.avro.GenericRecordToByteArrayConverter,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.jackson2.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson2.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.avro.DefaultSchemaIncompatibilityChecker",""
"axon-conversion-5.1.2",41,3,2,4.878048780487805,"org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter,org.axonframework.conversion.avro.AvroConverter",""
"axon-conversion-5.1.2",41,4,3,7.317073170731707,"org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.AvroUtil",""
"axon-eventsourcing-5.1.2",130,1,19,14.615384615384617,"org.axonframework.eventsourcing.snapshot.api.package-info,org.axonframework.eventsourcing.package-info,org.axonframework.eventsourcing.eventstore.package-info,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry,org.axonframework.eventsourcing.annotation.reflection.package-info,org.axonframework.eventsourcing.eventstore.DefaultEventStoreTransaction,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver,org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations,org.axonframework.eventsourcing.handler.package-info,org.axonframework.eventsourcing.handler.SnapshottingEntityLifecycleHandler,org.axonframework.eventsourcing.snapshot.store.package-info,org.axonframework.eventsourcing.eventstore.inmemory.package-info,org.axonframework.eventsourcing.annotation.package-info,org.axonframework.eventsourcing.eventstore.jpa.package-info,org.axonframework.eventsourcing.eventstore.SnapshotCapableEventStorageEngine,org.axonframework.eventsourcing.snapshot.inmemory.package-info,org.axonframework.eventsourcing.configuration.package-info,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$1",""
"axon-eventsourcing-5.1.2",130,2,4,3.076923076923077,"org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver",""
"axon-messaging-5.1.2",633,1,104,16.429699842022117,"org.axonframework.messaging.eventhandling.annotation.package-info,org.axonframework.messaging.core.timeout.package-info,org.axonframework.messaging.core.MonoUtils,org.axonframework.messaging.eventhandling.processing.streaming.pooled.CoordinatorTask,org.axonframework.messaging.eventhandling.processing.package-info,org.axonframework.messaging.core.unitofwork.transaction.jpa.EntityManagerTransactionManager$2,org.axonframework.messaging.core.package-info,org.axonframework.messaging.queryhandling.package-info,org.axonframework.messaging.monitoring.package-info,org.axonframework.messaging.core.interception.JSR303ViolationException,org.axonframework.messaging.queryhandling.interception.package-info,org.axonframework.messaging.eventhandling.processing.subscribing.package-info,org.axonframework.messaging.queryhandling.gateway.package-info,org.axonframework.messaging.core.unitofwork.transaction.jpa.JpaTransactionalExecutorProvider,org.axonframework.messaging.eventhandling.gateway.package-info,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SequencingEventHandlingComponent,org.axonframework.messaging.core.annotation.MethodInvokingMessageHandlingMember,org.axonframework.messaging.queryhandling.SimpleQueryUpdateEmitter,org.axonframework.messaging.commandhandling.package-info,org.axonframework.messaging.core.interception.LoggingInterceptor,org.axonframework.messaging.tracing.attributes.package-info,org.axonframework.messaging.core.correlation.package-info,org.axonframework.messaging.commandhandling.tracing.package-info,org.axonframework.messaging.commandhandling.configuration.package-info,org.axonframework.messaging.core.annotation.ClasspathHandlerEnhancerDefinition,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$CoordinationTask,org.axonframework.messaging.monitoring.configuration.package-info,org.axonframework.messaging.eventhandling.processing.streaming.token.annotation.package-info,org.axonframework.messaging.eventhandling.processing.streaming.pooled.MergeTask,org.axonframework.messaging.eventhandling.processing.streaming.token.store.package-info,org.axonframework.messaging.monitoring.interception.package-info,org.axonframework.messaging.eventhandling.processing.streaming.token.package-info,org.axonframework.messaging.core.interception.BeanValidationInterceptor,org.axonframework.messaging.core.conversion.package-info,org.axonframework.messaging.eventhandling.replay.package-info,org.axonframework.messaging.eventhandling.EventSubscribers,org.axonframework.messaging.core.reflection.package-info,org.axonframework.messaging.commandhandling.annotation.package-info,org.axonframework.messaging.eventhandling.interception.package-info,org.axonframework.messaging.commandhandling.interception.CommandSequencingInterceptor,org.axonframework.messaging.eventhandling.package-info,org.axonframework.messaging.core.annotation.package-info,org.axonframework.messaging.core.sequencing.package-info,org.axonframework.messaging.core.configuration.package-info,org.axonframework.messaging.core.annotation.MessageStreamResolverUtils,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator,org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken,org.axonframework.messaging.commandhandling.gateway.package-info,org.axonframework.messaging.eventhandling.configuration.package-info,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.package-info,org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken,org.axonframework.messaging.core.RemoteExceptionDescription,org.axonframework.messaging.queryhandling.SimpleQueryBus,org.axonframework.messaging.queryhandling.MonoSinkWrapper,org.axonframework.messaging.eventhandling.tracing.package-info,org.axonframework.messaging.eventhandling.replay.annotation.package-info,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStoreConfiguration,org.axonframework.messaging.commandhandling.SimpleCommandBus,org.axonframework.messaging.core.FluxUtils$FluxStreamAdapter,org.axonframework.messaging.eventhandling.processing.streaming.pooled.ClaimTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.package-info,org.axonframework.messaging.core.unitofwork.transaction.package-info,org.axonframework.messaging.core.annotation.ClasspathHandlerDefinition,org.axonframework.messaging.core.unitofwork.annotation.package-info,org.axonframework.messaging.eventhandling.processing.streaming.package-info,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.pooled.DefaultWorkPackageEventFilter,org.axonframework.messaging.core.unitofwork.transaction.jpa.package-info,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor,org.axonframework.messaging.core.retry.package-info,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.package-info,org.axonframework.messaging.eventhandling.processing.streaming.pooled.SplitTask,org.axonframework.messaging.queryhandling.annotation.package-info,org.axonframework.messaging.core.unitofwork.transaction.jpa.EntityManagerTransactionManager,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.package-info,org.axonframework.messaging.core.annotation.ClasspathParameterResolverFactory,org.axonframework.messaging.eventstreaming.package-info,org.axonframework.messaging.commandhandling.interception.package-info,org.axonframework.messaging.eventhandling.conversion.package-info,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage,org.axonframework.messaging.core.interception.CorrelationDataInterceptor,org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken,org.axonframework.messaging.core.unitofwork.transaction.jpa.JpaTransactionalExecutorProvider$1,org.axonframework.messaging.core.timeout.AxonTimeLimitedTask,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.package-info,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken,org.axonframework.messaging.tracing.package-info,org.axonframework.messaging.eventhandling.processing.errorhandling.package-info,org.axonframework.messaging.core.timeout.UnitOfWorkTimeoutInterceptorBuilder,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry,org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext,org.axonframework.messaging.core.timeout.AxonTaskJanitor,org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken,org.axonframework.messaging.core.interception.annotation.package-info,org.axonframework.messaging.queryhandling.configuration.package-info,org.axonframework.messaging.core.unitofwork.package-info,org.axonframework.messaging.commandhandling.retry.package-info,org.axonframework.messaging.core.unitofwork.UnitOfWork,org.axonframework.messaging.core.FluxMessageStream$1,org.axonframework.messaging.core.configuration.reflection.package-info,org.axonframework.messaging.core.interception.package-info,org.axonframework.messaging.core.unitofwork.transaction.jdbc.package-info,org.axonframework.messaging.queryhandling.tracing.package-info",""
