"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_sorted_top.cypher"
"axon-tracing-opentelemetry-5.1.2",6,16,6,266.6666666666667,24,80,6,"io.opentelemetry.api.trace,io.opentelemetry.context.propagation,io.opentelemetry.context,org.slf4j","StatusCode,Span,SpanContext,SpanBuilder,SpanKind,Tracer,TextMapGetter,TextMapSetter,TextMapPropagator",""
"axoniq-spring-boot-autoconfigure-5.1.2",26,45,26,173.0769230769231,84,166,26,"org.springframework.boot.autoconfigure.condition,org.springframework.boot.actuate.health,org.springframework.boot.autoconfigure,org.springframework.context.annotation","ConditionalOnBean,ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnProperty,AbstractHealthIndicator,Health$Builder,Status,SimpleStatusAggregator,AutoConfiguration",""
"axon-server-connector-5.1.2",79,125,24,158.22784810126583,239,1069,24,"io.axoniq.axonserver.grpc.event.dcb,io.axoniq.axonserver.grpc,io.grpc,io.axoniq.axonserver.connector","GetLastSnapshotResponse,AddSnapshotRequest,GetLastSnapshotRequest,AddSnapshotRequest$Builder,AddSnapshotResponse,Snapshot,Snapshot$Builder,GetLastSnapshotRequest$Builder,AppendEventsResponse",""
"axon-metrics-micrometer-5.1.2",19,21,8,110.5263157894737,52,159,8,"io.micrometer.core.instrument,org.jspecify.annotations,org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition","Tags,Tag,Counter,Clock,Gauge$Builder,MeterRegistry,Gauge,Timer$Builder,Timer",""
"axon-conversion-5.1.2",41,39,15,95.1219512195122,78,293,15,"org.apache.avro,org.apache.avro.message,org.slf4j,com.fasterxml.jackson.databind","SchemaCompatibility,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$SchemaCompatibilityType,InvalidAvroMagicException,AvroRuntimeException,InvalidNumberEncodingException,Schema,SchemaNormalization",""
"axon-test-5.1.2",79,19,6,24.050632911392405,61,235,6,"org.hamcrest,org.junit.jupiter.api.extension,org.jspecify.annotations,org.slf4j","StringDescription,Description,Matcher,CoreMatchers,BaseMatcher,TypeSafeMatcher,ParameterContext,ExtensionContext$Store,ParameterResolutionException",""
"axon-common-5.1.2",175,28,11,16,61,198,11,"org.jspecify.annotations,org.slf4j,org.ehcache.event,javax.cache.event","NullMarked,LoggerFactory,Logger,EventType,CacheEvent,CacheEventListener,EventOrdering,EventFiring,CacheEntryListener",""
"axon-eventsourcing-5.1.2",130,19,6,14.615384615384617,45,110,6,"org.slf4j,jakarta.persistence,org.jspecify.annotations,ScannedEntityCreator","LoggerFactory,Logger,EntityExistsException,EntityManager,TypedQuery,Table,SequenceGenerator,Entity,Column",""
"axon-update-5.1.2",28,3,2,10.714285714285715,19,50,2,"org.slf4j,org.jspecify.annotations","Logger,LoggerFactory,NullMarked",""
"axon-messaging-5.1.2",633,33,8,5.213270142180095,176,497,8,"org.jspecify.annotations,org.slf4j,jakarta.persistence,com.fasterxml.jackson.annotation","NullMarked,Logger,LoggerFactory,EntityManager,EntityManagerFactory,EntityTransaction,TypedQuery,LockModeType,Query",""
"axon-modelling-5.1.2",99,3,2,3.0303030303030303,11,24,2,"org.jspecify.annotations,org.slf4j","NullMarked,LoggerFactory,Logger",""
