"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_and_package_with_annotations.cypher"
"axon-test-5.1.2","org.axonframework.test.matchers","org.hamcrest",36,142,24,"Description,Matcher,TypeSafeMatcher,BaseMatcher","matchers",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","io.micrometer.core.instrument",35,134,12,"Tag,MeterRegistry,Clock,Tags,Counter,Gauge,Gauge$Builder,Timer,Timer$Builder","micrometer",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.grpc.event.dcb",28,104,15,"Tag,ConsistencyCondition,SourceEventsRequest,Tag$Builder,Criterion,TagsAndNamesCriterion,ConsistencyCondition$Builder,StreamEventsRequest,SourceEventsRequest$Builder,TagsAndNamesCriterion$Builder,Criterion$Builder,StreamEventsRequest$Builder,SequencedEvent,SourceEventsResponse,Event,TaggedEvent$Builder,TaggedEvent,Event$Builder,AppendEventsResponse,StreamEventsResponse,GetTailResponse,GetHeadResponse,GetSequenceAtResponse","event",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","org.slf4j",17,95,26,"Logger,LoggerFactory","pooled",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","org.apache.avro",16,54,11,"SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$SchemaPairCompatibility,Schema,SchemaCompatibility,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType,AvroRuntimeException,InvalidAvroMagicException,InvalidNumberEncodingException,SchemaNormalization","avro",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",15,52,14,"Index,Lob,Id,Basic,GenerationType,GeneratedValue,Table,Entity,SequenceGenerator,Column,EntityManager,TypedQuery,EntityExistsException","jpa",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","com.fasterxml.jackson.annotation",15,27,9,"JsonGetter,JsonTypeInfo,JsonIgnore,JsonCreator,JsonTypeInfo$Id,JsonProperty","token",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","org.springframework.boot.autoconfigure.condition",15,23,9,"ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnBean,ConditionalOnProperty","autoconfig",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",14,98,9,"QueryRequest$Builder,QueryResponse,QueryUpdate$Builder,QueryUpdate,QueryRequest,QueryResponse$Builder,SubscriptionQuery","query",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jakarta.persistence",11,89,5,"LockModeType,TypedQuery,Query,EntityManager,Lob,IdClass,Id,Entity,Column,Basic","jpa",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","io.grpc",11,21,12,"ClientCall$Listener,ForwardingClientCallListener$SimpleForwardingClientCallListener,ForwardingClientCall$SimpleForwardingClientCall,Metadata,ClientCall,Channel,CallOptions,MethodDescriptor,ClientInterceptor","util",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","org.slf4j",10,44,15,"Logger,LoggerFactory","event",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.connector",10,36,9,"ResultStream,FlowControl,ReplyChannel,AxonServerConnection,Registration","query",""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.api.trace",9,47,6,"SpanContext,SpanBuilder,Span,StatusCode,Tracer,SpanKind","opentelemetry",""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.context.propagation",9,16,6,"TextMapGetter,TextMapPropagator,TextMapSetter,ContextPropagators","opentelemetry",""
"axon-common-5.1.2","org.axonframework.common.caching","org.ehcache.event",8,30,13,"EventType,CacheEventListener,CacheEvent,EventOrdering,EventFiring","caching",""
"axon-common-5.1.2","org.axonframework.common.caching","javax.cache.event",8,26,13,"CacheEntryListener,CacheEntryEvent,CacheEntryListenerException,CacheEntryUpdatedListener,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryCreatedListener","caching",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","org.apache.avro.message",8,28,11,"BadHeaderException,SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder","avro",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","tools.jackson.databind",8,39,6,"ObjectMapper,JsonNode,JavaType","jackson",""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson2","com.fasterxml.jackson.databind",8,42,6,"ObjectMapper,JavaType,JsonNode","jackson2",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","org.slf4j",8,17,53,"LoggerFactory,Logger","annotation",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","jakarta.persistence",8,26,6,"EntityManager,EntityManagerFactory,EntityTransaction","jpa",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command","io.axoniq.axonserver.grpc.command",8,64,4,"CommandResponse,Command,Command$Builder,CommandResponse$Builder","command",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.connector.event",8,38,15,"AppendEventsTransaction,EventChannel,AggregateEventStream,EventStream,DcbEventChannel$AppendEventsTransaction,DcbEventChannel","event",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","io.axoniq.axonserver.grpc",8,52,8,"SerializedObject,ErrorMessage$Builder,ErrorMessage,MetaDataValue$Builder,MetaDataValue$DataCase,MetaDataValue","shared",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.snapshot","io.axoniq.axonserver.grpc.event.dcb",8,28,2,"AddSnapshotResponse,GetLastSnapshotRequest$Builder,Snapshot$Builder,AddSnapshotRequest,GetLastSnapshotRequest,GetLastSnapshotResponse,Snapshot,AddSnapshotRequest$Builder","snapshot",""
"axon-test-5.1.2","org.axonframework.test.extension","org.junit.jupiter.api.extension",8,28,5,"ParameterResolutionException,ParameterResolver,AfterEachCallback,ExtensionContext,ExtensionContext$Store,BeforeEachCallback,ParameterContext,ExtensionContext$Namespace","extension",""
"axon-update-5.1.2","org.axonframework.update","org.slf4j",8,28,6,"Logger,LoggerFactory","update",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","org.apache.avro.generic",7,29,11,"GenericData,GenericDatumReader,GenericRecord","avro",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","org.slf4j",7,16,14,"Logger,LoggerFactory","jpa",""
"axon-test-5.1.2","org.axonframework.test.fixture","org.hamcrest",7,47,33,"Matcher,CoreMatchers,StringDescription,Description","fixture",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","org.springframework.boot.autoconfigure",7,7,9,"AutoConfiguration,AutoConfigureBefore","autoconfig",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","reactor.core.publisher",6,26,87,"Flux,Mono,FluxSink","core",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","io.axoniq.axonserver.grpc.control",6,32,8,"CommandSubscription,TopologyChange,QuerySubscription,UpdateType","configuration",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.grpc",6,39,9,"SerializedObject,SerializedObject$Builder,MetaDataValue,MetaDataValue$Builder,ProcessingInstruction$Builder,ProcessingKey","query",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.connector.query",6,19,9,"QueryDefinition,QueryChannel,SubscriptionQueryResult,QueryHandler$UpdateHandler,QueryHandler","query",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","io.grpc",6,14,8,"StatusRuntimeException,Metadata,Status,Status$Code,Metadata$AsciiMarshaller,Metadata$Key","shared",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","org.springframework.context.annotation",6,12,9,"Bean","autoconfig",""
"axon-common-5.1.2","org.axonframework.common","org.slf4j",5,14,34,"LoggerFactory,Logger","common",""
"axon-common-5.1.2","org.axonframework.common.configuration","org.slf4j",5,27,51,"Logger,LoggerFactory","configuration",""
"axon-common-5.1.2","org.axonframework.common.jpa","jakarta.persistence",5,11,5,"EntityManager,EntityManagerFactory","jpa",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","jakarta.validation",5,16,22,"ConstraintViolation,ValidatorFactory,Validator,Validation","interception",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.grpc.control",5,40,15,"EventProcessorInfo,EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$Builder","event",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.grpc.event",5,32,15,"ConfirmationWithConsistencyMarker,Event$Builder,Event,EventWithToken","event",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.connector",5,37,15,"AxonServerConnection,ResultStream","event",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","io.axoniq.framework.messaging.queryhandling.distributed",5,11,9,"QueryBusConnector,QueryBusConnector$Handler,QueryBusConnector$UpdateCallback","query",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","io.axoniq.axonserver.grpc",5,68,12,"MetaDataValue,ProcessingInstruction$Builder,MetaDataValue$Builder,ProcessingKey,ProcessingInstruction","util",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator.axonserver","org.springframework.boot.actuate.health",5,20,3,"AbstractHealthIndicator,Status,Health$Builder,SimpleStatusAggregator","axonserver",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","org.apache.avro.specific",4,14,11,"SpecificRecordBase,SpecificData","avro",""
