"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_overall.cypher"
"org.jspecify",124,124,124,124,124,1315,"NullMarked",""
"org.slf4j",37,74,135,477,124,1315,"LoggerFactory,Logger",""
"io.axoniq",12,50,187,933,124,1315,"MetaDataValue$DataCase,MetaDataValue$Builder,MetaDataValue,SerializedObject,ErrorMessage$Builder,ErrorMessage,GetLastSnapshotResponse,AddSnapshotRequest,GetLastSnapshotRequest",""
"org.springframework",7,19,66,112,124,1315,"ConfigurationProperties,ConnectionDetails,ContainerConnectionSource,ContainerConnectionDetailsFactory,DockerComposeConnectionDetailsFactory,DockerComposeConnectionSource,RunningService,ConnectionPorts,ContainerConnectionDetailsFactory$ContainerConnectionDetails",""
"com.google",6,9,9,39,124,1315,"ByteString,MessageLite",""
"io.grpc",6,9,30,68,124,1315,"Metadata,Status$Code,Status,Metadata$AsciiMarshaller,Metadata$Key,StatusRuntimeException,ClientCall,CallOptions,ClientInterceptor",""
"reactor.core",6,9,15,45,124,1315,"Schedulers,Scheduler,MonoSink,Mono,Flux,FluxSink",""
"com.fasterxml",5,12,36,118,124,1315,"ObjectMapper,JsonNode,JsonProcessingException,ObjectNode,JavaType,JsonNodeType,SerializationFeature,ArrayNode,JsonIgnore",""
"jakarta.persistence",5,16,40,181,124,1315,"TypedQuery,EntityManager,Table,SequenceGenerator,Entity,Column,Lob,GeneratedValue,Index",""
"io.micrometer",3,13,39,144,124,1315,"Counter,MeterRegistry,Tags,Timer$Builder,Tag,Clock,SimpleMeterRegistry,Timer,Gauge$Builder",""
"org.hamcrest",3,22,44,196,124,1315,"Matcher,StringDescription,CoreMatchers,Description,TypeSafeMatcher,BaseMatcher",""
"org.reactivestreams",3,6,7,26,124,1315,"Publisher,Subscription,Subscriber",""
"org.axonframework",2,2,2,2,124,1315,"RegisterDefaultEntities,AxonAutoConfiguration",""
"IdTypeParameterResolver",1,1,1,1,124,1315,"IdTypeParameterResolver",""
"ScannedEntityCreator",1,1,1,4,124,1315,"ScannedEntityCreator",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,124,1315,"WrappedEventCriteriaBuilderMethod",""
"io.opentelemetry",1,5,21,72,124,1315,"TextMapPropagator,TextMapSetter,ContextPropagators,Tracer,GlobalOpenTelemetry,TextMapGetter,Scope,StatusCode,Span",""
"jakarta.validation",1,2,5,16,124,1315,"Validator,ValidatorFactory,Validation,ConstraintViolation",""
"javax.cache",1,2,12,48,124,1315,"CacheEntryListenerConfiguration,Cache,Factory,CacheEntryListener,CacheEntryRemovedListener,CacheEntryEvent,CacheEntryExpiredListener,CacheEntryUpdatedListener,CacheEntryListenerException",""
"org.apache",1,9,37,132,124,1315,"SchemaCompatibility,SchemaCompatibility$Incompatibility,SpecificRecordBase,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$SchemaCompatibilityType,InvalidAvroMagicException,AvroRuntimeException,InvalidNumberEncodingException,Schema",""
"org.awaitility",1,1,2,3,124,1315,"Awaitility,ConditionFactory",""
"org.ehcache",1,3,10,45,124,1315,"CacheEventListener,CacheRuntimeConfiguration,EventOrdering,Ehcache,EventFiring,EventType,CacheEvent",""
"org.junit",1,1,8,28,124,1315,"ParameterContext,ExtensionContext$Store,ParameterResolutionException,ParameterResolver,ExtensionContext$Namespace,AfterEachCallback,ExtensionContext,BeforeEachCallback",""
"reactor.util",1,2,2,4,124,1315,"Queues",""
"tools.jackson",1,5,16,62,124,1315,"ObjectMapper,JacksonException,JsonNode,JavaType,JsonMapper,JsonMapper$Builder,ObjectNode,JsonNodeType",""
