"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"react-router-remix-routes-option-adapter","defineRoutes","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router-remix-routes-option-adapter/defineRoutes.ts",1,1,1,""
"react-router-dev","context","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router-dev/typegen/context.ts",1,0.9819801193581994,2,""
"react-router-dev","profiler","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router-dev/vite/profiler.ts",1,0.9650304868995538,3,""
"react-router","utils","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router/lib/types/utils.ts",1,0.9085283320160705,4,""
"react-router-express","react-router-express","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router-express/index.ts",0.9840243638291858,1,5,""
"react-router-express","server","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router-express/server.ts",0.9840243638291858,1,6,""
"react-router-remix-routes-option-adapter","manifest","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router-remix-routes-option-adapter/manifest.ts",0.9716391372241309,1,7,""
"react-router-remix-routes-option-adapter","normalizeSlashes","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router-remix-routes-option-adapter/normalizeSlashes.ts",0.9716391240213414,1,8,""
"react-router","register","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router/lib/types/register.ts",0.9697201378347828,0.9055462882481322,9,""
"react-router-dev","run","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.15.1/source/react-router-7.15.1/packages/react-router-dev/cli/run.ts",0.9375902942771309,0.9650304868995538,10,""
