"projectName","shortCodeUnitName","codeUnitName","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","rank","Source Cypher File: domains/archetypes/labels/ArchetypeHub.cypher"
"axon-common-5.1.2","common","org.axonframework.common",0.14285714285714285,1009,978,31,1,""
"axon-messaging-5.1.2","core","org.axonframework.messaging.core",0.1479835953520164,14073,13678,395,2,""
"axon-common-5.1.2","infra","org.axonframework.common.infra",0.15555555555555556,1390,1363,27,3,""
"axon-common-5.1.2","annotation","org.axonframework.common.annotation",0.15864621893178213,4352,4347,5,4,""
"axon-messaging-5.1.2","unitofwork","org.axonframework.messaging.core.unitofwork",0.16170634920634921,12238,12129,109,5,""
