"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"server","@remix-run/router",37,40,6,29,2,483.33333333333337,"Router,StaticHandlerContext,Router.future,StaticHandlerContext.loaderData,StaticHandlerContext.basename,Router.routes,StaticHandlerContext.actionData,RouterState.location,UNSAFE_invariant,StaticHandlerContext.errors,FutureConfig.v7_relativeSplatPath,RouterState.historyAction,StaticHandler,UNSAFE_mapRouteProperties,RouteObject,createStaticHandler,Action,Action.Pop,UNSAFE_convertRoutesToDataRoutes,StaticHandlerContext.location,AgnosticDataRouteObject.id,AgnosticDataRouteMatch.route,IDLE_FETCHER,IDLE_NAVIGATION,RevalidationState,StaticHandlerContext.matches,IDLE_BLOCKER",""
"server","@types/react",3,3,6,29,2,483.33333333333337,"React.JSX.Element,React.ReactNode",""
"react-router-dom","@remix-run/router",141,201,63,117,2,185.7142857142857,"JsonObject,JsonValue,RouterState.fetchers,FormEncType,GetScrollRestorationKeyFunction,useNavigate,To,useResolvedPath,useLocation,createPath,History.listen,History.location,UNSAFE_logV6DeprecationWarnings,History.action,RouteObject,createRouter,Router.initialize,UNSAFE_mapRouteProperties,Router,createBrowserHistory,RouteMatch.route,RouteObject.index,UNSAFE_NavigationContext,joinPaths,RouteContextObject.matches,Location.search,UNSAFE_invariant,UNSAFE_RouteContext,Router.fetch,UNSAFE_useRouteId,Router.navigate,HTMLFormMethod,HTMLFormMethod.toLowerCase,FutureConfig,History,BrowserHistory,BrowserHistory.location,BrowserHistory.listen,BrowserHistory.action,createHashHistory,stripBasename,Path.pathname,matchPath,Location.pathname,NavigateOptions,UNSAFE_warning,useHref,Fetcher.data,RouterState.initialized,Router.state,FutureConfig.v7_relativeSplatPath,RouterProviderProps,Router.subscribe,RouterState.location,Router.routes,Router.basename,Location.key,Router.window,RouterState,Router.future,ViewTransitionOpts.currentLocation,Router.encodeLocation,RouterSubscriber,ViewTransitionOpts.nextLocation,Router.createHref,FutureConfig.v7_partialHydration,RouterProps,RouterState.historyAction,RouterState.navigation,Navigator.encodeLocation,Navigation.location,UNSAFE_DataRouterStateContext,HashHistory.location,HashHistory,HashHistory.action,HashHistory.listen,Navigation.state,useNavigation,useMatches,Location.hash,Router.enableScrollRestoration,Router.getFetcher,RouteObject.id,Router.deleteFetcher,IDLE_FETCHER,BlockerBlocked.reset,BlockerFunction,Blocker.state,BlockerBlocked.proceed,useBlocker",""
"react-router-dom","@types/react",83,128,63,117,2,185.7142857142857,"React.ReactNode,React.CSSProperties,React.ReactPortal,React.ReactElement,React.RefAttributes,React.ForwardRefExoticComponent,React.useCallback,React.MouseEvent.preventDefault,React.MouseEvent,React.useLayoutEffect,React.JSX.Element,React.useState,React.useEffect,React.useContext,React.FormEvent.preventDefault,React.ForwardedRef,React.FormEvent.defaultPrevented,React.forwardRef,React.FormEvent.currentTarget,React.useRef,React.MutableRefObject.current,React.MouseEvent.defaultPrevented,React.useMemo,React.ForwardRefExoticComponent.displayName,React.Context,React.createContext,React.AnchorHTMLAttributes",""
"react-router-native","@types/react-native",11,17,17,24,4,141.1764705882353,"GestureResponderEvent,BackHandlerStatic.removeEventListener,BackHandlerStatic.addEventListener,BackHandler,TouchableHighlightProps,GestureResponderEvent.defaultPrevented,LinkingStatic.removeEventListener,LinkingStatic.addEventListener,LinkingStatic.getInitialURL,Linking",""
"react-router-native","@remix-run/router",9,13,17,24,4,141.1764705882353,"To,useNavigate,MemoryRouterProps,NavigateOptions,Location.search,useLocation",""
"react-router-native","@types/react",9,17,17,24,4,141.1764705882353,"React.useEffect,React.ReactNode,React.JSX.Element,React.useMemo,React.useCallback,React.useRef,React.MutableRefObject.current",""
"react-router-native","@ungap/url-search-params",2,4,17,24,4,141.1764705882353,"url-search-params",""
"react-router","@remix-run/router",8,10,7,9,2,128.57142857142858,"AgnosticPatchRoutesOnNavigationFunctionArgs,UNSAFE_warning,createRouter,DataStrategyFunction,InitialEntry,Router,createMemoryHistory,Router.initialize",""
"react-router","@types/react",1,3,7,9,2,128.57142857142858,"React.createElement",""
