"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@remix-run",4,37,195,264,4,89,"<PatchRoutesOnNavigationFunction> of module <react-router> imports <AgnosticPatchRoutesOnNavigationFunctionArgs> from external namespace <@remix-run>,<mapRouteProperties> of module <react-router> imports <UNSAFE_warning> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <createRouter> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <DataStrategyFunction> from external namespace <@remix-run>",""
"@types",4,35,111,173,4,89,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<useLinkPressHandler> of module <react-router-native> imports <GestureResponderEvent> from external namespace <@types>,<useHardwareBackButton> of module <react-router-native> imports <BackHandlerStatic.removeEventListener> from external namespace <@types>,<useHardwareBackButton> of module <react-router-native> imports <React.useEffect> from external namespace <@types>",""
"@ungap",1,2,2,4,4,89,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>,<useSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
