"artifactName","dependencyTypeIsInterface","artifactDependencies","artifactDependencyPackages","dependentPackagesRate","minPackageSpread","maxPackageSpread","avgPackageSpread","stdPackageSpread","per5PackageSpread","minPackageCount","maxPackageCount","avgPackageCount","stdPackageCount","per5PackageCount","minTypeSpread","maxTypeSpread","avgTypeSpread","stdTypeSpread","per5TypeSpread","Source Cypher File: domains/java/queries/artifact-dependencies/Usage_and_spread_of_internal_artifact_dependents.cypher"
"axon-conversion-5.1.0",false,1,2,80,80,80,80,0,80,4,4,4,0,4,19.51219512195122,19.51219512195122,19.51219512195122,0,19.51219512195122,""
"axon-conversion-5.1.0",true,1,1,80,80,80,80,0,80,4,4,4,0,4,21.95121951219512,21.95121951219512,21.95121951219512,0,21.95121951219512,""
"axon-eventsourcing-5.1.0",true,4,25,54.54545454545455,27.272727272727273,81.81818181818183,54.54545454545455,26.762911716144995,36.36363636363637,3,9,6,2.943920288775949,4,2.479338842975207,42.97520661157025,19.62809917355372,17.562388587127792,10.743801652892563,""
"axon-eventsourcing-5.1.0",false,3,15,60.60606060606061,18.181818181818183,90.90909090909092,60.60606060606061,37.848472717566054,72.72727272727273,2,10,6.666666666666667,4.163331998932265,8,3.3057851239669422,33.057851239669425,21.487603305785125,15.939918613211498,28.09917355371901,""
"axon-messaging-5.1.0",false,2,9,48.24561403508772,8.771929824561402,87.71929824561403,48.24561403508772,55.82421956735901,8.771929824561402,5,50,27.5,31.81980515339464,5,0.7886435331230284,33.91167192429022,17.350157728706623,23.42151798882886,0.7886435331230284,""
"axon-messaging-5.1.0",true,2,9,44.73684210526316,24.561403508771928,64.91228070175438,44.73684210526315,28.532378889983498,24.561403508771928,14,37,25.5,16.263455967290593,14,5.678233438485804,17.034700315457414,11.35646687697161,8.030234739027039,5.678233438485804,""
"axon-metrics-micrometer-5.1.0",true,1,1,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,0,66.66666666666667,2,2,2,0,2,15.789473684210527,15.789473684210527,15.789473684210527,0,15.789473684210527,""
"axon-modelling-5.1.0",true,2,14,100,100,100,100,0,100,7,7,7,0,7,30.303030303030305,43.43434343434344,36.86868686868687,9.285240561035476,30.303030303030305,""
"axon-modelling-5.1.0",false,2,9,92.85714285714286,85.71428571428572,100,92.85714285714286,10.101525445522102,85.71428571428572,6,7,6.5,0.7071067811865476,6,20.202020202020204,22.222222222222225,21.212121212121215,1.4284985478516117,20.202020202020204,""
"axon-server-connector-5.1.0",true,4,19,37.5,30,40,37.5,5.000000000000001,40,3,4,3.75,0.5,4,5.063291139240507,30.37974683544304,14.556962025316455,10.962346883347326,11.39240506329114,""
"axon-server-connector-5.1.0",false,3,16,60,30,80,60,26.457513110645905,70,3,8,6,2.6457513110645907,7,11.39240506329114,34.17721518987342,24.05063291139241,11.601457455584406,26.58227848101266,""
"axon-test-5.1.0",true,2,12,60,40,80,60,28.284271247461902,40,2,4,3,1.4142135623730951,2,18.9873417721519,37.9746835443038,28.48101265822785,13.426078123795207,18.9873417721519,""
"axon-test-5.1.0",false,2,6,70,40,100,70,42.42640687119285,40,2,5,3.5,2.1213203435596424,2,11.39240506329114,18.9873417721519,15.18987341772152,5.3704312495180835,11.39240506329114,""
"axon-update-5.1.0",false,1,2,100,100,100,100,0,100,5,5,5,0,5,71.42857142857143,71.42857142857143,71.42857142857143,0,71.42857142857143,""
"axoniq-spring-boot-autoconfigure-5.1.0",false,1,2,60,60,60,60,0,60,3,3,3,0,3,19.23076923076923,19.23076923076923,19.23076923076923,0,19.23076923076923,""
