"a.fileName","incomingDependencies","incomingDependenciesWeight","Source Cypher File: domains/java/queries/artifact-dependencies/Incoming_Java_Artifact_Dependencies.cypher"
"/axon-eventsourcing-5.1.0.jar",2,88,""
"/axon-conversion-5.1.0.jar",5,112,""
"/axon-update-5.1.0.jar",0,0,""
"/axoniq-spring-boot-autoconfigure-5.1.0.jar",0,0,""
"/axon-modelling-5.1.0.jar",2,56,""
"/axon-metrics-micrometer-5.1.0.jar",0,0,""
"/axon-test-5.1.0.jar",0,0,""
"/axon-tracing-opentelemetry-5.1.0.jar",0,0,""
"/axon-messaging-5.1.0.jar",7,1282,""
"/axon-server-connector-5.1.0.jar",1,16,""
"/axon-common-5.1.0.jar",10,1718,""
