"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer",9,11,144,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation",9,11,144,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay",9,11,144,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",3,85,132,5,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore",3,51,132,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling",3,17,132,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout",3,8,132,5,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection",3,6,132,5,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation",10,11,102,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",18,85,50,5,""
"axon-common-5.1.2","org.axonframework.common",2,31,45,5,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared",2,7,45,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",8,14,42,5,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util",8,10,42,5,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration",8,7,42,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing",9,7,144,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation",3,17,132,6,""
"axon-modelling-5.1.2","org.axonframework.modelling",0,16,109,6,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event",10,14,102,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token",15,8,67,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation",4,17,56,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation",4,11,56,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",2,85,45,6,""
"axon-conversion-5.1.2","org.axonframework.conversion",20,11,31,6,""
"axon-test-5.1.2","org.axonframework.test.util",9,11,144,7,""
"axon-modelling-5.1.2","org.axonframework.modelling.repository",3,8,132,7,""
"axon-modelling-5.1.2","org.axonframework.modelling",1,16,15,7,""
"axon-common-5.1.2","org.axonframework.common.infra",1,8,15,7,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation",0,10,109,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing",9,12,144,9,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry",12,13,83,10,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling",0,18,109,11,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa",10,13,102,11,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",18,14,50,11,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api",8,12,42,11,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling",12,22,83,12,""
