"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-disruptor-4.10.3",1,"commandhandling",""
0,"axon-eventsourcing-4.10.3",2,"eventsourcing,conflictresolution",""
0,"axon-messaging-4.10.3",16,"commandhandling,callbacks,distributed,commandfilter,gateway,common,annotation,caching,digest,lock,property,interceptors,unitofwork",""
0,"axon-modelling-4.10.3",3,"command,inspection,legacyjpa",""
1,"axon-configuration-4.10.3",1,"config",""
1,"axon-eventsourcing-4.10.3",7,"eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting",""
1,"axon-messaging-4.10.3",10,"io,stream,transaction,eventhandling,async,deadletter,gateway,pooled,monitoring,util",""
3,"axon-messaging-4.10.3",15,"deadline,dbscheduler,jobrunr,quartz,scheduling,serialization,converters,json,upcasting,event,xml,attributes",""
3,"axon-spring-boot-autoconfigure-4.10.3",9,"actuator,axonserver,springboot,util,legacyjpa,jpa,connection,autoconfig",""
3,"axon-test-4.10.3",1,"server",""
4,"axon-messaging-4.10.3",11,"replay,java,messaging,lifecycle,correlation,interceptors,legacyvalidation,responsetypes,queryhandling,registration,tracing",""
4,"axon-server-connector-4.10.3",11,"connector,util,heartbeat,source,checker,query,subscription,processor,command,axon",""
4,"axon-tracing-opentelemetry-4.10.3",1,"opentelemetry",""
6,"axon-modelling-4.10.3",1,"inmemory",""
6,"axon-test-4.10.3",7,"test,aggregate,matchers,saga,utils,deadline,eventscheduler",""
