"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-test-4.12.2",8,""
"axon-disruptor-4.12.2",1,""
"axon-eventsourcing-4.12.2",9,""
"axon-tracing-opentelemetry-4.12.2",1,""
"axon-configuration-4.12.2",1,""
"axon-messaging-4.12.2",70,""
"axon-spring-boot-autoconfigure-4.12.2",10,""
"axon-modelling-4.12.2",10,""
"axon-server-connector-4.12.2",11,""
