"artifactName","effectiveLineCount","methods","Source Cypher File: Overview/Effective_Method_Line_Count_Distribution.cypher"
"axon-configuration-4.12.2.jar",1,316,""
"axon-configuration-4.12.2.jar",2,149,""
"axon-configuration-4.12.2.jar",3,36,""
"axon-configuration-4.12.2.jar",4,42,""
"axon-configuration-4.12.2.jar",5,16,""
"axon-configuration-4.12.2.jar",6,17,""
"axon-configuration-4.12.2.jar",7,3,""
"axon-configuration-4.12.2.jar",8,8,""
"axon-configuration-4.12.2.jar",9,8,""
"axon-configuration-4.12.2.jar",10,6,""
"axon-configuration-4.12.2.jar",11,5,""
"axon-configuration-4.12.2.jar",12,1,""
"axon-configuration-4.12.2.jar",13,2,""
"axon-configuration-4.12.2.jar",14,1,""
"axon-configuration-4.12.2.jar",17,1,""
"axon-configuration-4.12.2.jar",19,1,""
"axon-configuration-4.12.2.jar",20,1,""
"axon-configuration-4.12.2.jar",21,1,""
"axon-configuration-4.12.2.jar",23,1,""
"axon-configuration-4.12.2.jar",26,1,""
"axon-configuration-4.12.2.jar",43,1,""
"axon-configuration-4.12.2.jar",50,1,""
"axon-disruptor-4.12.2.jar",1,84,""
"axon-disruptor-4.12.2.jar",2,31,""
"axon-disruptor-4.12.2.jar",3,30,""
"axon-disruptor-4.12.2.jar",4,8,""
"axon-disruptor-4.12.2.jar",5,5,""
"axon-disruptor-4.12.2.jar",6,6,""
"axon-disruptor-4.12.2.jar",7,2,""
"axon-disruptor-4.12.2.jar",9,4,""
"axon-disruptor-4.12.2.jar",10,3,""
"axon-disruptor-4.12.2.jar",11,1,""
"axon-disruptor-4.12.2.jar",12,1,""
"axon-disruptor-4.12.2.jar",13,1,""
"axon-disruptor-4.12.2.jar",14,2,""
"axon-disruptor-4.12.2.jar",17,1,""
"axon-disruptor-4.12.2.jar",18,1,""
"axon-disruptor-4.12.2.jar",19,1,""
"axon-disruptor-4.12.2.jar",22,1,""
"axon-disruptor-4.12.2.jar",24,1,""
"axon-disruptor-4.12.2.jar",32,1,""
"axon-eventsourcing-4.12.2.jar",1,573,""
"axon-eventsourcing-4.12.2.jar",2,204,""
"axon-eventsourcing-4.12.2.jar",3,127,""
"axon-eventsourcing-4.12.2.jar",4,64,""
"axon-eventsourcing-4.12.2.jar",5,39,""
"axon-eventsourcing-4.12.2.jar",6,34,""
"axon-eventsourcing-4.12.2.jar",7,32,""
"axon-eventsourcing-4.12.2.jar",8,12,""
"axon-eventsourcing-4.12.2.jar",9,18,""
"axon-eventsourcing-4.12.2.jar",10,7,""
"axon-eventsourcing-4.12.2.jar",11,2,""
"axon-eventsourcing-4.12.2.jar",12,5,""
"axon-eventsourcing-4.12.2.jar",13,2,""
"axon-eventsourcing-4.12.2.jar",14,3,""
"axon-eventsourcing-4.12.2.jar",15,2,""
"axon-eventsourcing-4.12.2.jar",16,6,""
"axon-eventsourcing-4.12.2.jar",18,3,""
"axon-eventsourcing-4.12.2.jar",20,2,""
"axon-eventsourcing-4.12.2.jar",21,2,""
"axon-eventsourcing-4.12.2.jar",22,1,""
"axon-eventsourcing-4.12.2.jar",23,2,""
"axon-eventsourcing-4.12.2.jar",24,1,""
"axon-eventsourcing-4.12.2.jar",25,1,""
"axon-messaging-4.12.2.jar",1,2958,""
"axon-messaging-4.12.2.jar",2,864,""
"axon-messaging-4.12.2.jar",3,699,""
"axon-messaging-4.12.2.jar",4,290,""
"axon-messaging-4.12.2.jar",5,237,""
"axon-messaging-4.12.2.jar",6,178,""
"axon-messaging-4.12.2.jar",7,113,""
"axon-messaging-4.12.2.jar",8,88,""
"axon-messaging-4.12.2.jar",9,87,""
"axon-messaging-4.12.2.jar",10,50,""
"axon-messaging-4.12.2.jar",11,46,""
"axon-messaging-4.12.2.jar",12,47,""
"axon-messaging-4.12.2.jar",13,34,""
"axon-messaging-4.12.2.jar",14,15,""
"axon-messaging-4.12.2.jar",15,13,""
"axon-messaging-4.12.2.jar",16,10,""
"axon-messaging-4.12.2.jar",17,11,""
"axon-messaging-4.12.2.jar",18,10,""
"axon-messaging-4.12.2.jar",19,8,""
"axon-messaging-4.12.2.jar",20,5,""
"axon-messaging-4.12.2.jar",21,7,""
"axon-messaging-4.12.2.jar",22,2,""
"axon-messaging-4.12.2.jar",23,4,""
"axon-messaging-4.12.2.jar",24,5,""
"axon-messaging-4.12.2.jar",25,1,""
"axon-messaging-4.12.2.jar",26,4,""
"axon-messaging-4.12.2.jar",28,2,""
"axon-messaging-4.12.2.jar",30,1,""
"axon-messaging-4.12.2.jar",31,1,""
"axon-messaging-4.12.2.jar",32,1,""
"axon-messaging-4.12.2.jar",33,1,""
"axon-messaging-4.12.2.jar",34,1,""
"axon-messaging-4.12.2.jar",36,2,""
"axon-messaging-4.12.2.jar",39,1,""
"axon-messaging-4.12.2.jar",41,1,""
"axon-messaging-4.12.2.jar",44,1,""
"axon-messaging-4.12.2.jar",50,1,""
"axon-messaging-4.12.2.jar",62,1,""
"axon-messaging-4.12.2.jar",64,1,""
"axon-messaging-4.12.2.jar",81,1,""
"axon-modelling-4.12.2.jar",1,532,""
"axon-modelling-4.12.2.jar",2,160,""
"axon-modelling-4.12.2.jar",3,141,""
"axon-modelling-4.12.2.jar",4,58,""
"axon-modelling-4.12.2.jar",5,46,""
"axon-modelling-4.12.2.jar",6,45,""
"axon-modelling-4.12.2.jar",7,25,""
"axon-modelling-4.12.2.jar",8,10,""
"axon-modelling-4.12.2.jar",9,17,""
"axon-modelling-4.12.2.jar",10,8,""
"axon-modelling-4.12.2.jar",11,7,""
"axon-modelling-4.12.2.jar",12,2,""
"axon-modelling-4.12.2.jar",13,8,""
"axon-modelling-4.12.2.jar",14,4,""
"axon-modelling-4.12.2.jar",15,5,""
"axon-modelling-4.12.2.jar",16,2,""
"axon-modelling-4.12.2.jar",17,1,""
"axon-modelling-4.12.2.jar",19,1,""
"axon-modelling-4.12.2.jar",20,2,""
"axon-modelling-4.12.2.jar",21,2,""
"axon-modelling-4.12.2.jar",22,2,""
"axon-modelling-4.12.2.jar",24,1,""
"axon-modelling-4.12.2.jar",26,1,""
"axon-modelling-4.12.2.jar",38,1,""
"axon-server-connector-4.12.2.jar",1,586,""
"axon-server-connector-4.12.2.jar",2,205,""
"axon-server-connector-4.12.2.jar",3,142,""
"axon-server-connector-4.12.2.jar",4,69,""
"axon-server-connector-4.12.2.jar",5,49,""
"axon-server-connector-4.12.2.jar",6,28,""
"axon-server-connector-4.12.2.jar",7,19,""
"axon-server-connector-4.12.2.jar",8,22,""
"axon-server-connector-4.12.2.jar",9,14,""
"axon-server-connector-4.12.2.jar",10,14,""
"axon-server-connector-4.12.2.jar",11,13,""
"axon-server-connector-4.12.2.jar",12,12,""
"axon-server-connector-4.12.2.jar",13,7,""
"axon-server-connector-4.12.2.jar",14,1,""
"axon-server-connector-4.12.2.jar",15,5,""
"axon-server-connector-4.12.2.jar",16,3,""
"axon-server-connector-4.12.2.jar",17,7,""
"axon-server-connector-4.12.2.jar",19,3,""
"axon-server-connector-4.12.2.jar",20,2,""
"axon-server-connector-4.12.2.jar",21,2,""
"axon-server-connector-4.12.2.jar",23,1,""
"axon-server-connector-4.12.2.jar",24,3,""
"axon-server-connector-4.12.2.jar",27,1,""
"axon-server-connector-4.12.2.jar",28,2,""
"axon-server-connector-4.12.2.jar",38,1,""
"axon-server-connector-4.12.2.jar",42,1,""
"axon-spring-boot-autoconfigure-4.12.2.jar",1,281,""
"axon-spring-boot-autoconfigure-4.12.2.jar",2,109,""
"axon-spring-boot-autoconfigure-4.12.2.jar",3,22,""
"axon-spring-boot-autoconfigure-4.12.2.jar",4,22,""
"axon-spring-boot-autoconfigure-4.12.2.jar",5,14,""
"axon-spring-boot-autoconfigure-4.12.2.jar",6,11,""
"axon-spring-boot-autoconfigure-4.12.2.jar",7,12,""
"axon-spring-boot-autoconfigure-4.12.2.jar",8,8,""
"axon-spring-boot-autoconfigure-4.12.2.jar",9,5,""
"axon-spring-boot-autoconfigure-4.12.2.jar",10,4,""
"axon-spring-boot-autoconfigure-4.12.2.jar",11,3,""
"axon-spring-boot-autoconfigure-4.12.2.jar",17,1,""
"axon-spring-boot-autoconfigure-4.12.2.jar",19,1,""
"axon-spring-boot-autoconfigure-4.12.2.jar",22,2,""
"axon-spring-boot-autoconfigure-4.12.2.jar",23,1,""
"axon-spring-boot-autoconfigure-4.12.2.jar",48,1,""
"axon-test-4.12.2.jar",1,279,""
"axon-test-4.12.2.jar",2,172,""
"axon-test-4.12.2.jar",3,66,""
"axon-test-4.12.2.jar",4,49,""
"axon-test-4.12.2.jar",5,24,""
"axon-test-4.12.2.jar",6,18,""
"axon-test-4.12.2.jar",7,20,""
"axon-test-4.12.2.jar",8,11,""
"axon-test-4.12.2.jar",9,10,""
"axon-test-4.12.2.jar",10,4,""
"axon-test-4.12.2.jar",11,9,""
"axon-test-4.12.2.jar",12,9,""
"axon-test-4.12.2.jar",13,4,""
"axon-test-4.12.2.jar",14,2,""
"axon-test-4.12.2.jar",15,3,""
"axon-test-4.12.2.jar",16,4,""
"axon-test-4.12.2.jar",17,4,""
"axon-test-4.12.2.jar",18,3,""
"axon-test-4.12.2.jar",20,1,""
"axon-test-4.12.2.jar",21,1,""
"axon-test-4.12.2.jar",22,1,""
"axon-test-4.12.2.jar",23,1,""
"axon-test-4.12.2.jar",24,1,""
"axon-test-4.12.2.jar",26,1,""
"axon-test-4.12.2.jar",29,1,""
"axon-test-4.12.2.jar",31,1,""
"axon-test-4.12.2.jar",45,1,""
"axon-tracing-opentelemetry-4.12.2.jar",1,16,""
"axon-tracing-opentelemetry-4.12.2.jar",2,4,""
"axon-tracing-opentelemetry-4.12.2.jar",3,10,""
"axon-tracing-opentelemetry-4.12.2.jar",4,7,""
"axon-tracing-opentelemetry-4.12.2.jar",5,2,""
"axon-tracing-opentelemetry-4.12.2.jar",6,3,""
"axon-tracing-opentelemetry-4.12.2.jar",7,2,""
"axon-tracing-opentelemetry-4.12.2.jar",9,1,""
"axon-tracing-opentelemetry-4.12.2.jar",12,1,""
