"artifactName","cyclomaticComplexity","methods","Source Cypher File: Overview/Cyclomatic_Method_Complexity_Distribution.cypher"
"axon-configuration-4.12.2.jar",1,553,""
"axon-configuration-4.12.2.jar",2,37,""
"axon-configuration-4.12.2.jar",3,18,""
"axon-configuration-4.12.2.jar",4,5,""
"axon-configuration-4.12.2.jar",5,3,""
"axon-configuration-4.12.2.jar",7,2,""
"axon-disruptor-4.12.2.jar",1,146,""
"axon-disruptor-4.12.2.jar",2,20,""
"axon-disruptor-4.12.2.jar",3,5,""
"axon-disruptor-4.12.2.jar",4,4,""
"axon-disruptor-4.12.2.jar",5,3,""
"axon-disruptor-4.12.2.jar",6,2,""
"axon-disruptor-4.12.2.jar",7,2,""
"axon-disruptor-4.12.2.jar",8,2,""
"axon-eventsourcing-4.12.2.jar",1,943,""
"axon-eventsourcing-4.12.2.jar",2,94,""
"axon-eventsourcing-4.12.2.jar",3,53,""
"axon-eventsourcing-4.12.2.jar",4,24,""
"axon-eventsourcing-4.12.2.jar",5,9,""
"axon-eventsourcing-4.12.2.jar",6,4,""
"axon-eventsourcing-4.12.2.jar",7,7,""
"axon-eventsourcing-4.12.2.jar",8,7,""
"axon-eventsourcing-4.12.2.jar",13,1,""
"axon-messaging-4.12.2.jar",1,4648,""
"axon-messaging-4.12.2.jar",2,486,""
"axon-messaging-4.12.2.jar",3,299,""
"axon-messaging-4.12.2.jar",4,154,""
"axon-messaging-4.12.2.jar",5,84,""
"axon-messaging-4.12.2.jar",6,54,""
"axon-messaging-4.12.2.jar",7,23,""
"axon-messaging-4.12.2.jar",8,14,""
"axon-messaging-4.12.2.jar",9,9,""
"axon-messaging-4.12.2.jar",10,6,""
"axon-messaging-4.12.2.jar",11,10,""
"axon-messaging-4.12.2.jar",12,5,""
"axon-messaging-4.12.2.jar",13,2,""
"axon-messaging-4.12.2.jar",14,1,""
"axon-messaging-4.12.2.jar",15,1,""
"axon-messaging-4.12.2.jar",17,2,""
"axon-messaging-4.12.2.jar",21,1,""
"axon-messaging-4.12.2.jar",23,1,""
"axon-messaging-4.12.2.jar",40,1,""
"axon-messaging-4.12.2.jar",41,1,""
"axon-modelling-4.12.2.jar",1,896,""
"axon-modelling-4.12.2.jar",2,75,""
"axon-modelling-4.12.2.jar",3,41,""
"axon-modelling-4.12.2.jar",4,29,""
"axon-modelling-4.12.2.jar",5,24,""
"axon-modelling-4.12.2.jar",6,10,""
"axon-modelling-4.12.2.jar",7,2,""
"axon-modelling-4.12.2.jar",8,1,""
"axon-modelling-4.12.2.jar",9,2,""
"axon-modelling-4.12.2.jar",16,1,""
"axon-server-connector-4.12.2.jar",1,1016,""
"axon-server-connector-4.12.2.jar",2,90,""
"axon-server-connector-4.12.2.jar",3,46,""
"axon-server-connector-4.12.2.jar",4,26,""
"axon-server-connector-4.12.2.jar",5,8,""
"axon-server-connector-4.12.2.jar",6,5,""
"axon-server-connector-4.12.2.jar",7,7,""
"axon-server-connector-4.12.2.jar",8,5,""
"axon-server-connector-4.12.2.jar",9,5,""
"axon-server-connector-4.12.2.jar",10,2,""
"axon-server-connector-4.12.2.jar",12,1,""
"axon-server-connector-4.12.2.jar",15,1,""
"axon-spring-boot-autoconfigure-4.12.2.jar",1,472,""
"axon-spring-boot-autoconfigure-4.12.2.jar",2,12,""
"axon-spring-boot-autoconfigure-4.12.2.jar",3,6,""
"axon-spring-boot-autoconfigure-4.12.2.jar",4,3,""
"axon-spring-boot-autoconfigure-4.12.2.jar",5,1,""
"axon-spring-boot-autoconfigure-4.12.2.jar",6,1,""
"axon-spring-boot-autoconfigure-4.12.2.jar",7,1,""
"axon-spring-boot-autoconfigure-4.12.2.jar",14,1,""
"axon-test-4.12.2.jar",1,521,""
"axon-test-4.12.2.jar",2,61,""
"axon-test-4.12.2.jar",3,59,""
"axon-test-4.12.2.jar",4,23,""
"axon-test-4.12.2.jar",5,13,""
"axon-test-4.12.2.jar",6,9,""
"axon-test-4.12.2.jar",7,4,""
"axon-test-4.12.2.jar",8,2,""
"axon-test-4.12.2.jar",9,2,""
"axon-test-4.12.2.jar",10,1,""
"axon-test-4.12.2.jar",11,2,""
"axon-test-4.12.2.jar",12,2,""
"axon-test-4.12.2.jar",13,1,""
"axon-tracing-opentelemetry-4.12.2.jar",1,35,""
"axon-tracing-opentelemetry-4.12.2.jar",2,8,""
"axon-tracing-opentelemetry-4.12.2.jar",3,2,""
"axon-tracing-opentelemetry-4.12.2.jar",4,1,""
