"artifactName","effectiveLineCount","methods","Source Cypher File: Overview/Effective_Method_Line_Count_Distribution.cypher"
"axon-common-5.0.0.jar",1,349,""
"axon-common-5.0.0.jar",2,139,""
"axon-common-5.0.0.jar",3,87,""
"axon-common-5.0.0.jar",4,39,""
"axon-common-5.0.0.jar",5,36,""
"axon-common-5.0.0.jar",6,36,""
"axon-common-5.0.0.jar",7,14,""
"axon-common-5.0.0.jar",8,17,""
"axon-common-5.0.0.jar",9,11,""
"axon-common-5.0.0.jar",10,6,""
"axon-common-5.0.0.jar",11,7,""
"axon-common-5.0.0.jar",12,7,""
"axon-common-5.0.0.jar",13,5,""
"axon-common-5.0.0.jar",14,5,""
"axon-common-5.0.0.jar",15,1,""
"axon-common-5.0.0.jar",16,2,""
"axon-common-5.0.0.jar",17,3,""
"axon-common-5.0.0.jar",18,1,""
"axon-common-5.0.0.jar",24,1,""
"axon-common-5.0.0.jar",26,1,""
"axon-conversion-5.0.0.jar",1,101,""
"axon-conversion-5.0.0.jar",2,20,""
"axon-conversion-5.0.0.jar",3,12,""
"axon-conversion-5.0.0.jar",4,8,""
"axon-conversion-5.0.0.jar",5,9,""
"axon-conversion-5.0.0.jar",6,7,""
"axon-conversion-5.0.0.jar",7,5,""
"axon-conversion-5.0.0.jar",8,5,""
"axon-conversion-5.0.0.jar",9,4,""
"axon-conversion-5.0.0.jar",10,1,""
"axon-conversion-5.0.0.jar",11,2,""
"axon-conversion-5.0.0.jar",13,1,""
"axon-conversion-5.0.0.jar",15,1,""
"axon-conversion-5.0.0.jar",16,2,""
"axon-conversion-5.0.0.jar",17,1,""
"axon-conversion-5.0.0.jar",19,1,""
"axon-conversion-5.0.0.jar",29,1,""
"axon-conversion-5.0.0.jar",30,1,""
"axon-eventsourcing-5.0.0.jar",1,302,""
"axon-eventsourcing-5.0.0.jar",2,74,""
"axon-eventsourcing-5.0.0.jar",3,57,""
"axon-eventsourcing-5.0.0.jar",4,54,""
"axon-eventsourcing-5.0.0.jar",5,28,""
"axon-eventsourcing-5.0.0.jar",6,19,""
"axon-eventsourcing-5.0.0.jar",7,15,""
"axon-eventsourcing-5.0.0.jar",8,4,""
"axon-eventsourcing-5.0.0.jar",9,11,""
"axon-eventsourcing-5.0.0.jar",10,6,""
"axon-eventsourcing-5.0.0.jar",11,5,""
"axon-eventsourcing-5.0.0.jar",12,4,""
"axon-eventsourcing-5.0.0.jar",13,4,""
"axon-eventsourcing-5.0.0.jar",14,2,""
"axon-eventsourcing-5.0.0.jar",15,2,""
"axon-eventsourcing-5.0.0.jar",16,1,""
"axon-eventsourcing-5.0.0.jar",17,1,""
"axon-eventsourcing-5.0.0.jar",19,1,""
"axon-eventsourcing-5.0.0.jar",20,1,""
"axon-eventsourcing-5.0.0.jar",21,1,""
"axon-eventsourcing-5.0.0.jar",27,1,""
"axon-eventsourcing-5.0.0.jar",30,1,""
"axon-eventsourcing-5.0.0.jar",40,1,""
"axon-messaging-5.0.0.jar",1,1936,""
"axon-messaging-5.0.0.jar",2,500,""
"axon-messaging-5.0.0.jar",3,424,""
"axon-messaging-5.0.0.jar",4,189,""
"axon-messaging-5.0.0.jar",5,148,""
"axon-messaging-5.0.0.jar",6,85,""
"axon-messaging-5.0.0.jar",7,67,""
"axon-messaging-5.0.0.jar",8,66,""
"axon-messaging-5.0.0.jar",9,41,""
"axon-messaging-5.0.0.jar",10,24,""
"axon-messaging-5.0.0.jar",11,22,""
"axon-messaging-5.0.0.jar",12,8,""
"axon-messaging-5.0.0.jar",13,9,""
"axon-messaging-5.0.0.jar",14,6,""
"axon-messaging-5.0.0.jar",15,5,""
"axon-messaging-5.0.0.jar",16,7,""
"axon-messaging-5.0.0.jar",17,3,""
"axon-messaging-5.0.0.jar",18,1,""
"axon-messaging-5.0.0.jar",19,3,""
"axon-messaging-5.0.0.jar",20,2,""
"axon-messaging-5.0.0.jar",21,1,""
"axon-messaging-5.0.0.jar",22,3,""
"axon-messaging-5.0.0.jar",23,1,""
"axon-messaging-5.0.0.jar",25,2,""
"axon-messaging-5.0.0.jar",26,1,""
"axon-messaging-5.0.0.jar",27,1,""
"axon-messaging-5.0.0.jar",30,1,""
"axon-messaging-5.0.0.jar",36,1,""
"axon-messaging-5.0.0.jar",77,1,""
"axon-metrics-micrometer-5.0.0.jar",1,34,""
"axon-metrics-micrometer-5.0.0.jar",2,17,""
"axon-metrics-micrometer-5.0.0.jar",3,15,""
"axon-metrics-micrometer-5.0.0.jar",4,6,""
"axon-metrics-micrometer-5.0.0.jar",5,2,""
"axon-metrics-micrometer-5.0.0.jar",6,4,""
"axon-metrics-micrometer-5.0.0.jar",7,4,""
"axon-metrics-micrometer-5.0.0.jar",8,5,""
"axon-metrics-micrometer-5.0.0.jar",9,1,""
"axon-metrics-micrometer-5.0.0.jar",13,3,""
"axon-metrics-micrometer-5.0.0.jar",15,1,""
"axon-modelling-5.0.0.jar",1,175,""
"axon-modelling-5.0.0.jar",2,56,""
"axon-modelling-5.0.0.jar",3,30,""
"axon-modelling-5.0.0.jar",4,36,""
"axon-modelling-5.0.0.jar",5,23,""
"axon-modelling-5.0.0.jar",6,18,""
"axon-modelling-5.0.0.jar",7,9,""
"axon-modelling-5.0.0.jar",8,9,""
"axon-modelling-5.0.0.jar",9,13,""
"axon-modelling-5.0.0.jar",10,3,""
"axon-modelling-5.0.0.jar",11,2,""
"axon-modelling-5.0.0.jar",12,4,""
"axon-modelling-5.0.0.jar",13,5,""
"axon-modelling-5.0.0.jar",14,1,""
"axon-modelling-5.0.0.jar",15,1,""
"axon-modelling-5.0.0.jar",16,1,""
"axon-modelling-5.0.0.jar",17,2,""
"axon-modelling-5.0.0.jar",18,2,""
"axon-modelling-5.0.0.jar",21,1,""
"axon-server-connector-5.0.0.jar",1,266,""
"axon-server-connector-5.0.0.jar",2,143,""
"axon-server-connector-5.0.0.jar",3,77,""
"axon-server-connector-5.0.0.jar",4,43,""
"axon-server-connector-5.0.0.jar",5,34,""
"axon-server-connector-5.0.0.jar",6,14,""
"axon-server-connector-5.0.0.jar",7,9,""
"axon-server-connector-5.0.0.jar",8,15,""
"axon-server-connector-5.0.0.jar",9,11,""
"axon-server-connector-5.0.0.jar",10,7,""
"axon-server-connector-5.0.0.jar",11,2,""
"axon-server-connector-5.0.0.jar",12,3,""
"axon-server-connector-5.0.0.jar",13,2,""
"axon-server-connector-5.0.0.jar",14,2,""
"axon-server-connector-5.0.0.jar",15,1,""
"axon-server-connector-5.0.0.jar",16,1,""
"axon-server-connector-5.0.0.jar",17,2,""
"axon-server-connector-5.0.0.jar",18,1,""
"axon-server-connector-5.0.0.jar",20,1,""
"axon-server-connector-5.0.0.jar",21,2,""
"axon-server-connector-5.0.0.jar",28,1,""
"axon-server-connector-5.0.0.jar",30,1,""
"axon-server-connector-5.0.0.jar",42,1,""
"axon-spring-boot-autoconfigure-5.0.0.jar",1,161,""
"axon-spring-boot-autoconfigure-5.0.0.jar",2,75,""
"axon-spring-boot-autoconfigure-5.0.0.jar",3,15,""
"axon-spring-boot-autoconfigure-5.0.0.jar",4,6,""
"axon-spring-boot-autoconfigure-5.0.0.jar",5,9,""
"axon-spring-boot-autoconfigure-5.0.0.jar",6,5,""
"axon-spring-boot-autoconfigure-5.0.0.jar",7,5,""
"axon-spring-boot-autoconfigure-5.0.0.jar",8,2,""
"axon-spring-boot-autoconfigure-5.0.0.jar",9,2,""
"axon-spring-boot-autoconfigure-5.0.0.jar",10,1,""
"axon-spring-boot-autoconfigure-5.0.0.jar",12,1,""
"axon-spring-boot-autoconfigure-5.0.0.jar",13,1,""
"axon-spring-boot-autoconfigure-5.0.0.jar",17,1,""
"axon-spring-boot-autoconfigure-5.0.0.jar",23,1,""
"axon-spring-boot-autoconfigure-5.0.0.jar",29,1,""
"axon-test-5.0.0.jar",1,201,""
"axon-test-5.0.0.jar",2,72,""
"axon-test-5.0.0.jar",3,32,""
"axon-test-5.0.0.jar",4,35,""
"axon-test-5.0.0.jar",5,4,""
"axon-test-5.0.0.jar",6,13,""
"axon-test-5.0.0.jar",7,8,""
"axon-test-5.0.0.jar",8,7,""
"axon-test-5.0.0.jar",9,7,""
"axon-test-5.0.0.jar",10,2,""
"axon-test-5.0.0.jar",11,3,""
"axon-test-5.0.0.jar",12,7,""
"axon-test-5.0.0.jar",13,3,""
"axon-test-5.0.0.jar",14,3,""
"axon-test-5.0.0.jar",15,1,""
"axon-test-5.0.0.jar",16,3,""
"axon-test-5.0.0.jar",18,2,""
"axon-test-5.0.0.jar",20,2,""
"axon-test-5.0.0.jar",21,1,""
"axon-test-5.0.0.jar",23,1,""
"axon-test-5.0.0.jar",26,1,""
"axon-test-5.0.0.jar",31,1,""
"axon-test-5.0.0.jar",45,1,""
"axon-tracing-opentelemetry-5.0.0.jar",1,11,""
"axon-tracing-opentelemetry-5.0.0.jar",2,4,""
"axon-tracing-opentelemetry-5.0.0.jar",3,10,""
"axon-tracing-opentelemetry-5.0.0.jar",4,7,""
"axon-tracing-opentelemetry-5.0.0.jar",5,2,""
"axon-tracing-opentelemetry-5.0.0.jar",6,3,""
"axon-tracing-opentelemetry-5.0.0.jar",7,2,""
"axon-tracing-opentelemetry-5.0.0.jar",9,1,""
"axon-tracing-opentelemetry-5.0.0.jar",12,1,""
"axon-update-5.0.0.jar",1,88,""
"axon-update-5.0.0.jar",2,11,""
"axon-update-5.0.0.jar",3,6,""
"axon-update-5.0.0.jar",4,9,""
"axon-update-5.0.0.jar",5,8,""
"axon-update-5.0.0.jar",6,8,""
"axon-update-5.0.0.jar",7,2,""
"axon-update-5.0.0.jar",8,3,""
"axon-update-5.0.0.jar",9,3,""
"axon-update-5.0.0.jar",10,2,""
"axon-update-5.0.0.jar",13,4,""
"axon-update-5.0.0.jar",14,2,""
"axon-update-5.0.0.jar",15,1,""
"axon-update-5.0.0.jar",17,2,""
"axon-update-5.0.0.jar",18,1,""
"axon-update-5.0.0.jar",21,2,""
"axon-update-5.0.0.jar",24,1,""
"axon-update-5.0.0.jar",41,1,""
