"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-common-5.0.0",2,"infra,configuration",""
0,"axon-eventsourcing-5.0.0",2,"eventsourcing,configuration",""
0,"axon-messaging-5.0.0",8,"monitoring,interception,configuration,reflection,correlation",""
0,"axon-metrics-micrometer-5.0.0",2,"micrometer,reservoir",""
0,"axon-modelling-5.0.0",4,"modelling,annotation,configuration,repository",""
1,"axon-common-5.0.0",1,"property",""
1,"axon-messaging-5.0.0",24,"commandhandling,annotation,interception,gateway,retry,tracing,configuration,replay,queryhandling,core,unitofwork,transaction,attributes",""
1,"axon-modelling-5.0.0",3,"entity,annotation,child",""
1,"axon-test-5.0.0",1,"util",""
2,"axon-common-5.0.0",6,"common,util,caching,digest,lifecycle,lock",""
2,"axon-eventsourcing-5.0.0",1,"reflection",""
2,"axon-messaging-5.0.0",5,"distributed,tracing",""
2,"axon-server-connector-5.0.0",4,"connector,util,query,command",""
2,"axon-spring-boot-autoconfigure-5.0.0",1,"connection",""
2,"axon-test-5.0.0",1,"server",""
2,"axon-tracing-opentelemetry-5.0.0",1,"opentelemetry",""
3,"axon-common-5.0.0",1,"io",""
3,"axon-eventsourcing-5.0.0",4,"annotation,eventstore,inmemory,jpa",""
3,"axon-messaging-5.0.0",3,"streaming,token,eventstreaming",""
3,"axon-server-connector-5.0.0",1,"event",""
4,"axon-common-5.0.0",1,"annotation",""
4,"axon-update-5.0.0",5,"update,detection,common,api,configuration",""
5,"axon-common-5.0.0",2,"jdbc,jpa",""
5,"axon-messaging-5.0.0",10,"processing,store,inmemory,jdbc,jpa,pooled,segmenting,subscribing,errorhandling,configuration",""
6,"axon-conversion-5.0.0",4,"conversion,converter,avro,json",""
6,"axon-messaging-5.0.0",3,"conversion,timeout",""
6,"axon-spring-boot-autoconfigure-5.0.0",6,"springboot,actuator,axonserver,autoconfig,util,jpa",""
7,"axon-messaging-5.0.0",4,"eventhandling,interception,gateway,sequencing",""
7,"axon-test-5.0.0",3,"test,fixture,matchers",""
