"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionUnexpectedCentralNodes.cypher"
"org.axonframework.common.TypeReflectionUtils$VarMap$UnresolvedTypeVariableException","TypeReflectionUtils$VarMap$UnresolvedTypeVariableException","axon-common-5.0.3",337.5,3,2,1,""
"org.axonframework.common.TypeReflectionUtils$VarMap$ParameterizedTypeImpl","TypeReflectionUtils$VarMap$ParameterizedTypeImpl","axon-common-5.0.3",337.5,3,2,1,""
"org.axonframework.test.extension.ProvidedAxonTestFixture","ProvidedAxonTestFixture","axon-test-5.0.3",210.5,2,1,1,""
"org.axonframework.messaging.core.MessageTypeNotResolvedException","MessageTypeNotResolvedException","axon-messaging-5.0.3",67,2,1,1,""
"org.axonframework.messaging.core.annotation.ClasspathHandlerEnhancerDefinition","ClasspathHandlerEnhancerDefinition","axon-messaging-5.0.3",66,3,1,2,""
"org.axonframework.axonserver.connector.InstructionAckSource","InstructionAckSource","axon-server-connector-5.0.3",61,2,1,1,""
"org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver$AnnotationSpecification","AnnotationMessageTypeResolver$AnnotationSpecification","axon-messaging-5.0.3",60,2,1,1,""
"org.axonframework.messaging.commandhandling.annotation.Command","Command","axon-messaging-5.0.3",51.666666666666664,3,1,2,""
"org.axonframework.test.matchers.IgnoreField","IgnoreField","axon-test-5.0.3",37,3,1,2,""
"org.axonframework.messaging.core.EmptyContext","EmptyContext","axon-messaging-5.0.3",35.88333333333334,3,1,2,""
"org.axonframework.eventsourcing.eventstore.TooManyTagsOnEventMessageException","TooManyTagsOnEventMessageException","axon-eventsourcing-5.0.3",30,3,1,2,""
"org.axonframework.messaging.core.ClassBasedMessageTypeResolver","ClassBasedMessageTypeResolver","axon-messaging-5.0.3",28,3,1,2,""
"org.axonframework.test.matchers.MapStringEntryMatcher","MapStringEntryMatcher","axon-test-5.0.3",28,3,1,2,""
"org.axonframework.axonserver.connector.query.AxonServerRemoteQueryHandlingException","AxonServerRemoteQueryHandlingException","axon-server-connector-5.0.3",27.99999999999999,3,1,2,""
"org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext$Status","UnitOfWork$UnitOfWorkProcessingContext$Status","axon-messaging-5.0.3",27.5,3,2,1,""
"org.axonframework.axonserver.connector.command.AxonServerCommandDispatchException","AxonServerCommandDispatchException","axon-server-connector-5.0.3",21,2,1,1,""
"org.axonframework.messaging.tracing.SpanUtils","SpanUtils","axon-messaging-5.0.3",20.5,3,1,2,""
"org.axonframework.common.ProcessUtils","ProcessUtils","axon-common-5.0.3",19,2,1,1,""
"org.axonframework.axonserver.connector.query.AxonServerNonTransientRemoteQueryHandlingException","AxonServerNonTransientRemoteQueryHandlingException","axon-server-connector-5.0.3",17.500000000000004,3,1,2,""
"org.axonframework.axonserver.connector.command.AxonServerNonTransientRemoteCommandHandlingException","AxonServerNonTransientRemoteCommandHandlingException","axon-server-connector-5.0.3",17.500000000000004,3,1,2,""
