"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeBottleneck.cypher"
"axon-messaging-5.0.3","MessageStream","org.axonframework.messaging.core.MessageStream",10120.975559734383,1,""
"axon-messaging-5.0.3","Message","org.axonframework.messaging.core.Message",9922.418001443004,2,""
"axon-messaging-5.0.3","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",6810.24422799423,3,""
"axon-messaging-5.0.3","QualifiedName","org.axonframework.messaging.core.QualifiedName",4806.0143366437505,4,""
"axon-common-5.0.3","ReflectionUtils","org.axonframework.common.ReflectionUtils",4449.55,5,""
"axon-messaging-5.0.3","MessageType","org.axonframework.messaging.core.MessageType",4213.667697988287,6,""
"axon-modelling-5.0.3","AnnotatedEntityMetamodel","org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",3160.1476190476187,7,""
"axon-messaging-5.0.3","ProcessingLifecycle","org.axonframework.messaging.core.unitofwork.ProcessingLifecycle",2507.9396825396825,8,""
"axon-messaging-5.0.3","Context","org.axonframework.messaging.core.Context",2039.7333333333336,9,""
"axon-common-5.0.3","TypeReflectionUtils","org.axonframework.common.TypeReflectionUtils",2024,10,""
