"codeUnitName","shortCodeUnitName","projectName","betweenness","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionFragileStructuralBridges.cypher"
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.0.3",10120.975559734383,0.0467104577207799,155,134,21,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.3",9922.418001443004,0.030696490270958356,235,229,6,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.3",6810.24422799423,0.02202392253654832,232,227,5,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.0.3",4806.0143366437505,0.05868544600938967,72,69,3,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-common-5.0.3",4449.55,0.05057471264367816,30,26,4,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.0.3",4213.667697988287,0.07597895967270601,59,56,3,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.0.3",1760.294841269841,0.027886710239651415,136,133,3,""
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.3",1428,0.0696969696969697,47,45,2,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.0.3",1122.8666666666668,0.06884057971014493,24,23,1,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.0.3",755.0607142857143,0.05331510594668489,77,74,3,""
"org.axonframework.extension.springboot.autoconfig.AxonAutoConfiguration","AxonAutoConfiguration","axon-spring-boot-autoconfigure-5.0.3",727.25,0.07575757575757576,12,7,5,""
"org.axonframework.messaging.core.configuration.MessagingConfigurationDefaults","MessagingConfigurationDefaults","axon-messaging-5.0.3",717.9198412698413,0.05734767025089606,63,1,62,""
"org.axonframework.axonserver.connector.ErrorCode","ErrorCode","axon-server-connector-5.0.3",688.7,0.04710144927536232,27,8,19,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.3",662.0555555555555,0.04440333024976873,47,46,1,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.0.3",656,0.07692307692307693,41,40,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.3",592.7000000000002,0,16,15,1,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.0.3",545.9250000000002,0.04309842748980781,102,99,3,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver","axon-messaging-5.0.3",530.0333333333333,0.06648936170212766,48,47,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-common-5.0.3",500.0075757575758,0.023529411764705882,35,32,3,""
