"codeUnitName","shortCodeUnitName","projectName","localClusteringCoefficient","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionOverReferencesUtilities.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.0",0.07439024390243902,34.52780004088888,43,41,2,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.0",0.03246160232461602,18.191725828725573,220,214,6,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.0",0.021831616659202868,17.113742408838338,234,229,5,""
"org.axonframework.common.TypeReference$2","TypeReference$2","axon-common-5.0.0",0,14.82320814490487,2,1,1,""
"org.axonframework.common.TypeReference$1","TypeReference$1","axon-common-5.0.0",0,14.82320814490487,2,1,1,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.0",0.04541062801932367,12.010800678576453,46,45,1,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.0.0",0.08108108108108109,8.054358853740242,39,38,1,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.0.0",0.04613661814109742,7.409344872006068,95,93,2,""
"org.axonframework.messaging.core.Metadata$MetadataCollector","Metadata$MetadataCollector","axon-messaging-5.0.0",0,6.995622044237691,2,1,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.0",0,6.4677026001028946,16,15,1,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.0.0",0.027942863100823688,5.658331412233275,139,136,3,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.0.0",0.04701588664662946,5.380291146908103,153,132,21,""
"org.axonframework.common.Assert","Assert","axon-common-5.0.0",0.04233870967741935,4.391643385290472,32,31,1,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.0.0",0.05714285714285714,4.24141973157889,71,68,3,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken","TrackingToken","axon-messaging-5.0.0",0.07441016333938294,3.7220450398116744,60,56,4,""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition","axon-eventsourcing-5.0.0",0,3.563021520161996,2,1,1,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.0.0",0.04984779299847793,3.306742935449946,73,70,3,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.0.0",0.06884057971014493,2.9292388710376995,24,23,1,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenSchema$Builder","TokenSchema$Builder","axon-messaging-5.0.0",0,2.822737592014539,2,1,1,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver","axon-messaging-5.0.0",0.06648936170212766,2.3326437200175176,48,47,1,""
