"artifactName","numberOfPackages","Source Cypher File: domains/overview/queries/overview/Number_of_packages_per_artifact.cypher"
"axon-eventsourcing-5.1.1",11,""
"axon-update-5.1.1",5,""
"axon-tracing-opentelemetry-5.1.1",1,""
"axoniq-spring-boot-autoconfigure-5.1.1",5,""
"axon-common-5.1.1",15,""
"axon-test-5.1.1",5,""
"axon-conversion-5.1.1",5,""
"axon-metrics-micrometer-5.1.1",3,""
"axon-server-connector-5.1.1",10,""
"axon-modelling-5.1.1",7,""
"axon-messaging-5.1.1",57,""
