artifactName,Class,Interface,Annotation,Enum
axon-messaging-5.1.1,372,195,28,8
axon-common-5.1.1,106,57,3,5
axon-eventsourcing-5.1.1,71,37,8,0
axon-modelling-5.1.1,60,36,3,0
axon-server-connector-5.1.1,57,16,0,2
axon-test-5.1.1,51,22,1,0
axon-conversion-5.1.1,29,10,0,0
axoniq-spring-boot-autoconfigure-5.1.1,20,6,0,0
axon-update-5.1.1,14,8,0,1
axon-metrics-micrometer-5.1.1,16,3,0,0
axon-tracing-opentelemetry-5.1.1,5,1,0,0
