"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/similarity/Similarity_1d_Stream_Mutated.cypher"
1,"axon-common-5.1.2","org.axonframework.common.AxonConfigurationException",25,1,"axon-test-5.1.2","org.axonframework.test.FixtureExecutionException",4,1,""
1,"axon-common-5.1.2","org.axonframework.common.AxonConfigurationException",25,1,"axon-test-5.1.2","org.axonframework.test.matchers.MatcherExecutionException",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.AxonNonTransientException",15,1,"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.AxonServerException",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.AxonNonTransientException",15,1,"axon-common-5.1.2","org.axonframework.common.AxonTransientException",8,1,""
1,"axon-common-5.1.2","org.axonframework.common.AxonNonTransientException",15,1,"axon-common-5.1.2","org.axonframework.common.ProcessRetriesExhaustedException",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.AxonTransientException",8,1,"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.AxonServerException",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.AxonTransientException",8,1,"axon-common-5.1.2","org.axonframework.common.AxonNonTransientException",15,1,""
1,"axon-common-5.1.2","org.axonframework.common.AxonTransientException",8,1,"axon-common-5.1.2","org.axonframework.common.ProcessRetriesExhaustedException",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.ProcessRetriesExhaustedException",1,1,"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.AxonServerException",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.ProcessRetriesExhaustedException",1,1,"axon-common-5.1.2","org.axonframework.common.AxonNonTransientException",15,1,""
1,"axon-common-5.1.2","org.axonframework.common.ProcessRetriesExhaustedException",1,1,"axon-common-5.1.2","org.axonframework.common.AxonTransientException",8,1,""
1,"axon-common-5.1.2","org.axonframework.common.TypeReference$1",1,1,"axon-common-5.1.2","org.axonframework.common.TypeReference$2",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.TypeReference$2",1,1,"axon-common-5.1.2","org.axonframework.common.TypeReference$1",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.TypeReflectionUtils$VarMap$ParameterizedTypeImpl",2,1,"axon-common-5.1.2","org.axonframework.common.TypeReflectionUtils$VarMap$UnresolvedTypeVariableException",2,1,""
