"artifactName","cyclomaticComplexity","methods","Source Cypher File: Overview/Cyclomatic_Method_Complexity_Distribution.cypher"
"axon-common-5.0.2.jar",1,544,""
"axon-common-5.0.2.jar",2,91,""
"axon-common-5.0.2.jar",3,74,""
"axon-common-5.0.2.jar",4,31,""
"axon-common-5.0.2.jar",5,10,""
"axon-common-5.0.2.jar",6,7,""
"axon-common-5.0.2.jar",7,6,""
"axon-common-5.0.2.jar",8,8,""
"axon-common-5.0.2.jar",9,3,""
"axon-common-5.0.2.jar",10,1,""
"axon-common-5.0.2.jar",11,1,""
"axon-common-5.0.2.jar",12,1,""
"axon-conversion-5.0.2.jar",1,137,""
"axon-conversion-5.0.2.jar",2,14,""
"axon-conversion-5.0.2.jar",3,8,""
"axon-conversion-5.0.2.jar",4,11,""
"axon-conversion-5.0.2.jar",5,2,""
"axon-conversion-5.0.2.jar",6,3,""
"axon-conversion-5.0.2.jar",7,2,""
"axon-conversion-5.0.2.jar",8,1,""
"axon-conversion-5.0.2.jar",9,1,""
"axon-conversion-5.0.2.jar",10,1,""
"axon-conversion-5.0.2.jar",17,1,""
"axon-conversion-5.0.2.jar",21,1,""
"axon-eventsourcing-5.0.2.jar",1,463,""
"axon-eventsourcing-5.0.2.jar",2,59,""
"axon-eventsourcing-5.0.2.jar",3,38,""
"axon-eventsourcing-5.0.2.jar",4,20,""
"axon-eventsourcing-5.0.2.jar",5,8,""
"axon-eventsourcing-5.0.2.jar",6,6,""
"axon-eventsourcing-5.0.2.jar",7,5,""
"axon-eventsourcing-5.0.2.jar",8,4,""
"axon-eventsourcing-5.0.2.jar",11,1,""
"axon-eventsourcing-5.0.2.jar",13,1,""
"axon-messaging-5.0.2.jar",1,2926,""
"axon-messaging-5.0.2.jar",2,320,""
"axon-messaging-5.0.2.jar",3,153,""
"axon-messaging-5.0.2.jar",4,83,""
"axon-messaging-5.0.2.jar",5,29,""
"axon-messaging-5.0.2.jar",6,32,""
"axon-messaging-5.0.2.jar",7,8,""
"axon-messaging-5.0.2.jar",8,3,""
"axon-messaging-5.0.2.jar",9,1,""
"axon-messaging-5.0.2.jar",11,1,""
"axon-messaging-5.0.2.jar",13,1,""
"axon-messaging-5.0.2.jar",25,1,""
"axon-messaging-5.0.2.jar",58,1,""
"axon-metrics-micrometer-5.0.2.jar",1,86,""
"axon-metrics-micrometer-5.0.2.jar",2,3,""
"axon-metrics-micrometer-5.0.2.jar",3,1,""
"axon-metrics-micrometer-5.0.2.jar",6,2,""
"axon-modelling-5.0.2.jar",1,311,""
"axon-modelling-5.0.2.jar",2,27,""
"axon-modelling-5.0.2.jar",3,23,""
"axon-modelling-5.0.2.jar",4,16,""
"axon-modelling-5.0.2.jar",5,7,""
"axon-modelling-5.0.2.jar",6,5,""
"axon-modelling-5.0.2.jar",7,1,""
"axon-modelling-5.0.2.jar",8,1,""
"axon-server-connector-5.0.2.jar",1,536,""
"axon-server-connector-5.0.2.jar",2,57,""
"axon-server-connector-5.0.2.jar",3,26,""
"axon-server-connector-5.0.2.jar",4,7,""
"axon-server-connector-5.0.2.jar",5,5,""
"axon-server-connector-5.0.2.jar",6,5,""
"axon-server-connector-5.0.2.jar",7,1,""
"axon-server-connector-5.0.2.jar",9,2,""
"axon-server-connector-5.0.2.jar",12,1,""
"axon-spring-boot-autoconfigure-5.0.2.jar",1,288,""
"axon-spring-boot-autoconfigure-5.0.2.jar",2,11,""
"axon-spring-boot-autoconfigure-5.0.2.jar",3,7,""
"axon-spring-boot-autoconfigure-5.0.2.jar",4,2,""
"axon-spring-boot-autoconfigure-5.0.2.jar",5,1,""
"axon-spring-boot-autoconfigure-5.0.2.jar",7,1,""
"axon-spring-boot-autoconfigure-5.0.2.jar",9,2,""
"axon-test-5.0.2.jar",1,314,""
"axon-test-5.0.2.jar",2,40,""
"axon-test-5.0.2.jar",3,33,""
"axon-test-5.0.2.jar",4,7,""
"axon-test-5.0.2.jar",5,9,""
"axon-test-5.0.2.jar",6,5,""
"axon-test-5.0.2.jar",7,2,""
"axon-test-5.0.2.jar",8,2,""
"axon-test-5.0.2.jar",9,1,""
"axon-test-5.0.2.jar",11,1,""
"axon-test-5.0.2.jar",13,1,""
"axon-tracing-opentelemetry-5.0.2.jar",1,30,""
"axon-tracing-opentelemetry-5.0.2.jar",2,8,""
"axon-tracing-opentelemetry-5.0.2.jar",3,2,""
"axon-tracing-opentelemetry-5.0.2.jar",4,1,""
"axon-update-5.0.2.jar",1,119,""
"axon-update-5.0.2.jar",2,16,""
"axon-update-5.0.2.jar",3,5,""
"axon-update-5.0.2.jar",4,1,""
"axon-update-5.0.2.jar",5,3,""
"axon-update-5.0.2.jar",6,4,""
"axon-update-5.0.2.jar",7,2,""
"axon-update-5.0.2.jar",9,1,""
"axon-update-5.0.2.jar",11,1,""
"axon-update-5.0.2.jar",17,1,""
"axon-update-5.0.2.jar",41,1,""
