"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-update-5.0.2",5,""
"axon-common-5.0.2",15,""
"axon-test-5.0.2",5,""
"axon-metrics-micrometer-5.0.2",2,""
"axon-server-connector-5.0.2",5,""
"axon-modelling-5.0.2",7,""
"axon-spring-boot-autoconfigure-5.0.2",7,""
"axon-eventsourcing-5.0.2",8,""
"axon-conversion-5.0.2",4,""
"axon-messaging-5.0.2",57,""
"axon-tracing-opentelemetry-5.0.2",1,""
