"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Overview/Effective_lines_of_method_code_per_type.cypher"
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","Coordinator$CoordinationTask",393,111,"run",25,"run",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","JdbcTokenStore",317,25,"updateToken",8,"updateToken",""
"axon-test-5.0.2","org.axonframework.test.fixture","Reporter",224,45,"appendEventOverview",11,"appendEventOverview",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","AggregateBasedJpaEventStorageEngine",192,17,"<init>",5,"lambda$queryTokensAndEventsBy$17",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","WorkPackage",190,25,"processEvents",7,"processEvents",""
"axon-modelling-5.0.2","org.axonframework.modelling.entity.annotation","AnnotatedEntityMetamodel",170,18,"createOptionalChildForMember",6,"getExpectedRepresentation",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","JpaTokenStore",162,22,"storeToken",6,"validateSegment",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessorConfiguration",154,16,"<init>",1,"workerExecutor",""
"axon-common-5.0.2","org.axonframework.common.configuration","DefaultComponentRegistry",153,18,"invokeEnhancers",8,"registerComponent",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","AxonServerConfiguration",149,30,"<init>",3,"getNewPermitsThreshold",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration","MessagingConfigurationDefaults",146,19,"registerComponents",4,"lambda$registerDecorators$9",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork","UnitOfWork$UnitOfWorkProcessingContext",143,21,"runNextPhase",6,"commit",""
"axon-common-5.0.2","org.axonframework.common","ReflectionUtils",142,17,"fieldNameFromMember",9,"fieldNameFromMember",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection","AnnotationBasedEventSourcedEntityFactory",137,40,"addEntityCreatorExecutable",13,"addEntityCreatorExecutable",""
"axon-test-5.0.2","org.axonframework.test.fixture","AxonTestThenMessage",128,12,"verifyPayloadEquality",7,"verifyPayloadEquality",""
"axon-test-5.0.2","org.axonframework.test.server","AxonServerContainerUtils",122,20,"createContext",6,"waitForContextsCondition",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessor",119,36,"<init>",3,"lambda$new$0",""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling","SimpleQueryBus",119,10,"lambda$emitUpdate$6",4,"subscribe",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","AggregateBasedAxonServerEventStorageEngine",112,21,"lambda$appendEvents$0",4,"lambda$appendEvents$0",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration","MessagingConfigurer",107,5,"<init>",1,"<init>",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","AnnotatedHandlerInspector",104,15,"initialize",4,"initialize",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","PooledStreamingEventProcessorModule",101,8,"lambda$registerCustomizedConfiguration$2",2,"registerEventHandlingComponents",""
"axon-metrics-micrometer-5.0.2","org.axonframework.extension.metrics.micrometer","GlobalMetricRegistry",98,15,"registerEventProcessor",6,"registerComponentWithDefaultTags",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.timeout","AxonTimeLimitedTask",98,16,"<init>",6,"detectInterruptionInsteadOfException",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query","QueryConverter",92,21,"convertQueryMessage",3,"convertQueryResponse",""
"axon-common-5.0.2","org.axonframework.common.caching","WeakReferenceCache",91,13,"computeIfAbsent",6,"put",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","Coordinator",91,27,"<init>",6,"start",""
"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation","MethodInvokingMessageHandlingMember",91,23,"<init>",7,"<init>",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","ErrorCode",90,28,"<clinit>",2,"getQueryExecutionErrorCode",""
"axon-conversion-5.0.2","org.axonframework.conversion.avro","AvroConverter",90,30,"convert",21,"convert",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","MergedTrackingToken",88,11,"unwrap",7,"unwrap",""
"axon-common-5.0.2","org.axonframework.common.infra","FilesystemStyleComponentDescriptor",84,14,"describeProperty",4,"describeProperty",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","AxonServerConfigurationEnhancer",83,14,"enhance",1,"lambda$topologyChangeListenerRegistration$13",""
"axon-common-5.0.2","org.axonframework.common","TypeReflectionUtils",82,24,"getExactDirectSuperTypesOfParameterizedTypeOrClass",9,"getExactDirectSuperTypesOfParameterizedTypeOrClass",""
"axon-modelling-5.0.2","org.axonframework.modelling.entity","ConcreteEntityMetamodel",82,18,"<init>",7,"handleInstance",""
"axon-update-5.0.2","org.axonframework.update.detection","AxonVersionDetector",81,24,"detectAxonModules",11,"detectAxonModules",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore","AnnotationBasedTagResolver",81,19,"createTagsForValue",6,"tagsFrom",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","ReplayToken",81,10,"advancedTo",7,"equals",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event","EventProcessorControlService",79,14,"processorTokenStoreOrGlobal",3,"processorTokenStoreOrGlobal",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token","GapAwareTrackingToken",78,11,"advanceTo",7,"covers",""
"axon-test-5.0.2","org.axonframework.test.server","AxonServerContainer",77,15,"equals",13,"equals",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector","AxonServerConnectionManager$Builder",76,42,"build",12,"build",""
"axon-common-5.0.2","org.axonframework.common.configuration","DefaultAxonApplication$AxonConfigurationImpl",75,26,"invokeLifecycleHandlers",7,"invokeLifecycleHandlers",""
"axon-common-5.0.2","org.axonframework.common.jdbc","JdbcUtils",74,15,"executeQuery",6,"executeQuery",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","TrackerStatus",73,19,"split",8,"equals",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command","CommandConverter",72,20,"convertResultMessage",5,"convertResultMessage",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing","EventSourcingRepository",72,10,"<init>",4,"createEntityIfNullFromLoad",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa","SQLErrorCodesResolver",71,16,"loadKeyViolationCodes",8,"loadKeyViolationCodes",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.configuration","SimpleEventSourcedEntityModule",71,8,"lambda$registerComponents$1",2,"lambda$registerComponents$1",""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.annotation","MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember",71,15,"parseParameters",58,"parseParameter",""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.inmemory","InMemoryEventStorageEngine",70,12,"tokenAt",3,"source",""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command","AxonServerCommandBusConnector",69,12,"handle",2,"dispatch",""
"axon-modelling-5.0.2","org.axonframework.modelling.configuration","SimpleStateBasedEntityModule",69,6,"registerCommandHandlingComponentIfModelIsPresent",3,"validate",""
