"artifactName","numberOfArtifactTypes","languageElement","numberOfTypes","Source Cypher File: Overview/Number_of_types_per_artifact.cypher"
"axon-messaging-4.11.1",809,"Interface",157,""
"axon-messaging-4.11.1",809,"Class",606,""
"axon-messaging-4.11.1",809,"Annotation",27,""
"axon-messaging-4.11.1",809,"Enum",19,""
"axon-modelling-4.11.1",158,"Class",115,""
"axon-modelling-4.11.1",158,"Annotation",12,""
"axon-modelling-4.11.1",158,"Interface",28,""
"axon-modelling-4.11.1",158,"Enum",3,""
"axon-server-connector-4.11.1",142,"Interface",25,""
"axon-server-connector-4.11.1",142,"Class",116,""
"axon-server-connector-4.11.1",142,"Enum",1,""
"axon-eventsourcing-4.11.1",133,"Class",98,""
"axon-eventsourcing-4.11.1",133,"Interface",32,""
"axon-eventsourcing-4.11.1",133,"Annotation",1,""
"axon-eventsourcing-4.11.1",133,"Enum",2,""
"axon-spring-boot-autoconfigure-4.11.1",88,"Class",82,""
"axon-spring-boot-autoconfigure-4.11.1",88,"Annotation",3,""
"axon-spring-boot-autoconfigure-4.11.1",88,"Enum",2,""
"axon-spring-boot-autoconfigure-4.11.1",88,"Interface",1,""
"axon-test-4.11.1",87,"Interface",16,""
"axon-test-4.11.1",87,"Class",71,""
"axon-configuration-4.11.1",41,"Annotation",1,""
"axon-configuration-4.11.1",41,"Interface",16,""
"axon-configuration-4.11.1",41,"Class",23,""
"axon-configuration-4.11.1",41,"Enum",1,""
"axon-disruptor-4.11.1",22,"Class",22,""
"axon-tracing-opentelemetry-4.11.1",5,"Class",5,""
