"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-server-connector-4.12.1",11,""
"axon-modelling-4.12.1",10,""
"axon-eventsourcing-4.12.1",9,""
"axon-spring-boot-autoconfigure-4.12.1",9,""
"axon-messaging-4.12.1",70,""
"axon-tracing-opentelemetry-4.12.1",1,""
"axon-disruptor-4.12.1",1,""
"axon-configuration-4.12.1",1,""
"axon-test-4.12.1",8,""
