"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"org.slf4j",10,38,1,15,2.5,3.8,4.104198392432369,16.666666666666668,100,28.571428571428573,47.447134786117836,29.76188553127547,74,1,31,5,7.4,9.020963240019205,1.2820512820512822,30.43478260869565,5.677029360967184,10.113491554626945,9.52356141376388,"axon-test-5.0.3,axon-common-5.0.3,axon-tracing-opentelemetry-5.0.3,axon-eventsourcing-5.0.3",""
"com.fasterxml",4,4,1,1,1,1,0,1.694915254237288,20,10.476190476190476,10.661824051654559,8.097342082082518,10,1,5,2,2.5,1.7320508075688772,0.3454231433506045,14.285714285714286,1.6538461538461537,4.4847074341893,6.614947006678531,"axon-common-5.0.3,axon-conversion-5.0.3,axon-messaging-5.0.3,axon-spring-boot-autoconfigure-5.0.3",""
"jakarta.persistence",4,6,1,2,1.5,1.5,0.5773502691896257,3.389830508474576,28.571428571428573,10.476190476190476,13.228410008071025,11.200896291806309,17,4,5,4,4.25,0.5,0.690846286701209,6.666666666666666,3.282051282051282,3.4804038793676098,2.519490050351605,"axon-common-5.0.3,axon-eventsourcing-5.0.3,axon-messaging-5.0.3,axon-spring-boot-autoconfigure-5.0.3",""
"com.google",2,5,1,4,2.5,2.5,2.1213203435596424,16.666666666666668,80,48.333333333333336,48.33333333333333,44.78342947514801,9,1,8,4.5,4.5,4.949747468305833,1.2820512820512822,11.11111111111111,6.196581196581197,6.196581196581196,6.950194857816492,"axon-test-5.0.3,axon-server-connector-5.0.3",""
"io.axoniq",2,6,1,5,3,3,2.8284271247461903,14.285714285714286,100,57.142857142857146,57.142857142857146,60.60915267313265,45,1,44,22.5,22.5,30.405591591021544,1.3333333333333333,61.11111111111111,31.22222222222222,31.22222222222222,42.26927203092917,"axon-server-connector-5.0.3,axon-spring-boot-autoconfigure-5.0.3",""
"org.apache",2,2,1,1,1,1,0,14.285714285714286,20,17.142857142857142,17.142857142857142,4.0406101782088415,12,3,9,6,6,4.242640687119285,4,25.714285714285715,14.857142857142858,14.857142857142858,15.354318677193604,"axon-conversion-5.0.3,axon-spring-boot-autoconfigure-5.0.3",""
"reactor.core",2,6,1,5,3,3,2.8284271247461903,8.47457627118644,20,14.23728813559322,14.23728813559322,8.149705274692414,9,1,8,4.5,4.5,4.949747468305833,1.381692573402418,1.3888888888888888,1.3852907311456533,1.3852907311456533,0.00508856348004144,"axon-messaging-5.0.3,axon-server-connector-5.0.3",""
"tools.jackson",2,2,1,1,1,1,0,14.285714285714286,20,17.142857142857142,17.142857142857142,4.0406101782088415,9,4,5,4.5,4.5,0.7071067811865476,5.333333333333333,14.285714285714286,9.80952380952381,9.80952380952381,6.330289279193855,"axon-conversion-5.0.3,axon-spring-boot-autoconfigure-5.0.3",""
"IdTypeParameterResolver",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.3",""
"ScannedEntityCreator",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.3",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.3",""
"io.grpc",1,3,3,3,3,3,0,60,60,60,60,0,10,10,10,10,10,0,13.88888888888889,13.88888888888889,13.88888888888889,13.88888888888889,0,"axon-server-connector-5.0.3",""
"io.micrometer",1,3,3,3,3,3,0,100,100,100,100,0,13,13,13,13,13,0,81.25,81.25,81.25,81.25,0,"axon-metrics-micrometer-5.0.3",""
"io.opentelemetry",1,1,1,1,1,1,0,100,100,100,100,0,5,5,5,5,5,0,100,100,100,100,0,"axon-tracing-opentelemetry-5.0.3",""
"jakarta.validation",1,1,1,1,1,1,0,1.694915254237288,1.694915254237288,1.694915254237288,1.694915254237288,0,2,2,2,2,2,0,0.3454231433506045,0.3454231433506045,0.3454231433506045,0.3454231433506045,0,"axon-messaging-5.0.3",""
"javax.cache",1,1,1,1,1,1,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,2,2,2,2,2,0,1.2820512820512822,1.2820512820512822,1.2820512820512822,1.2820512820512822,0,"axon-common-5.0.3",""
