"artifactName","packageName","dependentArtifactName","dependentPackageName","dependency","forwardToBackwardBalance","numberForward","numberBackward","Source Cypher File: domains/cyclic-dependencies/queries/Cyclic_Dependencies_Breakdown_Backward_Only.cypher"
"axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","axon-messaging-5.0.3","org.axonframework.messaging.core","HandlerAttributes<-SimpleHandlerAttributes",0.9591836734693877,48,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling","axon-messaging-5.0.3","org.axonframework.messaging.core","EventMessage<-SubscribableEventSource",0.9428571428571428,34,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.annotation","axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","EventHandler<-HandlerTypeResolver",0.9310344827586207,28,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.annotation","axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","CommandHandler<-HandlerTypeResolver",0.875,15,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.annotation","axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","QueryHandler<-HandlerTypeResolver",0.8571428571428571,13,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.annotation","axon-modelling-5.0.3","org.axonframework.modelling","TargetEntityIdMemberMismatchException<-PropertyBasedEntityIdResolver",0.8461538461538461,12,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction","axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","TransactionManager<-TransactionalUnitOfWorkFactory",0.6666666666666666,5,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","PooledStreamingEventProcessorConfiguration<-EventProcessorModule",0.6666666666666666,15,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","PooledStreamingEventProcessorModule<-EventProcessorModule",0.6666666666666666,15,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","PooledStreamingEventProcessorsConfigurer<-EventProcessingConfigurer",0.6666666666666666,15,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.subscribing","axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","SubscribingEventProcessorModule<-EventProcessorModule",0.6666666666666666,15,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.subscribing","axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","SubscribingEventProcessorConfiguration<-EventProcessorModule",0.6666666666666666,15,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.subscribing","axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","SubscribingEventProcessorsConfigurer<-EventProcessingConfigurer",0.6666666666666666,15,3,""
"axon-common-5.0.3","org.axonframework.common.configuration","axon-common-5.0.3","org.axonframework.common.infra","Component$Identifier<-FilesystemStyleComponentDescriptor",0.5294117647058824,13,4,""
"axon-common-5.0.3","org.axonframework.common.configuration","axon-common-5.0.3","org.axonframework.common.infra","Component<-FilesystemStyleComponentDescriptor",0.5294117647058824,13,4,""
"axon-common-5.0.3","org.axonframework.common.configuration","axon-common-5.0.3","org.axonframework.common.infra","Component$Identifier<-JacksonComponentDescriptor",0.5294117647058824,13,4,""
"axon-common-5.0.3","org.axonframework.common.configuration","axon-common-5.0.3","org.axonframework.common.infra","Component<-JacksonComponentDescriptor",0.5294117647058824,13,4,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation","axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","MessageHandlerInterceptorMemberChain<-ChainedMessageHandlerInterceptorMember",0.5,15,5,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception.annotation","axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","NoMoreInterceptors<-ChainedMessageHandlerInterceptorMember",0.5,15,5,""
