"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"javax.annotation.Nonnull","Parameter",1668,"org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback.onResult(0),org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback.onResult(1),org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository.load(0),org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository.newInstance(0),org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository.loadOrCreate(0),org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository.loadOrCreate(1),org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository.load(0),org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository.newInstance(0),org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository.loadOrCreate(0)",""
"java.lang.Deprecated","Method",133,"org.axonframework.modelling.command.AbstractRepository$Builder.spanFactory,org.axonframework.modelling.command.AggregateIdentifier.routingKey,org.axonframework.modelling.command.GenericJpaRepository$Builder.spanFactory,org.axonframework.modelling.command.LockingRepository$Builder.spanFactory,org.axonframework.modelling.command.inspection.AbstractChildEntityDefinition.isFieldTypeSupported,org.axonframework.modelling.command.inspection.EntityModel.commandHandlerInterceptors,org.axonframework.modelling.command.inspection.EntityModel.commandHandlers,org.axonframework.modelling.command.legacyjpa.GenericJpaRepository$Builder.spanFactory,org.axonframework.modelling.saga.AbstractSagaManager$Builder.spanFactory",""
"org.springframework.context.annotation.Bean","Method",122,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration.eventStorageEngine,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$DefaultConnectionManagerConfiguration.platformConnectionManager,org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration.messageTimeoutHandlerEnhancerDefinition,org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration.axonTimeoutConfigurerModule",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",78,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.eventScheduler,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.deadlineManager,org.axonframework.springboot.autoconfig.JpaAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.JpaAutoConfiguration.tokenStore",""
"java.lang.FunctionalInterface","Interface",65,"org.axonframework.modelling.command.CreationPolicyAggregateFactory,org.axonframework.modelling.command.RepositoryProvider,org.axonframework.modelling.command.LockAwareAggregate$LockSupplier,org.axonframework.eventsourcing.conflictresolution.ConflictExceptionSupplier,org.axonframework.eventsourcing.conflictresolution.ContextAwareConflictExceptionSupplier,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTokenAtStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.AppendEventsStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.LastSequenceNumberForStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTailTokenStatementBuilder",""
"javax.annotation.Nullable","Parameter",62,"org.axonframework.modelling.command.CreationPolicyAggregateFactory.create(0),org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory.create(0),org.axonframework.modelling.command.Repository.load(1),org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.handle(1),org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition$EndSageMessageHandlingMember.handle(1),org.axonframework.eventsourcing.eventstore.EventStorageEngine.readEvents(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(1),org.axonframework.commandhandling.MonitorAwareCallback.<init>(0)",""
"javax.annotation.Nonnull","Method",60,"org.axonframework.disruptor.commandhandling.DisruptorCommandBus.registerDispatchInterceptor,org.axonframework.modelling.command.CreationPolicyAggregateFactory.create,org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory.create,org.axonframework.modelling.command.VersionedAggregateIdentifier.getIdentifier,org.axonframework.modelling.command.VersionedAggregateIdentifier.getIdentifierValue,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition.wrapHandler,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition.wrapHandler,org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition.wrapHandler,org.axonframework.modelling.saga.SagaMethodMessageHandlerDefinition.wrapHandler",""
"java.lang.annotation.Retention","Annotation",44,"org.axonframework.modelling.command.AggregateIdentifier,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.TargetAggregateIdentifier,org.axonframework.modelling.command.TargetAggregateVersion",""
"java.lang.annotation.Target","Annotation",44,"org.axonframework.modelling.command.AggregateIdentifier,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.TargetAggregateIdentifier,org.axonframework.modelling.command.TargetAggregateVersion",""
"java.lang.Deprecated","Class",43,"org.axonframework.modelling.command.legacyjpa.GenericJpaRepository,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore,org.axonframework.eventsourcing.MultiStreamableMessageSource$Builder,org.axonframework.eventsourcing.MultiStreamableMessageSource,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine,org.axonframework.axonserver.connector.DefaultHandlers",""
"javax.persistence.Basic","Field",39,"org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.revision,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaId,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationKey,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationValue,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.SagaEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.SagaEntry.revision,org.axonframework.eventhandling.AbstractDomainEventEntry.type",""
"jakarta.persistence.Basic","Field",33,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaId,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationKey,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationValue,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.SagaEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.SagaEntry.revision,org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber",""
"com.fasterxml.jackson.annotation.JsonProperty","Parameter",32,"org.axonframework.modelling.command.AggregateScopeDescriptor.<init>(0),org.axonframework.modelling.command.AggregateScopeDescriptor.<init>(1),org.axonframework.modelling.saga.SagaScopeDescriptor.<init>(0),org.axonframework.modelling.saga.SagaScopeDescriptor.<init>(1),org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(1),org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.<init>(0)",""
"org.springframework.boot.autoconfigure.AutoConfiguration","Class",26,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.JpaAutoConfiguration,org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration,org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration",""
"java.lang.annotation.Documented","Annotation",24,"org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.saga.EndSaga,org.axonframework.modelling.saga.SagaEventHandler,org.axonframework.modelling.saga.StartSaga,org.axonframework.eventsourcing.EventSourcingHandler",""
"java.beans.ConstructorProperties","Constructor",21,"org.axonframework.modelling.command.AggregateScopeDescriptor.<init>,org.axonframework.modelling.saga.SagaScopeDescriptor.<init>,org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.<init>,org.axonframework.eventhandling.GapAwareTrackingToken.<init>,org.axonframework.eventhandling.GlobalSequenceTrackingToken.<init>",""
