"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"server","@remix-run/router",36,39,6,28,2,466.6666666666667,"Action,Action.Pop,Router.future,RouterState.historyAction,UNSAFE_invariant,StaticHandlerContext.errors,StaticHandlerContext.loaderData,Router.routes,RouterState.location,FutureConfig.v7_relativeSplatPath,StaticHandlerContext.actionData,StaticHandlerContext.basename,IDLE_FETCHER,AgnosticDataRouteMatch.route,UNSAFE_convertRoutesToDataRoutes,Router,IDLE_NAVIGATION,StaticHandlerContext.location,UNSAFE_mapRouteProperties,IDLE_BLOCKER,AgnosticDataRouteObject.id,StaticHandlerContext.matches,StaticHandlerContext,RouteObject,createStaticHandler,StaticHandler",""
"server","@types/react",3,3,6,28,2,466.6666666666667,"React.JSX.Element,React.ReactNode",""
"react-router-dom","@remix-run/router",137,195,62,115,2,185.48387096774192,"UNSAFE_DataRouterStateContext,Path.pathname,Navigator.encodeLocation,useResolvedPath,Navigation.location,stripBasename,RouterState.navigation,useLocation,Location.pathname,UNSAFE_NavigationContext,UNSAFE_useRouteId,Router.navigate,Router.fetch,useHref,UNSAFE_warning,History,FutureConfig,UNSAFE_logV6DeprecationWarnings,HashHistory.location,HashHistory.listen,HashHistory,HashHistory.action,createHashHistory,BrowserHistory.action,createBrowserHistory,BrowserHistory.listen,BrowserHistory.location,BrowserHistory,To,useNavigate,createPath,RouteObject,UNSAFE_mapRouteProperties,createRouter,Router.initialize,Router,JsonValue,JsonObject,FormEncType,RouterState.fetchers,HTMLFormMethod.toLowerCase,Navigation.state,Router.enableScrollRestoration,Location.hash,GetScrollRestorationKeyFunction,useNavigation,useMatches,Location.key,matchPath,UNSAFE_invariant,RouteMatch.route,RouteContextObject.matches,Location.search,UNSAFE_RouteContext,joinPaths,RouteObject.index,BlockerBlocked.proceed,Blocker.state,BlockerBlocked.reset,BlockerFunction,useBlocker,NavigateOptions,Router.deleteFetcher,RouteObject.id,Router.getFetcher,IDLE_FETCHER,Router.createHref,Router.routes,ViewTransitionOpts.currentLocation,RouterSubscriber,Router.future,ViewTransitionOpts.nextLocation,Fetcher.data,Router.basename,FutureConfig.v7_relativeSplatPath,FutureConfig.v7_partialHydration,Router.state,Router.subscribe,Router.window,RouterState.location,RouterState,RouterProviderProps,RouterState.historyAction,RouterState.initialized,Router.encodeLocation,History.location,History.listen,History.action",""
"react-router-dom","@types/react",83,128,62,115,2,185.48387096774192,"React.RefAttributes,React.ForwardRefExoticComponent,React.useContext,React.forwardRef,React.useCallback,React.ReactNode,React.MouseEvent.defaultPrevented,React.JSX.Element,React.useLayoutEffect,React.useRef,React.useState,React.useEffect,React.MutableRefObject.current,React.MouseEvent,React.MouseEvent.preventDefault,React.FormEvent.defaultPrevented,React.ForwardedRef,React.FormEvent.currentTarget,React.FormEvent.preventDefault,React.CSSProperties,React.ReactElement,React.ReactPortal,React.AnchorHTMLAttributes,React.createContext,React.Context,React.ForwardRefExoticComponent.displayName,React.useMemo",""
"react-router-native","@types/react-native",11,14,17,24,4,141.1764705882353,"BackHandlerStatic.addEventListener,BackHandler,BackHandlerStatic.removeEventListener,GestureResponderEvent.defaultPrevented,GestureResponderEvent,TouchableHighlightProps,LinkingStatic.removeEventListener,LinkingStatic.addEventListener,LinkingStatic.getInitialURL,Linking",""
"react-router-native","@remix-run/router",9,10,17,24,4,141.1764705882353,"useNavigate,To,MemoryRouterProps,useLocation,Location.search,NavigateOptions",""
"react-router-native","@types/react",9,14,17,24,4,141.1764705882353,"React.useEffect,React.JSX.Element,React.ReactNode,React.useRef,React.MutableRefObject.current,React.useCallback,React.useMemo",""
"react-router-native","@ungap/url-search-params",2,4,17,24,4,141.1764705882353,"url-search-params",""
"react-router","@remix-run/router",8,10,7,9,2,128.57142857142858,"Router,DataStrategyFunction,createRouter,InitialEntry,createMemoryHistory,Router.initialize,UNSAFE_warning,AgnosticPatchRoutesOnNavigationFunctionArgs",""
"react-router","@types/react",1,3,7,9,2,128.57142857142858,"React.createElement",""
